kindergarten_applicants,grade_6_offers
7,9
s,s
s,s
,s
,s
s,s
,s
,s
,s
,s
s,s
,s
20,15
,s
,s
s,s
,s
9,s
,s
s,s
,633
,s
12,10
s,s
s,s
,s
s,9
13,6
,s
,s
9,s
21,12
s,s
,s
8,13
,s
s,s
s,s
,s
,s
43,20
,s
s,s
s,s
260,185
,s
s,s
,s
,s
6,s
,s
6,10
,s
,s
,s
602,477
,s
9,7
13,6
s,s
s,s
s,s
12,s
,s
s,s
s,s
14,12
s,s
17,8
,s
,s
,s
,s
,s
6,s
,s
,s
349,298
,s
7,s
,s
,s
s,s
11,s
s,s
7,s
s,s
s,s
11,s
,s
,s
s,s
s,s
65,22
16,13
,s
,s
s,s
,s
19,13
s,s
s,s
,s
s,6
20,7
,s
s,s
50,18
s,s
,s
,s
,s
,s
,s
s,s
,s
,s
,s
,s
,s
9,s
7,11
s,s
,s
24,13
s,s
,69
,s
,s
s,s
,s
,s
,s
s,s
s,s
,s
,s
s,s
,s
,s
s,s
,s
,s
,s
s,s
,s
10,s
,s
s,s
6,s
s,s
s,s
188,84
,s
s,s
,s
6,s
,s
,s
,s
s,s
28,s
s,s
,s
,s
s,19
s,s
s,s
,s
11,6
,s
s,s
,s
s,s
,s
,89
,s
,s
s,s
s,s
,s
,s
,s
s,s
1165,820
s,s
s,s
s,s
,s
8,11
s,s
,s
s,7
,s
14,9
s,s
,s
,s
s,s
,s
