project,location,census_tract,council_district,data_as_of
DSF0001008778,200 CENTRAL AVENUE,423.0,34.0,2023-02-02T00:00:00.000
DSF0001008779,2960 WEST 27TH STREET,342.0,47.0,2023-02-02T00:00:00.000
DSF0001008772,1091 SUTTER AVENUE,1194.0,42.0,2023-02-02T00:00:00.000
DSF0001008763,1181 NELSON AVENUE,199.0,16.0,2023-02-02T00:00:00.000
DSF0000960559,780 POST AVENUE,,,2023-02-02T00:00:00.000
