location,constr_start,actual_est_compl
1181 NELSON AVENUE,2023-04-01T00:00:00.000,2024-09-01T00:00:00.000
1091 SUTTER AVENUE,2023-04-01T00:00:00.000,2024-09-01T00:00:00.000
780 POST AVENUE,2022-06-01T00:00:00.000,2023-01-01T00:00:00.000
2960 WEST 27TH STREET,2023-04-01T00:00:00.000,2024-09-01T00:00:00.000
200 CENTRAL AVENUE,2023-04-01T00:00:00.000,2024-09-01T00:00:00.000
