district,funding_req_d_fy_20_24,previous_appropriations,borough,longitude,bin,community_board
21,0.64,0,BROOKLYN,-73.992869,3339183.0,313.0
9,2.09,0,BRONX,-73.925706,2003301.0,204.0
5,10.45,0,MANHATTAN,,,
19,0.77,0,BROOKLYN,-73.878197,3089620.0,305.0
32,0.67,0,BROOKLYN,-73.925727,3073408.0,304.0
