school,needed_to_complete,postcode
CONEY ISLAND # 1 HEAD START,0.03,11224.0
HIGHBRIDGE ADVISORY COUNCIL,0.08,10452.0
THE BLACK ASSOCIATION DAY CARE,0.0,
URBAN STRATEGIES DCC 1,0.04,11208.0
BUSHWICK UNITED HDFC 6,0.03,11221.0
