funding_req_d_fy_20_24,latitude,bbl,design_start
0.64,40.573668,3070520034.0,2021-03-01T00:00:00.000
2.09,40.837232,2025160051.0,2021-03-01T00:00:00.000
10.45,,,2020-04-01T00:00:00.000
0.77,40.671892,3040390001.0,2021-04-01T00:00:00.000
0.67,40.698397,3032280020.0,2021-04-01T00:00:00.000
