school_dbn,percent_of_graduates_that,city_council_district
10X374,100.0%,15
05M469,100.0%,9
02M414,100.0%,3
10X438,100.0%,15
05M685,100.0%,9
02M615,100.0%,3
02M542,100.0%,3
03M404,100.0%,6
06M467,100.0%,10
03M479,100.0%,6
02M308,100.0%,1
09X525,97.6%,15
09X252,100.0%,16
10X439,100.0%,15
08X367,100.0%,18
07X557,100.0%,8
02M500,100.0%,2
10X319,100.0%,15
09X403,100.0%,16
05M304,100.0%,9
10X434,100.0%,15
09X505,100.0%,16
02M393,100.0%,3
10X141,100.0%,11
06M540,100.0%,9
10X696,100.0%,11
02M047,100.0%,2
08X432,100.0%,18
05M362,100.0%,7
10X213,100.0%,11
10X243,98.2%,15
04M555,100.0%,8
03M505,99.5%,7
08X377,100.0%,18
02M376,100.0%,3
07X473,100.0%,17
09X414,100.0%,16
02M449,100.0%,5
09X365,100.0%,14
01M292,100.0%,1
10X660,100.0%,15
07X527,100.0%,17
08X405,100.0%,13
03M492,100.0%,6
08X519,100.0%,17
07X334,100.0%,8
07X221,100.0%,8
02M560,100.0%,3
02M437,98.9%,3
06M468,100.0%,10
02M543,100.0%,1
02M570,100.0%,3
02M625,100.0%,3
02M412,99.2%,3
02M296,100.0%,3
02M427,100.0%,2
10X284,100.0%,11
09X260,100.0%,16
04M680,100.0%,8
01M539,99.1%,2
03M299,100.0%,6
04M635,100.0%,8
10X549,99.0%,11
04M435,100.0%,8
03M402,100.0%,6
01M448,100.0%,1
06M293,100.0%,10
