school_dbn,school_name
06M463,High School for Media and Communications
02M392,MANHATTAN BUSINESS ACADEMY
02M544,Independence High School
10X477,Marble Hill High School for International Studies
07X670,Health Opportunities High School
02M408,Professional Performing Arts High School
07X427,Community School for Social Justice
07X379,Jill Chaifetz Transfer High School
09X324,Bronx Early College Academy for Teaching & Learning
05M692,"High School for Mathematics, Science and Engineering at City College"
02M303,"Facing History School, The"
07X547,New Explorers High School
02M550,Liberty High School Academy for Newcomers
02M429,Legacy School for Integrated Studies
10X225,Theatre Arts Production Company School
02M600,The High School of Fashion Industries
02M529,Jacqueline Kennedy Onassis High School
02M316,"Urban Assembly School of Business for Young Women, the"
02M411,Baruch College Campus High School
02M586,Harvey Milk High School
10X440,DeWitt Clinton High School
09X413,Bronx High School for Medical Science
01M509,Marta Valle High School
08X305,Pablo Neruda Academy for Architecture and World Studies
02M305,"Urban Assembly Academy of Government and Law, The"
08X295,Gateway School for Environmental Research and Technology
09X263,Validus Preparatory Academy: An Expeditionary Learning School
08X293,Renaissance High School for Musical Theater & Technology
08X537,Bronx Arena High School
01M515,Lower East Side Preparatory High School
08X282,Women's Academy of Excellence
09X239,"Urban Assembly Academy for History and Citizenship for Young Men, The"
01M650,Cascades High School
02M545,High School for Dual Language and Asian Studies
07X381,Bronx Haven High School
10X437,Fordham High School for the Arts
10X475,John F. Kennedy High School
06M552,Gregorio Luperon High School for Science and Mathematics
02M425,Leadership and Public Service High School
09X297,Morris Academy for Collaborative Studies
01M458,Forsyth Satellite Academy
07X600,Alfred E. Smith Career and Technical Education High School
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts
04M495,Park East High School
03M417,FRANK McCOURT HIGH SCHOOL
02M432,Murray Hill Academy
07X551,The Urban Assembly Bronx Academy of Letters
10X342,International School for Liberal Arts
10X237,"The Marie Curie School for Medicine, Nursing, and Health Professions"
08X312,Millennium Art Academy
02M655,Life Sciences Secondary School
02M565,Urban Academy Laboratory High School
02M575,Manhattan Comprehensive Night and Day High School
09X412,Bronx High School of Business
10X442,"Celia Cruz Bronx High School of Music, The"
05M670,Thurgood Marshall Academy for Learning and Social Change
02M298,Pace High School
05M285,Harlem Renaissance High School
07X548,Urban Assembly School for Careers in Sports
10X368,In-Tech Academy (M.S. / High School 368)
02M413,School of the Future High School
06M423,High School for Excellence and Innovation
02M407,Institute for Collaborative Education
08X269,Bronx Studio School for Writers and Artists
07X522,Bronx Design and Construction Academy
05M369,Urban Assembly School for the Performing Arts
09X404,School for Excellence
