school_name,community_school_district,number_of_graduates,number_of_graduates_that
High School for Teaching and the Professions,10,102,102
High School for Environmental Studies,2,292,292
Murry Bergtraum High School for Business Careers,2,299,294
Jane Addams High School for Academic Careers,8,90,90
Foreign Language Academy of Global Studies,7,34,34
The Global Learning Collaborative,3,74,74
Eleanor Roosevelt High School,2,128,128
"James Baldwin School, The: A School for Expeditionary Learning",2,78,78
Holcombe L. Rucker School of Community Research,8,47,47
Eximius College Preparatory Academy: A College Board School,9,63,63
Humanities Preparatory Academy,2,57,57
DreamYard Preparatory School,9,48,48
Talent Unlimited High School,2,167,167
Landmark High School,2,76,76
EMMA LAZARUS HIGH SCHOOL,2,51,51
Bronx High School of Science,10,747,747
Hostos-Lincoln Academy of Science,7,75,75
English Language Learners and International Support Preparatory Academy (ELLIS),10,23,23
Washington Irving High School,2,110,110
Wadleigh Secondary School for the Performing & Visual Arts,3,59,59
Community Health Academy of the Heights,6,53,53
School for Community Research and Learning,8,21,21
Gramercy Arts High School,2,100,100
University Heights Secondary School,7,95,95
Washington Heights Expeditionary Learning School,6,92,92
Manhattan International High School,2,65,65
Norman Thomas High School,2,100,100
Manhattan / Hunter Science High School,3,124,124
International High School at Union Square,2,36,36
"Urban Assembly School of Design and Construction, The",2,79,78
Manhattan Village Academy,2,117,117
High School for Health Professions and Human Services,2,378,378
Kingsbridge International High School,10,83,83
Samuel Gompers Career and Technical Education High School,7,74,74
Essex Street Academy,2,68,68
Bronx Collegiate Academy,9,62,62
Eagle Academy for Young Men,9,80,80
Crotona Academy High School,7,31,31
"Urban Assembly School for Applied Math and Science, The",9,66,65
Stuyvesant High School,2,815,815
Art and Design High School,2,243,243
THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,2,39,39
High School of Arts and Technology,3,95,95
East Side Community School,1,84,84
Bard High School Early College,1,144,144
High School for Violin and Dance,9,46,46
Manhattan Theatre Lab High School,3,40,40
The College Academy,6,105,105
Academy for Social Action: A College Board School,5,41,41
Food and Finance High School,2,85,85
Frederick Douglass Academy,5,188,188
Frederick Douglass Academy III Secondary School,9,63,62
Millennium High School,2,147,147
High School of Economics and Finance,2,137,137
Leadership Institute,9,34,34
Young Women's Leadership School,4,65,65
Urban Assembly New York Harbor School,2,71,71
Bronx Guild,8,49,49
Banana Kelly High School,8,54,54
Bronx Theatre High School,10,68,68
"Urban Assembly School for Media Studies, The",3,57,57
Richard R. Green High School of Teaching,2,94,94
Antonia Pantoja Preparatory Academy: A College Board School,8,36,36
Coalition School for Social Change,4,36,36
Repertory Company High School for Theatre Arts,2,55,55
Frederick Douglass Academy II Secondary School,3,48,48
