number_of_classes,class_size,program_type
2,18,Gen Ed/ICT/G&T
1,<15,Gen Ed/ICT/G&T
3,20,Gen Ed/ICT/G&T
2,23,Gen Ed/ICT/G&T
8,30,Gen Ed/ICT/G&T
2,22,Gen Ed/ICT/G&T
6,30,Gen Ed/ICT/G&T
3,22,Gen Ed/ICT/G&T
3,28,Gen Ed/ICT/G&T
1,15,Gen Ed/ICT/G&T
3,22,Gen Ed/ICT/G&T
1,33,Gen Ed/ICT/G&T
3,21,Gen Ed/ICT/G&T
5,19,Gen Ed/ICT/G&T
3,22,Gen Ed/ICT/G&T
3,30,Gen Ed/ICT/G&T
1,15,Gen Ed/ICT/G&T
3,18,Gen Ed/ICT/G&T
4,29,Gen Ed/ICT/G&T
1,29,Gen Ed/ICT/G&T
7,32,Gen Ed/ICT/G&T
2,27,Gen Ed/ICT/G&T
9,23,Gen Ed/ICT/G&T
8,21,Gen Ed/ICT/G&T
2,17,Gen Ed/ICT/G&T
6,25,Gen Ed/ICT/G&T
13,21,Gen Ed/ICT/G&T
4,21,Gen Ed/ICT/G&T
1,31,Gen Ed/ICT/G&T
7,25,Gen Ed/ICT/G&T
2,19,Gen Ed/ICT/G&T
2,23,Gen Ed/ICT/G&T
2,21,Gen Ed/ICT/G&T
2,23,Gen Ed/ICT/G&T
1,19,Gen Ed/ICT/G&T
1,26,Gen Ed/ICT/G&T
1,19,Gen Ed/ICT/G&T
8,31,Gen Ed/ICT/G&T
3,31,Gen Ed/ICT/G&T
3,22,Gen Ed/ICT/G&T
13,26,Gen Ed/ICT/G&T
1,<15,Gen Ed/ICT/G&T
3,24,Gen Ed/ICT/G&T
3,23,Gen Ed/ICT/G&T
1,19,Gen Ed/ICT/G&T
1,23,Gen Ed/ICT/G&T
3,19,Gen Ed/ICT/G&T
4,21,Gen Ed/ICT/G&T
5,28,Gen Ed/ICT/G&T
6,20,Gen Ed/ICT/G&T
1,24,Gen Ed/ICT/G&T
4,<15,Gen Ed/ICT/G&T
11,22,Gen Ed/ICT/G&T
6,25,Gen Ed/ICT/G&T
1,17,Gen Ed/ICT/G&T
1,27,Gen Ed/ICT/G&T
1,20,Gen Ed/ICT/G&T
2,25,Gen Ed/ICT/G&T
1,15,Gen Ed/ICT/G&T
1,20,Gen Ed/ICT/G&T
29,25,Gen Ed/ICT/G&T
5,24,Gen Ed/ICT/G&T
1,20,Gen Ed/ICT/G&T
4,20,Gen Ed/ICT/G&T
5,23,Gen Ed/ICT/G&T
1,16,Gen Ed/ICT/G&T
2,19,Gen Ed/ICT/G&T
1,24,Gen Ed/ICT/G&T
5,19,Gen Ed/ICT/G&T
3,16,Gen Ed/ICT/G&T
3,22,Gen Ed/ICT/G&T
4,<15,Gen Ed/ICT/G&T
1,28,Gen Ed/ICT/G&T
6,19,Gen Ed/ICT/G&T
1,18,Gen Ed/ICT/G&T
5,<15,Gen Ed/ICT/G&T
2,29,Gen Ed/ICT/G&T
2,15,Gen Ed/ICT/G&T
6,25,Gen Ed/ICT/G&T
13,24,Gen Ed/ICT/G&T
1,24,Gen Ed/ICT/G&T
4,24,Gen Ed/ICT/G&T
1,17,Gen Ed/ICT/G&T
2,15,Gen Ed/ICT/G&T
3,28,Gen Ed/ICT/G&T
2,27,Gen Ed/ICT/G&T
2,33,Gen Ed/ICT/G&T
5,22,Gen Ed/ICT/G&T
2,24,Gen Ed/ICT/G&T
2,24,Gen Ed/ICT/G&T
1,26,Gen Ed/ICT/G&T
1,26,Gen Ed/ICT/G&T
2,18,Gen Ed/ICT/G&T
2,27,Gen Ed/ICT/G&T
7,<15,Gen Ed/ICT/G&T
2,21,Gen Ed/ICT/G&T
2,21,Gen Ed/ICT/G&T
4,<15,Gen Ed/ICT/G&T
1,20,Gen Ed/ICT/G&T
2,16,Gen Ed/ICT/G&T
4,29,Gen Ed/ICT/G&T
1,17,Gen Ed/ICT/G&T
3,<15,Gen Ed/ICT/G&T
8,23,Gen Ed/ICT/G&T
5,29,Gen Ed/ICT/G&T
1,26,Gen Ed/ICT/G&T
1,31,Gen Ed/ICT/G&T
2,21,Gen Ed/ICT/G&T
12,32,Gen Ed/ICT/G&T
4,20,Gen Ed/ICT/G&T
3,15,Gen Ed/ICT/G&T
1,16,Gen Ed/ICT/G&T
1,28,Gen Ed/ICT/G&T
3,30,Gen Ed/ICT/G&T
1,17,Gen Ed/ICT/G&T
2,28,Gen Ed/ICT/G&T
2,25,Gen Ed/ICT/G&T
1,26,Gen Ed/ICT/G&T
1,26,Gen Ed/ICT/G&T
5,31,Gen Ed/ICT/G&T
7,27,Gen Ed/ICT/G&T
4,19,Gen Ed/ICT/G&T
3,17,Gen Ed/ICT/G&T
6,30,Gen Ed/ICT/G&T
1,15,Gen Ed/ICT/G&T
4,18,Gen Ed/ICT/G&T
1,18,Gen Ed/ICT/G&T
3,27,Gen Ed/ICT/G&T
9,17,Gen Ed/ICT/G&T
2,<15,Gen Ed/ICT/G&T
1,18,Gen Ed/ICT/G&T
14,25,Gen Ed/ICT/G&T
8,22,Gen Ed/ICT/G&T
8,23,Gen Ed/ICT/G&T
6,26,Gen Ed/ICT/G&T
11,20,Gen Ed/ICT/G&T
5,20,Gen Ed/ICT/G&T
14,28,Gen Ed/ICT/G&T
3,<15,Gen Ed/ICT/G&T
1,15,Gen Ed/ICT/G&T
11,30,Gen Ed/ICT/G&T
1,24,Gen Ed/ICT/G&T
2,23,Gen Ed/ICT/G&T
5,25,Gen Ed/ICT/G&T
2,16,Gen Ed/ICT/G&T
6,28,Gen Ed/ICT/G&T
1,18,Gen Ed/ICT/G&T
18,23,Gen Ed/ICT/G&T
1,27,Gen Ed/ICT/G&T
2,25,Gen Ed/ICT/G&T
2,30,Gen Ed/ICT/G&T
1,17,Gen Ed/ICT/G&T
1,16,Gen Ed/ICT/G&T
1,32,Gen Ed/ICT/G&T
6,29,Gen Ed/ICT/G&T
1,16,Gen Ed/ICT/G&T
5,18,Gen Ed/ICT/G&T
1,30,Gen Ed/ICT/G&T
1,25,Gen Ed/ICT/G&T
1,29,Gen Ed/ICT/G&T
11,32,Gen Ed/ICT/G&T
1,24,Gen Ed/ICT/G&T
8,22,Gen Ed/ICT/G&T
2,22,Gen Ed/ICT/G&T
1,17,Gen Ed/ICT/G&T
2,29,Gen Ed/ICT/G&T
2,<15,Gen Ed/ICT/G&T
1,19,Gen Ed/ICT/G&T
3,20,Gen Ed/ICT/G&T
7,26,Gen Ed/ICT/G&T
3,20,Gen Ed/ICT/G&T
4,29,Gen Ed/ICT/G&T
2,31,Gen Ed/ICT/G&T
6,30,Gen Ed/ICT/G&T
3,24,Gen Ed/ICT/G&T
1,16,Gen Ed/ICT/G&T
17,24,Gen Ed/ICT/G&T
9,<15,Gen Ed/ICT/G&T
1,<15,Gen Ed/ICT/G&T
1,28,Gen Ed/ICT/G&T
2,28,Gen Ed/ICT/G&T
3,22,Gen Ed/ICT/G&T
1,26,Gen Ed/ICT/G&T
22,27,Gen Ed/ICT/G&T
1,28,Gen Ed/ICT/G&T
2,21,Gen Ed/ICT/G&T
2,27,Gen Ed/ICT/G&T
8,29,Gen Ed/ICT/G&T
2,16,Gen Ed/ICT/G&T
1,25,Gen Ed/ICT/G&T
2,17,Gen Ed/ICT/G&T
1,33,Gen Ed/ICT/G&T
1,28,Gen Ed/ICT/G&T
5,<15,Gen Ed/ICT/G&T
7,20,Gen Ed/ICT/G&T
3,29,Gen Ed/ICT/G&T
4,21,Gen Ed/ICT/G&T
4,17,Gen Ed/ICT/G&T
10,26,Gen Ed/ICT/G&T
2,21,Gen Ed/ICT/G&T
