grade_level
5
K
5
6
8
2
1
K
4
1
1
2
3
3
4
2
2
3
7
2
1
K
3
1
1
K
K
3
7
3
4
5
2
2
6
5
8
2
5
5
1
3
1
7
7
4
K
4
2
1
6
2
K
1
K
K
4
4
7
2
K
3
3
1
3
4
4
1
2
1
2
4
1
K
2
8
4
6
3
2
K
5
4
8
7
8
3
7
4
2
4
K
4
4
6
2
K
2
8
7
8
5
4
1
3
7
2
5
2
K
3
K
8
3
8
6
6
2
8
3
3
1
2
2
1
K
3
2
K
5
1
2
3
2
2
K
3
1
3
K
3
7
K
1
2
3
1
K
5
8
7
7
1
7
1
8
K
4
2
5
3
8
1
8
2
6
1
5
4
3
6
1
1
6
3
3
K
K
1
K
2
3
6
1
5
6
6
2
K
5
4
5
3
7
2
3
1
1
K
7
