average_class_size,number_of_classes
25.4,33
18.9,14
19.5,11
23.9,17
19.8,63
17.9,15
19.9,21
21.8,17
27.8,4
19.0,26
22.4,11
22.9,22
20.8,25
26.4,48
16.0,20
19.2,28
19.7,3
21.3,28
26.2,45
17.8,65
13.0,1
18.8,25
19.2,12
26.4,5
23.8,18
16.9,20
22.1,28
18.0,2
18.2,64
19.9,39
16.3,15
22.9,30
16.1,15
21.4,21
18.4,16
26.3,31
20.0,21
16.0,1
18.5,20
22.6,45
17.9,26
22.6,5
24.0,41
24.4,18
17.8,14
18.9,17
21.4,22
16.6,15
18.0,30
24.7,3
22.1,39
27.8,4
22.5,6
23.0,41
27.0,3
16.0,14
21.3,15
16.6,16
23.2,50
20.2,50
25.5,51
19.7,58
19.0,39
23.1,11
19.9,16
18.6,18
23.0,1
24.1,30
20.1,10
23.3,19
20.8,13
26.5,2
21.8,50
22.4,53
21.6,50
14.0,2
26.8,4
21.2,23
23.5,2
10.0,1
16.9,19
19.9,10
23.8,4
22.5,20
20.8,45
24.0,6
17.5,16
26.8,31
19.6,64
17.2,18
24.1,33
21.3,20
22.5,21
19.3,79
21.8,14
20.0,20
18.9,17
23.4,23
27.7,3
22.2,37
24.5,2
7.0,1
17.3,30
20.3,16
19.3,38
22.4,20
22.4,25
21.9,37
24.6,18
20.0,14
21.0,2
17.6,14
7.0,1
20.6,7
20.4,24
19.0,26
18.0,2
20.8,53
17.3,3
26.3,35
22.5,17
22.1,20
24.0,1
22.2,48
15.9,20
23.0,10
18.9,53
20.0,1
21.9,10
21.0,12
7.0,1
21.5,65
19.7,9
15.5,13
21.8,48
20.5,23
24.2,20
18.5,8
24.5,2
25.4,37
18.2,25
24.4,12
17.1,27
22.5,33
23.2,24
22.7,14
26.3,4
19.8,4
16.6,9
14.5,2
18.5,10
24.2,6
22.9,19
21.1,29
19.2,62
20.3,40
20.5,37
23.3,19
17.7,7
19.4,23
24.8,19
18.0,22
22.2,39
21.7,26
19.8,17
24.0,12
26.4,5
18.7,37
20.9,18
21.5,26
21.5,47
17.6,14
19.1,16
26.8,4
19.1,42
19.4,26
16.1,18
22.9,29
17.1,12
21.8,26
19.5,24
17.1,24
18.7,13
24.5,4
17.3,23
17.1,19
19.7,15
18.8,11
10.0,2
25.3,52
23.8,19
20.5,24
18.7,14
25.7,11
24.0,26
19.8,30
24.5,15
19.5,15
20.4,38
24.9,42
