parkingplacardnumber,deactivatedate,abpermitrecords_active,returned,agencytype
801528,,True,False,NYC
801411,,True,False,NYC
801522,,True,False,NYC
801286,,True,False,NYC
801362,,True,False,NYC
800011,,True,False,NYC
801301,,True,False,NYC
801306,,True,False,NYC
801404,,True,False,NYC
801419,,True,False,NYC
800193,,True,False,NYC
801414,,True,False,NYC
801421,,True,False,NYC
801479,,True,False,NYC
801512,,True,False,NYC
801349,,True,False,NYC
801304,,True,False,NYC
801318,,True,False,NYC
801355,,True,False,NYC
801290,,True,False,NYC
801490,,True,False,NYC
801493,,True,False,NYC
801465,,True,False,NYC
801416,,True,False,NYC
801350,,True,False,NYC
801480,,True,False,NYC
800770,,True,False,NYC
801357,,True,False,NYC
801477,,True,False,NYC
801474,,True,False,NYC
801328,,True,False,NYC
801337,,True,False,NYC
801508,,True,False,NYC
801499,,True,False,NYC
801361,,True,False,NYC
801321,,True,False,NYC
801329,,True,False,NYC
801495,,True,False,NYC
801524,,True,False,NYC
801463,,True,False,NYC
801295,,True,False,NYC
801331,,True,False,NYC
801526,,True,False,NYC
801344,,True,False,NYC
801308,,True,False,NYC
801486,,True,False,NYC
801473,,True,False,NYC
801515,,True,False,NYC
801408,,True,False,NYC
801315,,True,False,NYC
801529,,True,False,NYC
801300,,True,False,NYC
801502,,True,False,NYC
801299,,True,False,NYC
801513,,True,False,NYC
801532,,True,False,NYC
801516,,True,False,NYC
801359,,True,False,NYC
801340,,True,False,NYC
801320,,True,False,NYC
801354,,True,False,NYC
801466,,True,False,NYC
801345,,True,False,NYC
800192,2009-11-20T14:52:29.000,False,True,NYC
801519,,True,False,NYC
801341,,True,False,NYC
801505,,True,False,NYC
801500,,True,False,NYC
801279,,True,False,NYC
800008,,True,False,NYC
801530,,True,False,NYC
801412,,True,False,NYC
801282,,True,False,NYC
801489,,True,False,NYC
800198,2009-11-20T14:17:04.000,False,True,NYC
801472,,True,False,NYC
800205,2009-11-20T14:17:52.000,False,True,NYC
801353,,True,False,NYC
801510,,True,False,NYC
801406,,True,False,NYC
800200,2009-11-20T14:17:17.000,False,True,NYC
801298,,True,False,NYC
801525,,True,False,NYC
801278,,True,False,NYC
801294,,True,False,NYC
801469,,True,False,NYC
801415,,True,False,NYC
801351,,True,False,NYC
801464,,True,False,NYC
801317,,True,False,NYC
800189,2012-02-10T14:40:18.000,False,True,NYC
801507,,True,False,NYC
801336,,True,False,NYC
801289,,True,False,NYC
801319,,True,False,NYC
801520,,True,False,NYC
801347,,True,False,NYC
801410,,True,False,NYC
801280,,True,False,NYC
801492,,True,False,NYC
800197,2009-11-20T14:16:55.000,False,True,NYC
801418,,True,False,NYC
801483,,True,False,NYC
800204,2009-11-20T14:17:47.000,False,True,NYC
801511,,True,False,NYC
801491,,True,False,NYC
807037,,True,False,NYC
801356,,True,False,NYC
801360,,True,False,NYC
801283,,True,False,NYC
800201,2009-11-20T14:17:23.000,False,True,NYC
801325,,True,False,NYC
801470,,True,False,NYC
801517,,True,False,NYC
801471,,True,False,NYC
801468,,True,False,NYC
801481,,True,False,NYC
801342,,True,False,NYC
801277,,True,False,NYC
801314,,True,False,NYC
800203,2009-11-20T14:17:40.000,False,True,NYC
800196,2009-11-20T14:16:50.000,False,True,NYC
800009,,True,False,NYC
801333,,True,False,NYC
800194,,True,False,NYC
801297,,True,False,NYC
801288,,True,False,NYC
801476,,True,False,NYC
801332,,True,False,NYC
801335,,True,False,NYC
801501,,True,False,NYC
800190,,True,False,NYC
801310,,True,False,NYC
801343,,True,False,NYC
801413,,True,False,NYC
801309,,True,False,NYC
801324,,True,False,NYC
801504,,True,False,NYC
801348,,True,False,NYC
801330,,True,False,NYC
801326,,True,False,NYC
801496,,True,False,NYC
801485,,True,False,NYC
801316,,True,False,NYC
817325,2009-11-20T14:52:23.000,False,True,NYC
801497,,True,False,NYC
801420,,True,False,NYC
801346,,True,False,NYC
800206,2009-11-20T14:17:58.000,False,True,NYC
801521,,True,False,NYC
801467,,True,False,NYC
801291,,True,False,NYC
801284,,True,False,NYC
801531,,True,False,NYC
801302,,True,False,NYC
800188,,True,False,NYC
801514,,True,False,NYC
801287,,True,False,NYC
801303,,True,False,NYC
801307,,True,False,NYC
800202,2009-11-20T14:17:35.000,False,True,NYC
801409,,True,False,NYC
801338,,True,False,NYC
801305,,True,False,NYC
800007,,True,False,NYC
801405,,True,False,NYC
801506,,True,False,NYC
801484,,True,False,NYC
800199,2009-11-20T14:17:09.000,False,True,NYC
801296,,True,False,NYC
801523,,True,False,NYC
801478,,True,False,NYC
801327,,True,False,NYC
801322,,True,False,NYC
801276,,True,False,NYC
801352,,True,False,NYC
801323,,True,False,NYC
801482,,True,False,NYC
801503,,True,False,NYC
801488,,True,False,NYC
801407,,True,False,NYC
801292,,True,False,NYC
801509,,True,False,NYC
801527,,True,False,NYC
801498,,True,False,NYC
801281,,True,False,NYC
801293,,True,False,NYC
801518,,True,False,NYC
801312,,True,False,NYC
801475,,True,False,NYC
801334,,True,False,NYC
801339,,True,False,NYC
801487,,True,False,NYC
801358,,True,False,NYC
801313,,True,False,NYC
801285,,True,False,NYC
801417,,True,False,NYC
801311,,True,False,NYC
800195,2009-11-20T14:16:44.000,False,True,NYC
801494,,True,False,NYC
