ct2010,cdeligibil
84800,I
117201,E
18400,E
59200,I
63600,I
101400,E
30900,E
112800,E
44600,E
43300,E
115600,E
32900,E
102400,I
23800,E
102000,I
100400,I
26900,E
41700,E
56200,I
900,E
13000,I
19000,E
45200,E
67000,I
86800,E
80000,I
43000,E
42800,E
98600,E
67200,E
100600,I
42900,E
116000,E
67400,I
78400,I
74000,E
57400,I
39900,E
111000,E
24200,E
93000,E
92400,I
10200,I
69000,I
101600,I
79601,E
4001,E
7800,E
55800,E
19600,E
87000,E
11300,I
64800,E
53800,E
76000,I
65200,I
90200,E
84000,I
55200,E
98400,I
27900,E
4400,E
10400,I
113400,E
28800,E
41300,E
20400,I
100800,E
116400,E
50500,E
89000,E
17000,I
68600,E
53400,E
66000,I
29800,E
501,I
57000,I
45400,E
9800,E
20600,E
52800,I
19800,E
64000,I
43600,E
13700,I
5800,E
24900,E
59402,I
53200,E
87800,I
65000,I
10400,E
119400,E
51800,I
49500,I
68800,I
44000,E
3800,E
76200,E
65400,I
102600,I
76800,E
19400,E
55000,E
24900,I
50300,E
51700,I
47000,E
41500,E
65800,I
29300,E
81800,E
101000,I
44200,I
74800,E
73400,I
30000,I
40400,E
117202,E
56600,I
18800,I
99200,I
83200,I
56800,I
54400,I
89800,E
28400,E
58000,E
26000,E
83800,I
21200,E
117000,I
57200,E
41401,E
68000,E
113000,E
112600,E
44100,E
6800,E
47200,E
89600,E
25200,E
38800,E
43400,E
59401,E
34200,E
99400,E
91600,E
27000,E
63200,I
96800,I
27200,E
6000,I
83600,I
7000,E
22200,E
63800,I
26600,E
31701,E
57800,E
34100,E
68200,I
41900,E
29100,E
112400,E
86200,E
80400,E
75200,I
33900,E
7400,E
4800,E
97000,I
72800,I
24600,E
39600,E
23600,E
51400,E
57600,I
64600,I
51601,E
44400,E
65600,I
85000,I
96400,E
13900,I
25800,E
96600,I
27300,E
56400,I
27800,E
51001,E
67600,I
81400,E
43500,E
44300,E
26700,E
56000,E
58600,E
24000,E
