shape_leng,ntacode
6573.68896378,BK88
5511.62421035,BK91
6302.37444023,BK45
5722.06050116,BK44
8094.77383611,BK17
5385.17094207,BK77
5590.08512766,BK44
5236.66077202,BK45
5828.14337958,BK29
6491.89482944,BK17
5517.26274687,BK50
4925.08719883,BK96
6104.40787351,BK28
6789.74047827,BK88
5606.51952093,BK96
5777.65534679,BK75
8351.80782096,BK58
5220.14981352,BK50
5947.05624464,BK25
5874.91829026,BK82
5226.63136924,BK37
6964.54947819,BK88
4556.00969596,BK42
5149.18179844,BK83
5520.89472736,BK44
7243.13150027,BK29
6283.85111171,BK29
5577.8398803,BK44
7419.80369744,BK61
5646.04773697,BK82
5734.95186947,BK45
5273.31374195,BK35
5221.79169186,BK34
5802.05822168,BK43
5638.8787152,BK43
6614.31879917,BK28
5753.2271351,BK17
5864.28942653,BK28
5542.99893981,BK95
5509.69439387,BK91
5259.87675458,BK50
6255.09029683,BK45
6391.34880983,BK78
6685.94142548,BK60
5262.82476595,BK50
7568.72837888,BK58
5222.70030619,BK78
5625.23050411,BK60
5030.77696399,BK61
6146.79498863,BK60
8185.0959122,BK17
5387.2012476,BK77
4686.58645242,BK50
5544.89292062,BK58
5255.80077531,BK28
3652.72638077,BK42
6242.98107647,BK88
6486.69652828,BK58
5219.68047842,BK37
6796.31333584,BK88
6785.2044705,BK81
5742.17947592,BK88
5699.18915516,BK28
5331.20070974,BK82
5679.86383198,BK43
5187.84492383,BK58
5025.01521984,BK78
6887.34065281,BK43
5343.1404916,BK50
6035.6802338,BK81
5203.9793279,BK34
6240.45934957,BK88
7953.54165322,BK29
5546.68353105,BK81
5193.71814857,BK83
6721.50846539,BK46
4382.68486483,BK60
4916.71542828,BX55
6299.57545567,BK42
7729.01679383,SI22
5377.96114003,BK50
5614.87939896,BK58
6411.19290432,BK44
5033.48598215,BK61
9001.20974336,BK43
5294.22320135,BK50
5552.17295106,BK77
7138.85275709,BK60
5763.48484189,BK50
5619.58902163,BK45
6026.38895065,BK91
7325.24788028,BK88
5822.84477033,BK43
5986.10498602,BK30
3927.82153159,MN36
7275.90189656,BK42
4637.06883207,BK82
9659.79815497,BK17
7007.33739981,BK91
9452.90977672,BK96
5460.42147207,BK85
7431.07792572,BK29
5326.7248597,BK78
5279.39727322,BK30
7327.42686795,BK27
5452.82505948,BK50
5354.67799506,BK85
6780.00306073,BK45
5097.84052718,BK50
5699.86064037,MN17
6257.55451737,BK28
5437.78521716,BK35
6204.72071168,BK45
5280.33883591,BK30
5385.05187483,BK77
6345.00330382,BK43
5970.7754373,BK43
8653.41638314,BK17
5498.33438799,BK31
5278.87683746,BK50
5389.74576592,BK35
5765.93730162,BK58
6098.16754691,BK31
5442.13946934,BK17
5742.49257142,BK85
6293.56260371,BK42
5718.1678608,BK30
7299.79737066,BK28
5543.21185713,BK29
6808.86938033,BK46
7587.90163759,BK85
4899.59694592,BK96
8675.98318252,BX55
5284.90284431,BK78
5612.22944252,BX55
5771.87384935,MN34
6518.29073421,BK50
5051.01894821,BK75
5223.5968951,BK45
4828.17027524,BK09
5230.94540177,BK45
8403.55014018,BK44
5221.45259126,BK44
5432.5285122,BK50
5030.78800734,BK90
3473.80549372,BX09
6353.53503109,BK58
7171.83871499,BK46
6272.71622399,BK45
5622.86376522,BK82
5647.03602708,BK91
6539.23873077,BK44
6635.84834479,BK96
5527.0639449,BK58
7706.99961567,BK28
5646.71632322,BK81
5550.28251363,BK91
5470.58126898,BK61
5340.24406544,BK75
5605.21552085,BK50
6040.6819312,BK90
5342.00109832,BK44
6220.29263355,BK30
5510.79876481,BK91
4994.56388729,BK32
6663.14362636,BK58
5340.45620972,BK44
5599.34479239,BK44
5761.25968585,BK44
5189.9688504,BK25
4996.86858358,BK50
6096.04496431,BK28
6358.01247405,BK46
7270.49788157,BK58
5439.93873614,BK35
5406.982408,BX55
8447.42166985,BK81
5217.26457153,BK45
5240.89803906,BK82
5569.96036747,BK25
5777.68813444,BK28
5266.48503662,BK85
6244.55673068,BK88
5513.91064978,BK77
5807.97295649,MN40
5693.03636707,MN17
5639.95138385,BK43
6225.17845159,BK73
6686.60698462,BK28
5522.41391228,BK44
5176.87275706,MN03
6251.69253063,BX55
5579.3555594,BK91
4674.60873248,BK50
5687.80243891,MN17
7381.41760556,BK21
4737.9783623,BK90
6669.64558119,BK29
6032.53550589,BK46
4986.67159568,BK32
