the_geom,shape_leng,boroname,ntaname
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91829936279647, 40.66116125790161], [-73.91818493104374, 40.66072620891558], [-73.91741819217512, 40.66005119210086], [-73.9170736343648, 40.65974535396289], [-73.91572803769873, 40.65855012827679], [-73.91556629546189, 40.65839257171779], [-73.91441247690497, 40.657362419291054], [-73.9140287814533, 40.65700370908498], [-73.91377943741749, 40.656783679711374], [-73.9131435625853, 40.656220864047825], [-73.91236458896573, 40.655513565249386], [-73.91199538384834, 40.655561559629234], [-73.91108323560228, 40.65570239282392], [-73.9101225569847, 40.655851771554126], [-73.90977962087938, 40.65446625508405], [-73.90975756152349, 40.65436711767473], [-73.90974279768352, 40.65431111194748], [-73.91007575405706, 40.65426552662586], [-73.91070974643269, 40.65417873430873], [-73.91093487182496, 40.65417328041045], [-73.91222770305262, 40.65413607396686], [-73.91232824406798, 40.65413478210958], [-73.91239958882122, 40.65413615123155], [-73.91274240280993, 40.65414523687049], [-73.91324842337065, 40.654155084156734], [-73.91352395177712, 40.654161163340866], [-73.9137592512996, 40.6541693448454], [-73.91482282470093, 40.6542056356321], [-73.91530757835524, 40.654222176325014], [-73.91539424322657, 40.654282538550355], [-73.91550963086695, 40.65438697571081], [-73.91633222143146, 40.65513143172691], [-73.91814781057464, 40.6567656633944], [-73.91726963416531, 40.65733324400145], [-73.91908916310649, 40.658966446441255], [-73.91995821996733, 40.659746784219436], [-73.92008167071675, 40.65985763346024], [-73.91998634754196, 40.66011546686565], [-73.9199044050508, 40.66033711672689], [-73.9197439953138, 40.66077097395042], [-73.91966280892859, 40.6614050329524], [-73.91962719168652, 40.661708059872495], [-73.91959479824045, 40.6619956797906], [-73.91945727792728, 40.661880785292475], [-73.91920451043306, 40.66165520014891], [-73.91893607302589, 40.66141601117571], [-73.9186016809777, 40.661118048606525], [-73.91829936279647, 40.66116125790161]]]]}",9452.90977672,Brooklyn,Rugby-Remsen Village
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94716450741116, 40.685112390966935], [-73.94701720846516, 40.68437947679447], [-73.94687279964053, 40.68364622060341], [-73.9467267728914, 40.68291392686572], [-73.9465805842019, 40.68218066046959], [-73.94643715447481, 40.68144855623871], [-73.94635671223884, 40.681058236762546], [-73.9462867460403, 40.68071878149474], [-73.94627470970133, 40.68021332642698], [-73.9467491597985, 40.68023966186567], [-73.94773023556641, 40.68029184628237], [-73.9495568871113, 40.680390402923344], [-73.94971436952525, 40.681070062941835], [-73.94986111081907, 40.6818040200851], [-73.95000845856703, 40.68253676014891], [-73.95015504126295, 40.68326896822755], [-73.95029937923275, 40.684001410626315], [-73.95044580177985, 40.68473476217628], [-73.95059026538276, 40.68546662716392], [-73.94731056625577, 40.685845486082506], [-73.94716450741116, 40.685112390966935]]]]}",5777.65534679,Brooklyn,Bedford
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9530366795168, 40.60150590938762], [-73.95397802921507, 40.60140163224036], [-73.95494183718068, 40.60129649039936], [-73.95590485025015, 40.60119091749463], [-73.95628728407772, 40.601147333963716], [-73.95683001633175, 40.60108734907758], [-73.95728347449587, 40.60346964169762], [-73.95753057660406, 40.60482330883048], [-73.95772401273773, 40.60579983320428], [-73.95718715888233, 40.6058636892159], [-73.95679474176515, 40.60590270563883], [-73.95583074074815, 40.606007204699225], [-73.95486939420455, 40.60611367908789], [-73.95392245016285, 40.60621661031639], [-73.95348473346691, 40.603890647765816], [-73.9530366795168, 40.60150590938762]]]]}",5599.34479239,Brooklyn,Madison
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9493455179803, 40.588513895217346], [-73.95010000319932, 40.5884314668562], [-73.95053877464193, 40.58838352370929], [-73.95100840299101, 40.58833180102591], [-73.95149337537185, 40.58827838985007], [-73.95245327575216, 40.588173492836006], [-73.95265109340704, 40.58921122882623], [-73.95272270780771, 40.589586939155666], [-73.95285743974742, 40.590293679602965], [-73.95307167080173, 40.591426499124154], [-73.95326012874342, 40.59241275670981], [-73.95230036006912, 40.59251402260288], [-73.95237014636747, 40.59288557118217], [-73.9524970472552, 40.593561205601446], [-73.95262488125283, 40.59424175619884], [-73.95263111854909, 40.594274970272096], [-73.95269927278541, 40.594637791650946], [-73.95276840892019, 40.59500018132204], [-73.95291182719855, 40.59575192543371], [-73.95314947405706, 40.597027918568166], [-73.95220370821761, 40.59713035149433], [-73.95100585510703, 40.59726261947361], [-73.95088024460901, 40.59660979514292], [-73.95055414715881, 40.59487085431102], [-73.95015202350199, 40.59275348829088], [-73.94975060101409, 40.59063361633411], [-73.9493455179803, 40.588513895217346]]]]}",8185.0959122,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.88116730337693, 40.68135366366726], [-73.88210725265975, 40.681217491138135], [-73.88303083264556, 40.68108517540948], [-73.8839719377404, 40.680947115195345], [-73.88489254738121, 40.68081111619076], [-73.88581541338192, 40.68067451867771], [-73.88630332605835, 40.682588919641525], [-73.88650461817556, 40.683348567847645], [-73.88564663772854, 40.68375304906111], [-73.88479646292525, 40.68415211132302], [-73.88389603437231, 40.68457400641411], [-73.8830416517419, 40.684972573321744], [-73.88220333078613, 40.68536028983371], [-73.88205690921343, 40.68492967640307], [-73.88164398745342, 40.683270459026865], [-73.88116730337693, 40.68135366366726]]]]}",5193.71814857,Brooklyn,Cypress Hills-City Line
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94767622840752, 40.660297324236005], [-73.94760091739121, 40.659585773186784], [-73.9475225439303, 40.658875752843784], [-73.94743290329555, 40.658031206508795], [-73.94735403396606, 40.657280095229694], [-73.94726367459748, 40.656437430622724], [-73.94715896323054, 40.65559378777362], [-73.95006664927287, 40.65542299720061], [-73.95015966048459, 40.656260231082676], [-73.95024701130465, 40.657095146785636], [-73.9503259672948, 40.65783743224603], [-73.95041539950725, 40.658693150196946], [-73.95049313972766, 40.6594051050902], [-73.95056848213086, 40.66011654553492], [-73.95064444098895, 40.660827130904536], [-73.95072412677708, 40.66156906477342], [-73.95081041735997, 40.66235357725821], [-73.95011282349051, 40.662396951232694], [-73.94974014723978, 40.6624201208041], [-73.94791392928235, 40.6625336399175], [-73.94783213321794, 40.66174564137611], [-73.9477527377973, 40.66100689403111], [-73.94767622840752, 40.660297324236005]]]]}",6685.94142548,Brooklyn,Prospect Lefferts Gardens-Wingate
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.97981769507334, 40.625773625245614], [-73.98008712844054, 40.62551183793174], [-73.98039701549395, 40.6252107382311], [-73.9809853420186, 40.624653145003286], [-73.98129337616092, 40.624356519926856], [-73.981565551754, 40.62409443152354], [-73.98273633157505, 40.62480149454438], [-73.98383100957399, 40.62546256352387], [-73.98326376873668, 40.6260348617433], [-73.98346435512757, 40.6261557762907], [-73.9847618610704, 40.62601968875113], [-73.98493834316572, 40.626122596068704], [-73.98596674177702, 40.6267560623667], [-73.98842824402895, 40.62823089180314], [-73.98833888540986, 40.628319557031354], [-73.98784191992222, 40.628796654786846], [-73.98725890908335, 40.62935523869049], [-73.98667493047405, 40.62991579130532], [-73.98420395929347, 40.628448189183594], [-73.98301600647025, 40.627704271326785], [-73.9821325938447, 40.62717144400488], [-73.98124489519638, 40.62662909956526], [-73.98109510007633, 40.62654333720041], [-73.98086712356837, 40.62640938341995], [-73.97981769507334, 40.625773625245614]]]]}",6789.74047827,Brooklyn,Borough Park
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91932072862139, 40.697060396871876], [-73.91856440692271, 40.6966300949912], [-73.91848765661173, 40.69658666446815], [-73.91842289822198, 40.69655002038476], [-73.91835160543692, 40.696509677147745], [-73.91824631872902, 40.69645009919075], [-73.91812143899853, 40.69637943246623], [-73.91800959451801, 40.69631614190954], [-73.91781824895689, 40.69620786264961], [-73.91839222279421, 40.69562405410304], [-73.91927079183588, 40.69473110426807], [-73.92115385566042, 40.69279669397854], [-73.92199459075542, 40.6931436579031], [-73.92274749956842, 40.69357280048982], [-73.92349832768406, 40.6940006769318], [-73.92424880923994, 40.694428611375514], [-73.92227093771318, 40.69644243278428], [-73.92198298561108, 40.69673601547306], [-73.92189050524081, 40.69683030416511], [-73.92121811475184, 40.69751582772912], [-73.92114194109662, 40.69759348715001], [-73.92082397449292, 40.69791765760238], [-73.92049620493216, 40.6977308390135], [-73.92043053949844, 40.69769341208214], [-73.92007372419296, 40.697490034399905], [-73.9196050846693, 40.69722264374144], [-73.91956944214998, 40.69720230748511], [-73.91932072862139, 40.697060396871876]]]]}",5222.70030619,Brooklyn,Bushwick South
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.95398278705585, 40.62355503207883], [-73.95490800486338, 40.623454478198774], [-73.95594076577467, 40.62334016063696], [-73.95714256395165, 40.623207887260286], [-73.95808804111296, 40.62310580188351], [-73.9585383331625, 40.62549418085623], [-73.95899416297213, 40.62788559454315], [-73.9580529314662, 40.62797111863201], [-73.95684697280595, 40.62811987905406], [-73.9558120719495, 40.62823349190701], [-73.95488499156899, 40.628335548840035], [-73.95443415146855, 40.62594456216945], [-73.95398278705585, 40.62355503207883]]]]}",5822.84477033,Brooklyn,Midwood
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93503274566054, 40.60173379090118], [-73.93447158901418, 40.601231511897375], [-73.9352598196141, 40.60114234811643], [-73.93619686434418, 40.60105507045559], [-73.93715063009022, 40.60094886618557], [-73.93811308681073, 40.600843757169905], [-73.93904134714633, 40.600741432095354], [-73.93939740850357, 40.602634904844855], [-73.93946548934625, 40.6029968966242], [-73.93991672776626, 40.60538600315016], [-73.9392097868506, 40.60547889853825], [-73.9389159228333, 40.605222939718836], [-73.9386747858081, 40.60500138257622], [-73.93773810518582, 40.60416126749797], [-73.93682747858846, 40.60334437571569], [-73.93655774141634, 40.60309499907738], [-73.93503274566054, 40.60173379090118]]]]}",5221.45259126,Brooklyn,Madison
