shape_area,ct2010,borocode
1479845.49082,84800,3
1390018.19519,117201,3
1903568.36592,18400,1
2360097.74878,59200,3
1230571.79325,63600,3
1668038.25359,101400,3
1587377.33537,30900,3
1982798.13033,112800,3
1519496.00718,44600,3
1810979.28504,43300,3
1720940.11007,115600,3
1683542.52563,32900,3
1540219.2801,102400,3
1828765.8366,23800,3
1690994.81976,102000,3
1421504.19154,100400,3
1441848.77275,26900,3
1519400.58521,41700,3
1838820.86447,56200,3
2497009.71359,900,5
1918144.56374,13000,1
2291793.60804,19000,3
2005612.97519,45200,3
2244629.37366,67000,3
1879388.24818,86800,3
1869357.36557,80000,3
1721309.64785,43000,3
1773181.67113,42800,3
1677791.63606,98600,3
1876488.01167,67200,3
1637144.17515,100600,3
1809836.53237,42900,3
1629832.67772,116000,3
2039940.89489,67400,3
1801875.97104,78400,3
1747894.63124,74000,3
1713577.62968,57400,3
1627809.30018,39900,3
1326238.79453,111000,3
2061125.06247,24200,3
2090418.8005,93000,3
2709111.18791,92400,3
1860992.68163,10200,1
1861629.00256,69000,3
1210060.3725,101600,3
1188358.64767,79601,3
1325276.12982,4001,2
1509791.95993,7800,3
1847310.15792,55800,3
2027285.79426,19600,3
1676352.23148,87000,3
1890907.25105,11300,1
1631120.74529,64800,3
1770108.53701,53800,3
1954536.39529,76000,3
1875210.18523,65200,3
2051102.69711,90200,3
1830663.25279,84000,3
1805017.44439,55200,3
1214786.68455,98400,3
1743087.88469,27900,3
2884623.95257,4400,2
1864600.43538,10400,1
1651198.28858,113400,3
1644934.09083,28800,3
1745182.93433,41300,3
1450945.91584,20400,3
1602833.06756,100800,3
1954432.44533,116400,3
1823285.60076,50500,3
2672111.28332,89000,3
2249706.37521,17000,3
1592924.45928,68600,3
1866105.77226,53400,3
1639605.42009,66000,3
2379873.99673,29800,3
901507.068826,501,3
2824696.89168,57000,3
1423881.81463,45400,3
1625498.61898,9800,3
1602693.75753,20600,1
1891640.14844,52800,3
1450201.52633,19800,3
1651211.88399,64000,3
1480301.62286,43600,3
1638365.93106,13700,3
2080303.34934,5800,3
1813352.69587,24900,3
3470556.24004,59402,3
1876179.03916,53200,3
1629553.09899,87800,3
1789145.91887,65000,3
1639390.80867,10400,3
1964535.95445,119400,3
2170111.38911,51800,3
1389722.70209,49500,3
1686416.92633,68800,3
2173529.71687,44000,3
682166.23749,3800,2
2024074.66412,76200,3
1631231.57737,65400,3
1462012.12798,102600,3
3265655.3038,76800,3
1920211.70627,19400,3
1937232.73265,55000,3
652856.302405,24900,1
1348755.3581,50300,3
2020312.36149,51700,3
1966226.10791,47000,3
1750287.78858,41500,3
1650702.18507,65800,3
1770060.59786,29300,3
1699560.02547,81800,3
1844400.79389,101000,3
1969036.04189,44200,3
1900352.13568,74800,3
1626698.16571,73400,3
2099450.94513,30000,3
1653839.81321,40400,3
1634622.13114,117202,3
1846300.38104,56600,3
1885932.52499,18800,3
1448961.10688,99200,3
1566888.41145,83200,3
1267976.17939,56800,3
2045270.61084,54400,3
1661399.96567,89800,3
1768012.29958,28400,3
1707766.25502,58000,3
1753286.16168,26000,3
1796855.84362,83800,3
2054324.25696,21200,3
1653943.99143,117000,3
2622725.2475,57200,3
1454192.17838,41401,3
1817783.36772,68000,3
2086280.49258,113000,3
1813472.15509,112600,3
1528572.59098,44100,3
1692236.90514,6800,2
1850619.2045,47200,3
1605933.81845,89600,3
1950979.09006,25200,3
2130565.77238,38800,3
1509164.86267,43400,3
4528015.93756,59401,3
2475181.64737,34200,3
1872516.81961,99400,3
2321085.77164,91600,3
1444005.58815,27000,3
1264075.59269,63200,3
1603786.92364,96800,3
1422363.32778,27200,3
1639074.02627,6000,3
2240975.45506,83600,3
2207823.40954,7000,2
1896474.10515,22200,3
1498401.11154,63800,3
1785502.93799,26600,3
1504294.00791,31701,3
1853782.13323,57800,3
1504308.0281,34100,3
2176848.62497,68200,3
1646861.67477,41900,3
1772059.51805,29100,3
1914338.73001,112400,3
1508724.49235,86200,3
2042543.43692,80400,3
1864085.12744,75200,3
1945657.77834,33900,3
1516612.97688,7400,3
1568167.57967,4800,2
1759315.58893,97000,3
2282665.36104,72800,3
1845582.85392,24600,3
1757819.3878,39600,3
1828207.74701,23600,3
1949161.86689,51400,3
1707334.54427,57600,3
1782721.29912,64600,3
1247781.46477,51601,3
1878089.9389,44400,3
1653144.05165,65600,3
1556707.69126,85000,3
1900792.34675,96400,3
1631336.55471,13900,3
1832115.73389,25800,3
1950813.54878,96600,3
1611451.01764,27300,3
1972387.64179,56400,3
1727742.05065,27800,3
828176.543113,51001,3
1672665.73331,67600,3
1831958.54218,81400,3
1810895.33183,43500,3
1805749.90344,44300,3
1717368.01377,26700,3
1988439.74868,56000,3
1759616.23276,58600,3
1827206.2811,24000,3
