of_8th_graders,__1,of_students_in_grades_6_8,of_students_in_grades_6_8_1
968,0.125,2871,225
1969,0.421,6312,1753
2307,0.231,7029,2513
451,0.004,1444,5
1594,0.46,4936,1875
1901,0.58,5922,2489
1163,0.137,3697,336
1455,0.209,4510,1177
1046,0.178,3232,638
1852,0.348,5768,1382
562,0.632,1870,577
1005,0.716,3351,1078
1027,0.158,3369,495
2124,0.101,6416,422
1440,0.34,4761,1003
1110,0.304,3507,726
1783,0.383,5195,1333
1266,0.614,4275,1703
1742,0.677,5239,2491
1791,0.17,5628,606
996,0.723,3202,2263
821,0.493,2572,1084
792,0.016,2393,56
787,0.588,2433,1196
798,0.759,2458,909
925,0.208,2956,386
1951,0.35,6483,1635
1469,0.713,4547,2697
1785,0.554,5477,1703
1831,0.412,5442,1600
1412,0.327,4555,1494
1483,0.294,4687,1065
1711,0.642,5444,1287
1215,0.561,4003,1727
990,0.139,3199,277
1055,0.227,3290,511
920,0.403,2956,1035
1259,0.585,3811,1846
379,0.245,1340,172
737,0.166,2342,277
1414,0.32,4838,917
604,0.248,1931,320
1436,0.12,4461,511
2254,0.207,7031,1983
1152,0.313,3662,750
2247,0.464,7181,2489
1232,0.301,3791,1057
1334,0.347,4017,881
799,0.411,2665,661
295,0.173,873,63
1378,0.442,3925,1003
