city_council_district,_
3,0.128
19,0.066
25,0.475
7,0.078
43,0.38
30,0.294
17,0.278
27,0.593
10,0.256
22,0.322
4,0.003
21,0.19
37,0.328
9,0.248
36,0.166
15,0.311
26,0.155
20,0.421
13,0.108
44,0.484
42,0.431
51,0.282
5,0.072
47,0.236
40,0.207
23,0.261
46,0.147
48,0.257
45,0.492
6,0.118
39,0.023
29,0.707
34,0.279
50,0.35
24,0.42
18,0.211
41,0.087
2,0.219
49,0.197
11,0.398
16,0.252
14,0.24
1,0.131
28,0.37
8,0.227
31,0.205
12,0.115
32,0.358
38,0.347
35,0.309
33,0.091
