_
0.078
0.278
0.358
0.003
0.38
0.42
0.091
0.261
0.197
0.24
0.309
0.322
0.147
0.066
0.211
0.207
0.257
0.398
0.475
0.108
0.707
0.421
0.023
0.492
0.37
0.131
0.252
0.593
0.311
0.294
0.328
0.227
0.236
0.431
0.087
0.155
0.35
0.484
0.128
0.118
0.19
0.166
0.115
0.282
0.205
0.347
0.279
0.219
0.248
0.072
0.256
