point_x,point_y,cb
1023581.994,248073.085,211
1051142.3285,209405.75525,411
1008353.611,245989.278,204
1000264.601,212593.766,402
941354.851,167419.801,501
1026249.32325,209060.91625,481
1028564.812,263508.931,212
1009398.917,184418.381,316
1021584.743,186176.62,305
1010311.694,160586.99,318
1009273.10725,222413.115,401
1005129.75525,215631.6515,401
999942.059,206665.53,301
1013848.521,238311.5,202
1055183.196,218083.734,411
1058336.122,197676.466,413
1020779.49375,203175.53925,406
1008821.144,170281.918,318
946072.292,149120.339,502
978017.692,165915.699,310
984582.2035,167448.096,310
957736.649,163764.672,501
1004794.332,216743.993,401
1027552.19,255994.453,212
995499.965,166953.146,314
1017843.975,174327.739,305
1041150.586,220683.273,407
1011644.941,220859.552,401
933556.988,137177.801,503
963509.67325,161710.5535,501
1015738.985,254914.379,207
994271.676,158764.261,315
1039532.021,236284.082,210
953973.233,170560.199,501
1009966.6735,235753.32325,201
1012572.559,238620.525,202
1003381.133,181328.873,309
948707.074,161779.185,501
986815.642,181113.354,307
1011417.9335,219341.01725,401
1015714.941,184424.229,305
1021403.657,267782.754,212
1005842.583,183765.616,316
1000288.378,211190.939,402
953329.0575,172672.67475,501
1051385.552,182201.625,412
996120.474,200327.403,301
981769.808,175683.911,307
1058156.272,188560.601,413
1036906.301,196016.799,412
1036863.989,204045.538,408
942755.51,165497.27475,501
1006511.827,187055.716,303
952793.553,158570.92,502
1060481.036,214017.841,411
997627.566,205378.824,301
1001814.926,168357.587,318
998938.17,171011.158,317
1018230.564,197751.72,405
944863.933,140623.753,503
1000841.96775,194753.0865,301
987262.894,180424.15925,307
1024548.473,244195.276,209
927594.881,136132.497,503
1004672.525,163643.722,318
997178.316,182613.282,309
1013913.317,244075.961,203
929921.72875,128782.40075,503
1047964.6805,198432.173,412
1044472.124,205373.875,408
948857.228,163293.046,501
1015548.654,235259.686,202
1059430.365,192845.796,413
1008181.367,221005.025,401
1004285.33,178172.929,317
984295.361,178996.882,307
944181.577,159503.04175,502
996168.195,160469.073,315
1023618.822,256362.087,212
1056704.33325,208115.6065,413
917516.761,127792.26,503
1056441.598,190147.936,413
1012215.533,237335.824,202
1012069.669,198953.562,405
1026383.803,177465.289,410
1023779.843,242660.302,209
1026480.161,242872.353,209
1055658.681,190159.812,413
1031180.31,245278.069,210
1022227.665,209283.499,404
1027432.259,177482.611,410
997568.222,176648.665,317
1019223.8,212132.601,403
1028539.38,222244.217,407
989417.103,187078.186,306
1001722.28,169478.179,318
1052394.65,181488.216,413
932588.33625,135919.4975,503
935998.421,138172.927,503
939413.969,156229.567,502
1025211.515,200770.955,406
1061149.9815,207687.64325,413
959163.5,170830.639,501
1036626.57,201907.55,408
962402.073,168252.754,501
1028799.283,252846.145,211
985075.7465,185846.27175,306
1005052.257,244805.839,204
987811.1475,195177.1525,302
1057810.932,182935.799,413
916688.855,122553.086,503
994485.446,165174.919,314
1054963.572,178960.584,413
1000198.315,203450.185,301
1035559.862,201484.868,408
1005485.942,172764.52,317
1064987.145,204702.99925,413
1021060.909,267106.149,212
1031949.443,198385.217,409
1012261.296,208598.596,402
1009839.59,192796.477,304
1013769.57175,211163.20775,404
980323.219,173838.99,307
1005725.026,163467.36,318
985738.421,192115.373,302
1042601.77825,199716.4055,408
948746.187,167609.118,501
1038114.92,200106.156,408
1026908.472,175360.551,410
987468.013,171492.255,312
990530.135,169699.749,314
947471.298,161652.5,501
1049130.47,192864.34,412
999054.658,195064.641,301
996421.437,177618.548,317
946269.527,163857.286,501
1002611.857,196943.718,301
1021112.586,188031.77,305
1017273.915,211427.034,404
1028053.319,193466.021,409
999906.486,165958.674,318
1025153.204,253202.92,211
1020688.43425,245581.57475,211
957856.094,147101.006,502
1039403.916,214584.988,407
988208.886,187315.769,306
1014314.856,242667.623,203
1062706.611,206044.545,413
1056559.882,189804.999,413
1014791.609,247994.859,206
1038259.834,217258.26,407
1036074.081,217733.319,407
1005412.91,186081.735,303
948643.523,158957.311,502
1029058.525,219581.976,407
1018529.146,182280.154,305
934263.36125,172781.129,501
990841.264,177556.888,307
985335.534,189395.927,306
1049861.673,185502.868,412
947913.628,146288.858,503
958559.02,165199.935,501
1024702.096,202164.6345,406
1019689.447,179688.50775,305
936557.01075,142634.6935,503
1060896.342,217228.092,411
997266.219,203437.906,301
1025267.083,203724.226,406
1006650.57,168746.287,318
1022447.746,186576.543,305
987745.262,183906.952,306
1011041.62,258432.89,208
1001963.702,154243.113,315
999782.669,186073.704,308
1045626.128,192825.006,412
1033739.584,199167.89,408
922907.269,138626.535,503
1009711.36,237547.624,201
927743.944,132242.119,503
990424.697,162970.916,311
1019905.77,184819.447,305
1002536.989,202902.401,301
994630.437,175930.701,314
1016421.784,182107.803,305
1007811.123,231313.645,201
1029246.319,203102.014,406
1046004.339,201867.018,408
1002071.97,207168.6435,402
936131.804,137671.096,503
1006762.51,215459.622,401
1025084.90225,186450.661,410
929366.072,137483.026,503
999300.715,176832.786,317
1021863.845,181483.504,305
1029086.4185,188838.17975,409
944249.62625,144882.07825,503
1034832.504,160555.95325,414
944810.469,138195.734,503
1008423.396,174041.245,318
1011028.63775,211015.9435,402
