the_geom,point_x,latitude
"{'type': 'Point', 'coordinates': [-73.99702302165667, 40.67678176475857]}",985075.7465,40.6767807
"{'type': 'Point', 'coordinates': [-74.14429795821631, 40.60438470119421]}",944181.577,40.60438538
"{'type': 'Point', 'coordinates': [-74.14947046198209, 40.620831048818644]}",942755.51,40.62083054
"{'type': 'Point', 'coordinates': [-73.927791519931, 40.655697517194454]}",1004285.33,40.65569687
"{'type': 'Point', 'coordinates': [-73.74393287740635, 40.764981283601756]}",1055183.196,40.76498032
"{'type': 'Point', 'coordinates': [-74.20326662775601, 40.529469401546514]}",927743.944,40.52946854
"{'type': 'Point', 'coordinates': [-73.83766432796182, 40.72403034021015]}",1029246.319,40.72402954
"{'type': 'Point', 'coordinates': [-73.76346094789866, 40.67559608952335]}",1049861.673,40.67559433
"{'type': 'Point', 'coordinates': [-73.7580000627204, 40.6665235252806]}",1051385.552,40.66652298
"{'type': 'Point', 'coordinates': [-73.84203106192443, 40.69758785937855]}",1028053.319,40.69758606
"{'type': 'Point', 'coordinates': [-73.86295097220767, 40.741029894388646]}",1022227.665,40.74103165
"{'type': 'Point', 'coordinates': [-73.83823204296888, 40.76926457430984]}",1029058.525,40.76926422
"{'type': 'Point', 'coordinates': [-73.90965084254007, 40.77711345243558]}",1009273.10725,40.77711487
"{'type': 'Point', 'coordinates': [-73.95947318174078, 40.62491713868687]}",995499.965,40.62491608
"{'type': 'Point', 'coordinates': [-73.76602613577859, 40.69580696352467]}",1049130.47,40.69580841
"{'type': 'Point', 'coordinates': [-73.94400116043501, 40.6773924260893]}",999782.669,40.67739105
"{'type': 'Point', 'coordinates': [-73.91973776777523, 40.68007346050807]}",1006511.827,40.68007278
"{'type': 'Point', 'coordinates': [-73.86560064889719, 40.901597080727115]}",1021403.657,40.90159607
"{'type': 'Point', 'coordinates': [-74.15452808881982, 40.626101302282954]}",941354.851,40.62610245
"{'type': 'Point', 'coordinates': [-74.20383540829516, 40.540146782576734]}",927594.881,40.54014587
"{'type': 'Point', 'coordinates': [-73.89280106289041, 40.83655758330331]}",1013913.317,40.8365593
"{'type': 'Point', 'coordinates': [-73.90109337125263, 40.77284229960348]}",1011644.941,40.77284241
"{'type': 'Point', 'coordinates': [-73.95173244964019, 40.730383952070966]}",997627.566,40.73038483
"{'type': 'Point', 'coordinates': [-74.02245027878601, 40.62207451461303]}",978017.692,40.62207413
"{'type': 'Point', 'coordinates': [-73.93104134242836, 40.66436188530108]}",1003381.133,40.66436005
"{'type': 'Point', 'coordinates': [-73.87643516222977, 40.66692724841872]}",1018529.146,40.66692734
"{'type': 'Point', 'coordinates': [-73.97737391595571, 40.632460902072104]}",990530.135,40.63246155
"{'type': 'Point', 'coordinates': [-73.81489900679492, 40.719557307486596]}",1035559.862,40.71955872
