the_geom,unitid,boro
"{'type': 'Point', 'coordinates': [-73.80028321892448, 40.815047939107124]}",H214891,2
"{'type': 'Point', 'coordinates': [-73.87743341548992, 40.7093942538901]}",H431222,4
"{'type': 'Point', 'coordinates': [-73.84843953431951, 40.74040077655552]}",H430243,4
"{'type': 'Point', 'coordinates': [-73.95200336693904, 40.65152639617146]}",H314873,3
"{'type': 'Point', 'coordinates': [-73.90614008471415, 40.60741217776906]}",H330908,3
"{'type': 'Point', 'coordinates': [-73.95173244964019, 40.730383952070966]}",H307898,3
"{'type': 'Point', 'coordinates': [-73.95707739917155, 40.60711882919369]}",H318738,3
"{'type': 'Point', 'coordinates': [-73.843435253934, 40.86921390511705]}",H211596,2
"{'type': 'Point', 'coordinates': [-73.87145946928507, 40.67389159534602]}",H330126,3
"{'type': 'Point', 'coordinates': [-74.18011454782204, 40.64077980408765]}",H500014,5
"{'type': 'Point', 'coordinates': [-73.94246151222634, 40.72508604768946]}",H307995,3
"{'type': 'Point', 'coordinates': [-73.74251270694663, 40.688333422508244]}",H404344,4
"{'type': 'Point', 'coordinates': [-74.17313205040897, 40.544420356428326]}",H505300,5
"{'type': 'Point', 'coordinates': [-74.14396635619805, 40.56425342130275]}",H509011,5
"{'type': 'Point', 'coordinates': [-74.13680314935922, 40.61634538708291]}",H506949,5
"{'type': 'Point', 'coordinates': [-73.73854904400253, 40.73760908031438]}",H418285,4
"{'type': 'Point', 'coordinates': [-73.94400116043501, 40.6773924260893]}",H315750,3
"{'type': 'Point', 'coordinates': [-73.84008871303975, 40.776574333505046]}",H431607,4
"{'type': 'Point', 'coordinates': [-74.24293774013593, 40.502797581093226]}",H501758,5
"{'type': 'Point', 'coordinates': [-73.94337853660109, 40.73391184024882]}",H307787,3
"{'type': 'Point', 'coordinates': [-73.83833618031831, 40.684880350145846]}",H424625,4
"{'type': 'Point', 'coordinates': [-74.12801234072082, 40.61065154825418]}",H507105,5
"{'type': 'Point', 'coordinates': [-73.89280106289041, 40.83655758330331]}",H206744,2
"{'type': 'Point', 'coordinates': [-73.90933857416454, 40.672826843151874]}",H321841,3
"{'type': 'Point', 'coordinates': [-74.15452808881982, 40.626101302282954]}",H503822,5
"{'type': 'Point', 'coordinates': [-73.94660604880382, 40.702071722033075]}",H311974,3
"{'type': 'Point', 'coordinates': [-73.89896469763835, 40.818063381824295]}",H206482,2
"{'type': 'Point', 'coordinates': [-73.91147293739287, 40.63402697951728]}",H328476,3
"{'type': 'Point', 'coordinates': [-73.96259175367022, 40.64955967210373]}",H315032,3
"{'type': 'Point', 'coordinates': [-73.73968978809816, 40.68829447448579]}",H409722,4
"{'type': 'Point', 'coordinates': [-74.14429795821631, 40.60438470119421]}",H506615,5
"{'type': 'Point', 'coordinates': [-74.11327944482538, 40.60186097300685]}",H510134,5
"{'type': 'Point', 'coordinates': [-73.93104134242836, 40.66436188530108]}",H321297,3
"{'type': 'Point', 'coordinates': [-74.09500368394126, 40.57039488390688]}",H514502,5
"{'type': 'Point', 'coordinates': [-73.98715643152194, 40.7023922075582]}",H302231,3
"{'type': 'Point', 'coordinates': [-73.77017754140762, 40.711097774609286]}",H401200,4
"{'type': 'Point', 'coordinates': [-73.79456804377382, 40.77221777714884]}",H425919a,4
"{'type': 'Point', 'coordinates': [-73.75436985093444, 40.66455767434681]}",H407314,4
"{'type': 'Point', 'coordinates': [-73.80503220421846, 40.76283516294326]}",H426351,4
"{'type': 'Point', 'coordinates': [-73.85406437094642, 40.7214794112615]}",H430412,4
"{'type': 'Point', 'coordinates': [-73.9362215908767, 40.59002014290445]}",H327838,3
"{'type': 'Point', 'coordinates': [-73.96313057572907, 40.620037507663554]}",H319263,3
"{'type': 'Point', 'coordinates': [-73.81291877374154, 40.7641521571808]}",H426383,4
"{'type': 'Point', 'coordinates': [-73.927791519931, 40.655697517194454]}",H320531,3
"{'type': 'Point', 'coordinates': [-73.92348147443283, 40.64084981362962]}",H324778,3
"{'type': 'Point', 'coordinates': [-73.99880324731038, 40.62628280940712]}",H308544,3
"{'type': 'Point', 'coordinates': [-73.84203106192443, 40.69758785937855]}",H424936,4
"{'type': 'Point', 'coordinates': [-74.0925423591207, 40.620074835122146]}",H513062,5
"{'type': 'Point', 'coordinates': [-73.90109337125263, 40.77284229960348]}",H438025,4
"{'type': 'Point', 'coordinates': [-74.18239266544923, 40.54305201564519]}",H505437,5
"{'type': 'Point', 'coordinates': [-73.84815189272693, 40.65367762903953]}",H422087,4
"{'type': 'Point', 'coordinates': [-74.12822635009628, 40.60290583426859]}",H509718,5
"{'type': 'Point', 'coordinates': [-73.72888277862388, 40.695674559216215]}",H403465,4
"{'type': 'Point', 'coordinates': [-73.9873998996428, 40.67145811660925]}",H305309,3
"{'type': 'Point', 'coordinates': [-73.97775994316136, 40.61399173724911]}",H313560,3
