unitid,longitude
H440231,-73.94211578
H430307,-73.85223389
H324778,-73.9234848
H405845,-73.76345825
H328346,-73.9226532
H506615,-74.14429474
H422015,-73.84627533
H211596,-73.84343719
H205294,-73.86560059
H500506,-74.24001312
H211005,-73.83894348
H304970,-73.98136902
H510548,-74.09038544
H315724,-73.94576263
H424936,-73.84203339
H515324,-74.07469873
H214891,-73.80028534
H304184,-73.99983978
H210706,-73.85783386
H301127,-73.99608612
H331297,-73.86441803
H417730,-73.72485352
H310227,-73.97624207
H409350,-73.70870209
H200977,-73.92481995
H318738,-73.95707703
H404344,-73.74251556
H315300,-73.95339966
H424625,-73.83833313
H206954,-73.89135742
H319668,-73.93704987
H209575,-73.88693237
H304743,-73.98914337
H505300,-74.17313385
H418285,-73.73854828
H206328,-73.89767456
H417680,-73.72251129
H422087,-73.84815216
H421712,-73.84437561
H212524,-73.84739685
H307661,-73.95717621
H437326,-73.90335846
H440327,-73.94219971
H206642,-73.90801239
H208796,-73.83972168
H204205,-73.88615417
H407686,-73.74514008
H426383,-73.81291962
H401200,-73.77017975
H313918,-73.97737122
H303778,-74.01415253
H320975,-73.92216492
H423890,-73.81489563
H430542,-73.85202026
H207311,-73.88961029
H409933,-73.81783001
H431908,-73.83823395
H438921,-73.92462921
H206359,-73.89305878
H304613,-73.99075317
H438160,-73.90965271
H311974,-73.9466095
H329560,-73.87643433
H302231,-73.98715643
H507472,-74.12789917
H435597,-73.89346313
H314873,-73.95200348
H418951,-73.74393463
H401511,-73.73277283
H403465,-73.72888184
H327141,-73.88656616
H325062,-73.91929626
H208675,-73.85765839
H304936,-73.9857254
H439410,-73.93569183
H314844,-73.95613098
H312477,-73.93376923
H407314,-73.75437164
H409722,-73.73969269
H511322,-74.14190674
H330126,-73.87145996
H321841,-73.9093399
H319263,-73.96312714
H329635,-73.8840332
H513062,-74.09254456
H503387,-74.16144572
H315032,-73.96259308
H507105,-74.12801361
H421404,-73.78271484
H205380,-73.86684418
H307898,-73.95172882
H324356,-73.9367218
H430412,-73.85406494
H417888,-73.72332001
H437998,-73.91359711
H500749,-74.22072601
H321625,-73.91973877
H304374,-74.00894165
H311869,-73.94016077
H439027,-73.92584229
H417570,-73.71691132
H307787,-73.94338226
H424337,-73.8214798
H210296,-73.85715485
H425919a,-73.79457092
H318926,-73.96391296
H438973,-73.91873932
H502431,-74.19747162
H210109,-73.85437012
H315750,-73.94400024
H504005,-74.14946747
H327838,-73.93621826
H438025,-73.90109253
H211045,-73.85212708
H514502,-74.09500122
H509011,-74.14396667
H504726,-74.19540405
H426351,-73.80503082
H405295,-73.73352814
H419480,-73.75860596
H434815,-73.8808136
H426925,-73.80092621
H425201,-73.85277557
H502133,-74.20326996
H301843,-73.99462891
H431607,-73.84008789
H322470,-73.90771484
H507644,-74.11141205
H319609,-73.94707489
H513210,-74.09549713
H324640,-73.92643738
H433649,-73.89965057
H331063,-73.8789444
H205759,-73.91490173
H309116,-73.98840332
H505747,-74.17163849
H509718,-74.12822723
H509317,-74.13742828
H413257,-73.78951263
H424148,-73.81017303
H432349,-73.86295319
H501758,-74.24293518
H507007,-74.12747955
H320531,-73.92778778
H408038,-73.80569266
H400376,-73.77721405
H507725,-74.10908508
H330908,-73.90614319
H500014,-74.18011455
H329697,-73.87226868
H505308,-74.1736145
H430386,-73.86820984
H205811,-73.90709686
H506949,-74.13680267
H409026,-73.76602936
H436642,-73.9019165
H307276,-73.95304108
H312552,-73.93402863
H319071,-73.95947266
H503822,-74.15452576
H427742,-73.83766174
H321850,-73.92370605
H201771,-73.90312195
H424283,-73.82794189
H407026,-73.73483276
H403040,-73.77866364
H320047,-73.94360352
H313560,-73.97776031
H305309,-73.98739624
H307995,-73.94245911
H511597,-74.14173126
H308544,-73.99880219
H401721,-73.81008148
H513519,-74.07871246
H330719,-73.86228559
H430243,-73.84844208
H431222,-73.87743378
H511859,-74.13078308
H210144,-73.86830902
H212996,-73.83039093
H325449,-73.9128952
H321297,-73.9310379
H206744,-73.89279938
H434895,-73.8737793
H504883,-74.18586731
H330626,-73.86708832
H302810,-74.02245331
H328476,-73.91147614
H206482,-73.89896393
H330725,-73.86540222
H435345,-73.89891815
H510134,-74.11327944
H507171,-74.13246155
H203150,-73.91288757
H502604,-74.20383453
H505437,-74.18239594
H409716,-73.73926544
H301465,-73.99702454
H407295,-73.75800323
H423963,-73.81105042
