project_descr,city_prior_actual,noncity_yr1_plan,noncity_yr5_plan,managing_agcy_cd,managing_agcy,pub_date
NEW CROTON DAM RECONSTRUCTION,12384,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
BUILDING IMPROVEMENTS,0,0,0,806,HOUSING PRESERVATION AND DEVEL,20200116
EAST DELAWARE RELEASE CHAMBER VALVE REPLACEMENTS,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
New York City Ferry Barges,70917,0,0,801,DEPT OF  SMALL BUSINESS SERVICES,20200116
Industrial Fund,0,0,0,801,DEPT OF  SMALL BUSINESS SERVICES,20200116
MULTI COMPONENT RENOVATIONS - EC253,8639,0,0,57,FIRE DEPARTMENT,20200116
INSTANTANEOUS HOT WATER HEATERS,3953,0,0,806,HOUSING PRESERVATION AND DEVEL,20200116
ADA Compliance for OBCC,40,0,0,72,DEPARTMENT OF CORRECTION,20200116
WASTE MANAGEMENT EXTERIOR COMPACTORS,0,0,0,806,HOUSING PRESERVATION AND DEVEL,20200116
Dependability- Connection from Del Aqueduct to Cat Aqueduct,31014,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
Merriman Dam Spillway,2028,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
"BATHROOM RENO AT 67TH, 77TH AND TRAFFIC CONTROL DIVISION",1354,0,0,56,POLICE DEPARTMENT,20200116
"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH & EAST",0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH & EAST",0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
FAD - FLOOD HAZARD MITIGATION,15000,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
HOMELESS INITIATIVE,10223,0,0,806,HOUSING PRESERVATION AND DEVEL,20200116
Neighborhood Fund,0,0,0,801,DEPT OF  SMALL BUSINESS SERVICES,20200116
HVAC Upgrades at Margaretville WWTP,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
Cyclic Equipment Replacement for WTO,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
BUILDING FACADES,40025,0,0,806,HOUSING PRESERVATION AND DEVEL,20200116
Sludge Drying Greenhouse Recon. at Margaretville WWTP,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
MULTI COMPONENT RENOVATIONS - EC153,344,0,0,57,FIRE DEPARTMENT,20200116
EASTVIEW MAINTENANCE SHOP,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
"Installation of Replacement Generators RNDC, EMTC,GMDC,RMSC",727,0,0,72,DEPARTMENT OF CORRECTION,20200116
HILLVIEW WATERFOWL MGMT FACILITY,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
Catskill Acqueduct Pressure Tunnels,6819,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
Power and Cooling for Data Center 11 MetroTech,0,0,0,57,FIRE DEPARTMENT,20200116
CONCRETE SLABS AT VARIOUS DEVELOPMENTS,12469,0,0,806,HOUSING PRESERVATION AND DEVEL,20200116
PSA4 HVAC,0,0,0,56,POLICE DEPARTMENT,20200116
EMS 20 EXPANSION AND RENOVATON,7985,0,0,57,FIRE DEPARTMENT,20200116
HURRICANE SANDY HAZMAT MITIGATION - EC266,10,765,0,57,FIRE DEPARTMENT,20200116
"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH & EAST",101210,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
DEL Shaft 18 Kensico Electrical Upgrade,8871,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
Schoharie Reservoir road improvement- NYS Rt. 990V,584,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
HURRICANE SANDY HAZMAT MITIGATION-EC265,20,1553,0,57,FIRE DEPARTMENT,20200116
Paving of Roadway at Hillview Complex,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
TIMES SQUARE STATION RENOVATION,5256,0,0,56,POLICE DEPARTMENT,20200116
GI - DDC PROJECTS-GREEN INFRASTRUCTURE AND PUBLIC BUILDINGS,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
UPGRADE IDF AND MDF ROOMS (LAN ENVIRONMENTALS),4464,0,0,819,HEALTH AND HOSPITALS CORP,20200116
DELAWARE-RONDOUT AQUEDUCT (PARALLEL TUNNEL TO RWBT),1055312,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
RESURFACING SCHOHARIE ROADS WEST AND BEARKILL BRIDGE,9849,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
Hillview Police Precinct,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
EOH Dam Facing,4196,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
East River Ferry Service Passenger Shelters,81,0,0,801,DEPT OF  SMALL BUSINESS SERVICES,20200116
HHC PRIMARY HEALTH CLINICS,0,0,0,819,HEALTH AND HOSPITALS CORP,20200116
RECONSTRUCTION TANNERSVILLE WWTP,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
CITYWIDE BATHROOM RENOVATION,36575,0,0,56,POLICE DEPARTMENT,20200116
WATERPROOFING - EC276,3514,0,0,57,FIRE DEPARTMENT,20200116
"RECONSTRUCT CONCRETE BEAMS AND FLOORS, ASHOKAN GARAGE",1772,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH & EAST",56347,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
Major Renovations-Brickwork and Roofs at Sotomayer Houses,17863,0,0,806,HOUSING PRESERVATION AND DEVEL,20200116
Port Security Grant Funds,0,53,0,801,DEPT OF  SMALL BUSINESS SERVICES,20200116
