scope_text,city_plan_total,city_yr4_plan,city_yr5_plan,noncity_rtc,city_rtc,site_descr,city_yr3_plan,typ_category_name,noncity_yr3_plan
"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH & EAST",20180,0,0,0,20180,,0,PLANT UPGRADING AND RECONSTRUCTION,0
GENERAL CONSTRUCTION CITYWIDE,102545,10000,10000,0,30000,,10000,LOW TO MODERATE INCOME PUBLIC HOUSING REHAB/RECONSTRUCTION,0
PERMANENT REPLACEMENT OF BOTH SPILLWAY APPROACH WALLS AT AMAWALK DAM,2130,2130,0,0,0,,0,WATER QUALITY PRESERVATION,0
ACQUISITION FUND,56500,0,0,0,0,,51500,NEIGHBORHOOD REVITALIZATION,0
CA HUDSON RIVE DRAINAGE CHAMBER,34379,0,25000,0,0,,0,WATER QUALITY PRESERVATION,0
EDTO & NTO TURBINE REPLACEMENT,1200,1000,0,0,0,,0,WATER QUALITY PRESERVATION,0
SANDY - ROCKAWAY BEACH: LONG-TERM RC,2,0,0,0,0,,0,MISCELLANEOUS,0
SCHOHARIE RESERVOIR ROAD IMPROVEMENT- NYS RT. 990V,6009,1100,0,0,4325,,0,WATER QUALITY PRESERVATION,0
UPSTATE,451,0,0,0,0,,0,"BUILDING CONSTRUCTION, RECONSTRUCTION OR RETROFIT",0
DDC  PROJECTS - GREEN INFRASTRUCTURE,11584,0,0,0,0,,5949,GREEN INFRASTRUCTURE PROGRAM,0
BOILER REPLACEMENT,1258,0,0,0,0,,0,POLICE FACILITIES,0
SCA LUMP SUM,1269798,0,0,0,1269798,,0,REHABILITATION OF SCHOOL COMPONENTS,0
BWS EMERGENCY SERVICES CONTRACT,9000,3000,0,0,6000,,0,WATER QUALITY PRESERVATION,0
H+H SANDY MITIGATION,0,0,0,0,0,,0,MISCELLANEOUS,0
"THIS PROJECT IS DESIGNED TO PROVIDE SUPPLEMENTAL CARBON ADDITION SYSTEMS TO ENHANCE NITROGEN REMOVAL AT BOWERY BAY, TALLMAN ISLAND, WARDS ISLAND, AND 26TH WARD WWTP. GLYCEROL HAS BEEN SELECTED AS THE PRIMARY CARBON SOURCE. THE SYSTEM WILL INCLUDE SUPPLEMENTAL CARBON RECEIVING STATION, BULK STORAGE, FEED AND DELIVERY, AND ANY ANCILLARY INSTRUMENTATION AND CONTROL SYSTEMS NEEDED TO OPERATE THESE FACILITIES.",105564,0,0,0,0,,0,BIOLOGICAL NUTRIENT REMOVAL,0
OPERATIONS AND MAINTENANCE,37972,0,0,0,0,,0,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,0
REHABILITATE 200 NYCHA UNITS,20582,0,0,0,0,,0,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,0
FAD 18-22 WAP AND FORESTRY,61749,0,0,0,20985,,0,FILTRATION AVOIDANCE DETERMINATION,0
DAM STABILITY IMPROVEMENTS,17000,0,0,0,15000,,0,WATER QUALITY PRESERVATION,0
SHAFT 4 GATE VALVE REPLACEMENTS,7000,4000,0,0,0,,1500,WATER QUALITY PRESERVATION,0
IMPROVEMENTS TO VARIOUS DOMESTIC VIOLENCE SHELTERS. (CONSTRUCTION COSTS),908,0,0,0,0,,908,SHELTERS FOR HOMELESS FAMILIES,0
CONSTRUCTION OF NEW ACADEMY BUILDING,100000,0,0,0,0,,0,SUPPORT SPACE,0
ESTIMATE,2908,0,0,0,0,,2408,POLICE FACILITIES,0
HURRICANE SANDY HAZMAT MITIGATION - EC266,95,0,0,0,0,,0,NEW FACILITIES AND RENOVATIONS,0
CATSKILL AQUEDUCT RECONST.-KENSICO TO HILVIEW,153509,10000,0,0,115000,,0,WATER QUALITY PRESERVATION,0
ASBESTOS REMOVAL,6962,2885,0,0,0,,0,FACILITY PURCHASES AND RECONSTRUCTION,0
GAZEBO - MANHOLES PROJECT ON 7TH AVENUE & WEST 14TH STREET.,40,0,0,0,0,,0,COMMUNICATIONS,0
"CITY TUNNEL 3, CORRECT STAGE 1 CORROSION ISSUES",31490,0,19000,0,0,,2000,CORROSION PROTECTION SYSTEM,0
EMS 20 EXPANSION AND RENOVATON,8306,0,0,0,0,,0,NEW FACILITIES AND RENOVATIONS,0
"JOB ORDER CONTRACTING FOR SMALL TO MEDIUM SIZED PROJECTS IN GENERAL CONSTRUCTION/ PLUMBING/ HVAC AND ELECTRICAL WORK IN REGIONS NORTH, SOUTH AND EAST AT VARIOUS WASTEWATER TREATMANT PLANTS AND FACILITIES CITY-WIDE.",71040,0,0,0,71040,,0,PLANT UPGRADING AND RECONSTRUCTION,0
RPLACEMENT OF EMERGENCY GATE TOWER HOIST,900,0,0,0,0,"CANNONSVILLE RESERVOIR, DELAWARE COUNTY, NY",0,WATER QUALITY PRESERVATION,0
UPGRADES AT CSO FACILITIES,20000,0,0,0,20000,,0,WATER QUALITY MANDATES,0
SCHOLARIE RESERVIOR/GILBOA DAM AND INTAKE/OUTLET CHAMBER,468190,0,31000,0,0,SCHOLARIE RESERVIOR/GILBOA DAM,432,DAM SAFETY PROGRAM,0
FAD 13-17 WAP AND FORESTRY,28683,0,0,0,84,,0,WATER QUALITY PRESERVATION,0
"NYCHA - RENOVATION OF DYCKMAN HOUSE AND MARBLE HILL SENIOR CENTERS --CONSTRUCTION OR RENOVATION OF DYCKMAN HOUSE SENIOR CENTER 3758 10TH AVE., MANHATTAN",2000,0,0,0,0,,0,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,0
"JOB ORDER CONTRACTING FOR SMALL TO MEDIUM SIZED PROJECTS IN GENERAL CONSTRUCTION/ PLUMBING/ HVAC AND ELECTRICAL WORK IN REGIONS NORTH, SOUTH AND EAST AT VARIOUS WASTEWATER TREATMANT PLANTS AND FACILITIES CITY-WIDE.",58560,0,0,0,58560,,0,PLANT UPGRADING AND RECONSTRUCTION,0
,1278,0,0,0,0,,0,RECONSTRUCTION OF FERRY TERMINAL FACILITIES,851
,11480,0,0,0,0,,0,EQUIPMENT,0
MISCELLANIOUS ITEMSMISCELLANIOUS PROJECETS FOR C-75 BUDGET LINE,281131,44189,23197,0,105065,CITYWIDE,108055,BUILDING SYSTEMS AND INFRASTRUCTURE,0
PORT SECURITY GRANT FUNDS ROUND 6 & 7,0,0,0,0,0,,0,MISCELLANEOUS,0
INSTALL INSTANTANEOUS HOT WATER  HEATERS,7642,0,0,0,0,,0,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,0
