project_id,project_descr,boro,delay_desc,orig_bud_amt,noncity_yr2_plan,budget_line,fy_yr1_plan,noncity_plan_total
JOC-27-L,"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH & EAST",CITYWIDE,,65000,0,WP-0112,2020,0
AGRI-18,FAD 18-22 WAP AND FORESTRY,CITYWIDE,,61750,0,WM-0030,2020,0
HAM18CSVA,CONCRETE SLABS AT VARIOUS DEVELOPMENTS,CITYWIDE,,17941,0,HA-0001,2020,0
HVR-500,Hillview Police Precinct,CITYWIDE,,9000,0,WM-0030,2020,0
DEL-400,Town fo Wawarsing Public Water Project,CITYWIDE,,17000,0,WM-0030,2020,0
JOC-29-L,"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH & EAST",CITYWIDE,,68160,0,WP-0112,2020,0
CRO-509,Arcady Road Reconstruction,CITYWIDE,,2000,0,WM-0030,2020,0
FADFLOOD,FAD - FLOOD HAZARD MITIGATION,CITYWIDE,,15000,0,WM-0030,2020,0
ACEDEP701,DEP- DEMAND CONTROLLED VENTILATION UPGRADE,CITYWIDE,,248,0,PU-0025,2020,0
F204-DEMO,FORT TOTEN DEMOLITION,CITYWIDE,PROJECT DELAYED PENDING APPROVAL OF STATE REQ CONTRACT,600,0,F-0204,2020,0
HH112PJBO,PAMOJA - BOILER,BROOKLYN,,2934,0,HH-0112,2021,0
HAM15SLVA,SECURITY INITIATIVES - LIGHTING AT VARIOUS DEVELOPMENTS,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,25000,0,HA-0001,2020,0
DEL-424,Replacement/Rehabilitation of Honk Falls Dam,CITYWIDE,,8221,0,WM-0030,2020,0
02201601,HHC PRIMARY HEALTH CLINICS,CITYWIDE,,0,0,HO-0214,2020,0
CRO-594,UV FOUNDATION DRAIN MH PHASE 2,CITYWIDE,,1300,0,WM-0030,2020,0
JOC-19-L,"JOC JOB ORDER CONTRACTING WORK IN REGIONS NORTH,SOUTH & EAST",CITYWIDE,,37400,0,WP-0112,2020,0
CRO-410,NEW CROTON LAKE GATE HOUSE HVAC REHABILITATION,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,850,0,WM-0030,2020,0
CAT-259,BEN NESIN FACILITY/ASHOKAN RECONSTRUCTION,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,2100,0,WM-0030,2020,0
CRO-557,Kensico Waterfowl Facility Construction & Paving,CITYWIDE,,8100,0,WM-0030,2020,0
PO79BMAHG,"ELEVATOR REHABILITATION FOR 20TH, 25TH",CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,602,0,PO-0079,2020,0
DOERETRO,WATER EFFICIENCY UPGRADES AT DOE SCHOOLS,CITYWIDE,,11593,0,EP-0009,2020,0
GI-GRANT,GI - GREEN INFRASTRUCTURE GRANT PROGRAM,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,30000,0,WP-0169,2020,0
DEL-359V,Shaft 4 Gate Valve Replacements,CITYWIDE,,6000,0,WM-0030,2020,0
F175WP202,Roof and Waterproofing Project - EC202,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,1311,0,F-0175,2020,0
CAT-186,RESURFACING SCHOHARIE ROADS WEST AND BEARKILL BRIDGE,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,7875,0,WM-0030,2020,0
DEL-397,Riser Valve Control Mechanism at DA Chambers,CITYWIDE,,10000,0,WM-0030,2020,0
