project_id,scope_text,city_yr1_plan
JOC-28-L,"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH & EAST",0
HAM13GCON,GENERAL CONSTRUCTION CITYWIDE,32545
CRO-546,PERMANENT REPLACEMENT OF BOTH SPILLWAY APPROACH WALLS AT AMAWALK DAM,0
ACQFUND,ACQUISITION FUND,1000
CAT-399,CA HUDSON RIVE DRAINAGE CHAMBER,0
DEL-431,EDTO & NTO TURBINE REPLACEMENT,0
SANDY4-03,SANDY - ROCKAWAY BEACH: LONG-TERM RC,0
CAT-390,SCHOHARIE RESERVOIR ROAD IMPROVEMENT- NYS RT. 990V,0
ACEDEP504,UPSTATE,451
GI-DDC,DDC  PROJECTS - GREEN INFRASTRUCTURE,5400
PO79BMAHY,BOILER REPLACEMENT,800
SCA29,SCA LUMP SUM,0
CRO-611,BWS EMERGENCY SERVICES CONTRACT,0
SAND000,H+H SANDY MITIGATION,0
AWT2-CARB,"THIS PROJECT IS DESIGNED TO PROVIDE SUPPLEMENTAL CARBON ADDITION SYSTEMS TO ENHANCE NITROGEN REMOVAL AT BOWERY BAY, TALLMAN ISLAND, WARDS ISLAND, AND 26TH WARD WWTP. GLYCEROL HAS BEEN SELECTED AS THE PRIMARY CARBON SOURCE. THE SYSTEM WILL INCLUDE SUPPLEMENTAL CARBON RECEIVING STATION, BULK STORAGE, FEED AND DELIVERY, AND ANY ANCILLARY INSTRUMENTATION AND CONTROL SYSTEMS NEEDED TO OPERATE THESE FACILITIES.",318
HAM14VAUP,OPERATIONS AND MAINTENANCE,20109
HAM15HMLS,REHABILITATE 200 NYCHA UNITS,10359
AGRI-18,FAD 18-22 WAP AND FORESTRY,0
DEL-434,DAM STABILITY IMPROVEMENTS,0
DEL-359V,SHAFT 4 GATE VALVE REPLACEMENTS,0
HRCN100VA,IMPROVEMENTS TO VARIOUS DOMESTIC VIOLENCE SHELTERS. (CONSTRUCTION COSTS),0
C114ACADY,CONSTRUCTION OF NEW ACADEMY BUILDING,10000
PO79BMAKM,ESTIMATE,0
SANDHM266,HURRICANE SANDY HAZMAT MITIGATION - EC266,85
CAT-431,CATSKILL AQUEDUCT RECONST.-KENSICO TO HILVIEW,0
ASB-REM,ASBESTOS REMOVAL,2615
F1GAZ1904,GAZEBO - MANHOLES PROJECT ON 7TH AVENUE & WEST 14TH STREET.,40
CT3CORR,"CITY TUNNEL 3, CORRECT STAGE 1 CORROSION ISSUES",471
F175EMS20,EMS 20 EXPANSION AND RENOVATON,321
JOC-26-L,"JOB ORDER CONTRACTING FOR SMALL TO MEDIUM SIZED PROJECTS IN GENERAL CONSTRUCTION/ PLUMBING/ HVAC AND ELECTRICAL WORK IN REGIONS NORTH, SOUTH AND EAST AT VARIOUS WASTEWATER TREATMANT PLANTS AND FACILITIES CITY-WIDE.",0
DEL-231,RPLACEMENT OF EMERGENCY GATE TOWER HOIST,0
CSO-UPGRD,UPGRADES AT CSO FACILITIES,0
CAT-212,SCHOLARIE RESERVIOR/GILBOA DAM AND INTAKE/OUTLET CHAMBER,-8127
AGRI-13,FAD 13-17 WAP AND FORESTRY,0
