city_plan_total,noncity_prior_actual,community_board,noncity_yr4_plan,city_yr2_plan
20180,0,0.0,0,0
102545,0,0.0,0,10000
2130,0,0.0,0,0
56500,0,0.0,0,4000
34379,0,0.0,0,4947
1200,0,0.0,0,200
2,319547,0.0,0,0
6009,0,0.0,0,0
451,0,,0,0
11584,0,0.0,0,235
1258,0,0.0,0,321
1269798,0,0.0,0,0
9000,0,0.0,0,0
0,39513,,0,0
105564,0,,0,0
37972,0,0.0,0,0
20582,0,0.0,0,0
61749,0,0.0,0,0
17000,0,0.0,0,2000
7000,0,,0,1500
908,0,0.0,0,0
100000,0,0.0,0,90000
2908,0,0.0,0,500
95,90,0.0,0,0
153509,0,0.0,0,0
6962,0,,0,0
40,0,0.0,0,0
31490,0,,0,0
8306,0,0.0,0,0
71040,0,0.0,0,0
900,0,0.0,0,900
20000,0,0.0,0,0
468190,0,0.0,0,0
28683,0,0.0,0,0
2000,0,0.0,0,0
58560,0,0.0,0,0
1278,3216,0.0,0,0
11480,0,,0,0
281131,0,0.0,0,0
0,5415,0.0,0,0
7642,0,0.0,0,0
16310,0,0.0,0,0
29337,0,0.0,0,12000
624626,0,0.0,0,0
94471,0,0.0,0,0
1407,0,0.0,0,0
216819,0,0.0,0,0
11680,0,0.0,0,0
2300,0,0.0,0,0
5020,0,0.0,0,620
9367,0,0.0,0,0
2200000,0,,0,250000
3814,0,0.0,0,0
426508,0,0.0,0,3303
10307,0,0.0,0,0
2000,0,0.0,0,0
4735,0,0.0,0,0
2080,0,0.0,0,0
2780,0,,0,0
65555,0,0.0,0,0
11600,0,0.0,0,5600
49050,0,0.0,0,3000
25941,0,0.0,0,0
2436,0,0.0,0,0
2998,0,0.0,0,0
149,0,,0,0
2000,0,0.0,0,0
5000,0,0.0,0,0
7500,0,,0,0
1549,0,0.0,0,117
198863,0,0.0,0,0
25000,0,0.0,0,0
83069,0,0.0,0,0
9876,0,0.0,0,0
3069,0,0.0,0,0
22647,0,0.0,0,0
8000,0,0.0,0,2000
23000,0,0.0,0,8000
24100,0,,0,8000
8684162,0,0.0,0,392351
88093,0,0.0,0,0
40102,0,,0,0
1301139,0,,0,61000
4029,0,0.0,0,0
38777,0,0.0,0,0
1737,0,0.0,0,0
11570,0,0.0,0,0
30000,0,0.0,0,4700
2760,0,0.0,0,204
11043,0,,0,0
193,182,0.0,0,0
365,0,0.0,0,110
1700,0,,0,0
104661,0,,0,45188
300,0,0.0,0,300
5000,0,0.0,0,0
11593,0,0.0,0,11593
10500,0,0.0,0,0
2719,0,0.0,0,0
1000,0,,0,0
73533,0,0.0,0,0
248,0,0.0,0,0
37118,0,0.0,0,0
64310,0,0.0,0,0
845,0,0.0,0,0
62481,0,0.0,0,2000
194807,7298,0.0,0,0
965,0,0.0,0,0
229095,0,0.0,0,0
499,0,0.0,0,0
25600,0,0.0,0,3000
8000,0,0.0,0,0
2372,0,0.0,0,0
1300,0,0.0,0,0
25074,0,,0,0
10732,153259,0.0,0,0
2500,0,0.0,0,0
1500,0,,0,0
26968,0,0.0,0,0
800,0,0.0,0,0
8100,0,0.0,0,8100
341997,0,0.0,0,0
5011,0,0.0,0,0
10050,0,,0,0
266000,0,0.0,0,0
70849,0,0.0,0,0
1600,0,,0,0
600,0,0.0,0,0
55499,0,0.0,0,0
19842,0,0.0,0,7279
8689,0,,0,0
11190,0,,0,470
9888,0,0.0,0,0
54720,0,0.0,0,0
25074,0,0.0,0,0
2500,0,0.0,0,0
15000,0,,0,0
29471,0,,0,0
404,0,,0,0
15000,0,0.0,0,0
4000,0,0.0,0,0
600,0,0.0,0,0
9300,0,,0,0
2908,0,0.0,0,500
18266,0,0.0,0,13300
600,0,0.0,0,0
6784,0,0.0,0,0
487,0,0.0,0,0
1193,0,0.0,0,0
64904,0,0.0,0,30502
701,0,,0,0
11200,0,0.0,0,1200
6540,0,0.0,0,824
1500,0,0.0,0,0
3000,0,0.0,0,2000
2000,0,0.0,0,2000
6300,0,0.0,0,0
15688,0,0.0,0,0
11084,0,0.0,0,0
14400,0,0.0,0,0
600,0,0.0,0,0
3000,0,0.0,0,0
500,0,0.0,0,0
1076476,0,0.0,0,19723
3268,0,0.0,0,268
12478,0,0.0,0,0
160,0,,0,160
5383,0,0.0,0,0
5250,0,0.0,0,0
59700,0,0.0,0,6000
147884,0,0.0,0,0
31260,0,0.0,0,0
173538,0,0.0,0,0
9103,0,0.0,0,0
2430,0,0.0,0,0
26710,0,0.0,0,1850
3000,0,0.0,0,300
111914,0,0.0,0,3000
5290,0,,0,563
8600,0,0.0,0,0
250,0,0.0,0,0
994,0,0.0,0,850
1303,0,0.0,0,0
160,0,0.0,0,0
20800,0,0.0,0,11731
9613,0,0.0,0,0
246657,0,0.0,0,0
909,0,0.0,0,0
363,0,101.0,0,0
11317,0,0.0,0,0
15000,0,,0,0
3737,0,0.0,0,3214
1500,0,,0,0
10000,0,,0,0
7160,0,0.0,0,0
111294,0,0.0,0,0
19000,0,0.0,0,0
1572769,0,0.0,0,0
1700,0,,0,0
17383,0,0.0,0,1624
