total_enrollment,multi_racial,white,students_with_disabilities,poverty,female_1,female
1135334,11726,170417,231910,856483,0.486,551727
1094138,15724,161451,227105,798531,0.486,531848
1141232,10369,169803,228347,800985,0.485,553978
1126501,13032,169583,234497,834003,0.486,547203
1131868,14293,170370,234132,834657,0.486,550364
