grade_k,grade_2,english_language_learners,asian,economic_need_index,missing_race_ethnicity_data_1,grade_5,poverty_1
81588,83978,153661,182282,0.719,0.004,83277,0.754
78627,81205,148815,182776,0.713,0.004,82044,0.74
72265,75904,145723,180612,0.714,0.007,77979,0.73
82517,86279,153466,180825,0.61,0.004,80563,0.702
78587,80298,142420,184160,0.728,0.007,81513,0.737
