grade_3k_pk_half_day_full,grade_k,grade_3,grade_4,hispanic,grade_11,grade_1,missing_race_ethnicity_data,black_1,grade_9
71528,81588,84363,83367,459567,73716,83578,4430,0.26,90062
87480,78587,79555,80287,459897,73455,79171,7984,0.249,88990
75981,72265,77237,77034,445905,74939,76037,7200,0.247,85580
73904,78627,81706,82510,456980,73517,81908,4661,0.255,88773
72553,82517,85050,84185,461492,74251,86008,4899,0.265,91796
