year,grade_3k_pk_half_day_full,male_1,grade_6,multi_racial_1,native_american,black,grade_10,students_with_disabilities_1,asian_1,grade_12,hispanic_1
2020-21,75981,0.514,78763,0.014,12706,270540,87748,0.208,0.165,76357,0.408
2017-18,71528,0.514,79114,0.01,12234,294678,89424,0.204,0.161,76398,0.405
2016-17,72553,0.515,78985,0.009,11509,302335,90614,0.2,0.158,75370,0.404
2019-20,87480,0.514,80250,0.013,12856,282308,86802,0.207,0.163,76595,0.406
2018-19,73904,0.514,81289,0.012,12694,286775,88074,0.208,0.162,76745,0.406
