fiscal_year,agency,total_value_purchased
2019,ACS,411700.0
2020,NYPD,2835500.0
2019,NYPD,2829100.0
2018,DEP,2619100.0
2018,FDNY,5925000.0
2018,DOHMH,1676200.0
2019,FDNY,6795400.0
2019,DOC,862500.0
2020,DCAS,824700.0
2020,NYCEM,2045000.0
2020,DOHMH,1609500.0
2018,ACS,564500.0
2020,DOC,1449700.0
2018,DOT,2876800.0
2019,DCAS,894800.0
2019,DPR,1391600.0
2018,DHS,810600.0
2020,DPR,1314000.0
2020,FDNY,7877900.0
2019,DSNY,350500.0
2018,DPR,1689200.0
2020,DOT,3342100.0
2018,OTHER,2608600.0
2020,DSNY,446400.0
2019,DOT,3111300.0
2018,NYPD,3343600.0
2020,OTHER,3062000.0
2018,DOC,1611700.0
2019,OTHER,2556100.0
2019,DOHMH,1119600.0
2018,DCAS,670800.0
2020,DEP,1797800.0
2019,DEP,2202100.0
