dbn,total_student_response_rate
75X721,93%
75K371,36%
75M751,89%
75M226,97%
75K396,80%
75Q811,92%
75Q177,95%
75K753,66%
75X754,55%
75K771,60%
75Q009,83%
75K369,75%
75K370,31%
75M721,96%
75Q993,97%
75Q224,96%
75M094,100%
75K077,98%
75Q075,86%
