dbn,school_name,total_parent_response_rate,total_communication_score,total_teacher_response_rate
75M169,P.S. M169 - Robert F. Kennedy,76%,7.0,83%
75X017,P.S. X017,36%,7.2,74%
75M811,P.S. M811 - Mickey Mantle School,51%,8.8,49%
75X188,P.S. X188,41%,7.4,73%
75K141,P.S. K141,32%,7.1,75%
75X010,P.S. X010,48%,8.1,89%
75K140,P.S. K140,36%,6.5,65%
75X168,P.S. 168,54%,7.7,76%
75K004,P.S. K004,69%,7.7,96%
75X723,P.S. 723,22%,7.4,56%
75K368,P.S. 368,43%,7.0,85%
75K372,P.S. 372 -The Children'S School,36%,7.9,70%
75Q256,P.S. Q256,39%,7.5,82%
75K811,P.S. K811 Connie Lekas School,22%,7.8,65%
75K036,P.S. 36,68%,7.4,87%
75Q255,P.S. Q255,47%,7.1,62%
75Q233,P.S. Q233,31%,7.7,75%
75K053,P.S. K053,58%,8.0,89%
75K373,P.S. 373 - Brooklyn Transition Center,37%,7.5,83%
