school_name,total_academic_expectations,total_safety_and_respect,total_engagement_score
P.S. Q004,8.1,8.0,8.0
The Vida Bogart School For All Children,8.0,8.0,7.7
locationname,aca_tot_12,saf_tot_12,eng_tot_12
P.S. M079 - Horan School,7.2,7.3,7.1
P.S. K231,8.1,8.2,7.9
South Richmond High School I.S./P.S. 25,8.0,7.8,7.8
P.S. K721 - Brooklyn Occupational Training Center,7.9,7.9,7.8
The Richard H. Hungerford School,8.9,9.0,8.9
P186X Walter J. Damrosch School,8.6,8.4,8.4
P.S. 035,8.0,7.3,7.9
John F. Kennedy Jr. School,7.3,8.1,7.5
P.S. R373,8.0,8.4,7.9
P.S. 138,7.6,8.0,7.6
P.S. X176,8.0,8.2,8.0
P.S. R037,8.0,8.6,8.2
P.S. X012 Lewis And Clark School,6.4,5.8,6.2
P.S. Q023 @ Queens Children Center,7.7,7.4,7.4
Queens Transition Center,7.0,6.9,6.9
P.S. X811,7.8,8.1,7.7
