task_start_date,task_description
2024-02-01T00:00:00.000,CONSTRUCTION TO 75%
2007-05-01T00:00:00.000,CONSTRUCTION TO 75%
2021-09-01T00:00:00.000,CONSTRUCTION
2019-01-01T00:00:00.000,DEVELOP SCOPE
2022-02-01T00:00:00.000,"PUNCHLIST COMPLETE, JOB CLOSED"
2023-10-01T00:00:00.000,ORIGINAL EQUIP  & FURNISHING
2022-06-01T00:00:00.000,BID AWARD AND REGISTER CONTRCT
2022-01-01T00:00:00.000,FINAL DESIGN
2020-01-01T00:00:00.000,DESIGN
2025-10-01T00:00:00.000,ORIGINAL EQUIP  & FURNISHING
2019-10-01T00:00:00.000,"PUNCHLIST COMPLETE, JOB CLOSED"
2024-11-01T00:00:00.000,"PUNCHLIST COMPLETE, JOB CLOSED"
2023-09-01T00:00:00.000,"PUNCHLIST COMPLETE, JOB CLOSED"
2020-01-01T00:00:00.000,"PUNCHLIST COMPLETE, JOB CLOSED"
2019-05-01T00:00:00.000,"PUNCHLIST COMPLETE, JOB CLOSED"
2025-12-01T00:00:00.000,"PUNCHLIST COMPLETE, JOB CLOSED"
2015-10-01T00:00:00.000,CONSTRUCTION TO 25%
2023-09-01T00:00:00.000,"PUNCHLIST COMPLETE, JOB CLOSED"
2022-10-01T00:00:00.000,CONSTRUCTION TO 25%
2023-09-01T00:00:00.000,PRELIMINARY DESIGN
2022-06-01T00:00:00.000,BID AWARD AND REGISTER CONTRCT
2017-04-01T00:00:00.000,DEVELOP SCOPE
2021-03-01T00:00:00.000,"PUNCHLIST COMPLETE, JOB CLOSED"
2021-06-01T00:00:00.000,BID AWARD AND REGISTER CONTRCT
2022-09-01T00:00:00.000,CONSTRUCTION TO 50%
2018-12-01T00:00:00.000,CONSTRUCTION TO 50%
2018-05-01T00:00:00.000,BID AWARD AND REGISTER CONTRCT
2022-01-01T00:00:00.000,DESIGN
2024-03-01T00:00:00.000,"PUNCHLIST COMPLETE, JOB CLOSED"
2021-07-01T00:00:00.000,FINAL DESIGN
2015-01-01T00:00:00.000,FINAL DESIGN
2022-12-01T00:00:00.000,CONSTRUCTION TO 75%
2019-04-01T00:00:00.000,CONSTRUCTION TO 75%
2022-08-01T00:00:00.000,FINAL DESIGN
2024-01-01T00:00:00.000,FINAL DESIGN
2015-01-01T00:00:00.000,FINAL DESIGN
2021-12-01T00:00:00.000,"PUNCHLIST COMPLETE, JOB CLOSED"
2022-06-01T00:00:00.000,CONSTRUCTION
2023-01-01T00:00:00.000,CONSTRUCTION TO 50%
2021-01-01T00:00:00.000,CONSTRUCTION
2018-05-01T00:00:00.000,CONSTRUCTION
2019-01-01T00:00:00.000,CONSTRUCTION
2022-09-01T00:00:00.000,CONSTRUCTION TO 50%
2018-11-01T00:00:00.000,BID AWARD AND REGISTER CONTRCT
2022-01-01T00:00:00.000,CONSTRUCTION
2024-10-01T00:00:00.000,CONSTRUCTION TO 25%
2021-12-01T00:00:00.000,BID AWARD AND REGISTER CONTRCT
2023-06-01T00:00:00.000,"PUNCHLIST COMPLETE, JOB CLOSED"
2023-05-01T00:00:00.000,CONSTRUCTION TO 75%
2016-02-01T00:00:00.000,CONSTRUCTION TO 50%
2019-02-01T00:00:00.000,CONSTRUCTION
2016-06-01T00:00:00.000,CONSTRUCTION TO 75%
2006-09-01T00:00:00.000,CONSTRUCTION TO 25%
2024-08-01T00:00:00.000,SUBSTANTIAL COMPLETION
2020-07-01T00:00:00.000,DESIGN
2021-03-01T00:00:00.000,PRELIMINARY DESIGN
2021-07-01T00:00:00.000,DESIGN
2024-06-01T00:00:00.000,DESIGN
2015-07-01T00:00:00.000,BID AWARD AND REGISTER CONTRCT
2022-06-01T00:00:00.000,DESIGN
2021-06-01T00:00:00.000,DEVELOP SCOPE
2017-07-01T00:00:00.000,PRELIMINARY DESIGN
2007-09-01T00:00:00.000,ORIGINAL EQUIP  & FURNISHING
2023-06-01T00:00:00.000,CONSTRUCTION TO 25%
2023-03-01T00:00:00.000,"PUNCHLIST COMPLETE, JOB CLOSED"
