task_end_date,seq_number,project_id,pub_date
2023-03-01T00:00:00.000,9,PO79BMAHD,20220517
2025-02-01T00:00:00.000,10,PO79LOCK,20220517
2023-11-01T00:00:00.000,1,F175MARN4,20220517
2021-03-01T00:00:00.000,9,PO79BMAHI,20220517
2022-06-01T00:00:00.000,1,PO79-GEN,20220517
2024-12-01T00:00:00.000,10,SANDCONDT,20220517
2021-04-01T00:00:00.000,2,PO79-ADA,20220517
2023-03-01T00:00:00.000,4,PO79BMAKI,20220517
2008-03-01T00:00:00.000,10,CA202-006,20220517
2024-05-01T00:00:00.000,7,PO79BATH,20220517
2023-09-01T00:00:00.000,3,PO79BMALG,20220517
2024-03-01T00:00:00.000,9,CA207-006,20220517
2015-09-01T00:00:00.000,2,PO79BATH,20220517
2022-08-01T00:00:00.000,2,F175BFMAC,20220517
2018-05-01T00:00:00.000,3,PO79LOCK,20220517
2022-03-01T00:00:00.000,2,PO79BMALC,20220517
2021-12-01T00:00:00.000,1,PO79BMALF,20220517
2021-07-01T00:00:00.000,2,F175WU299,20220517
2023-09-01T00:00:00.000,4,PO79BMALE,20220517
2023-04-01T00:00:00.000,10,PO79BMAHD,20220517
2014-09-01T00:00:00.000,1,PO79BMAHY,20220517
2022-08-01T00:00:00.000,5,PO79BMAKM,20220517
2023-12-01T00:00:00.000,8,WFF-CUNY,20220517
2015-07-01T00:00:00.000,3,PO79BMAHD,20220517
2007-05-01T00:00:00.000,6,CA202-006,20220517
2023-03-01T00:00:00.000,3,PO79BMALF,20220517
2015-01-01T00:00:00.000,2,PO79BMAHI,20220517
2022-10-01T00:00:00.000,4,PO79-ADA,20220517
2021-11-01T00:00:00.000,3,PO79BMAKM,20220517
2022-06-01T00:00:00.000,3,WFF-CUNY,20220517
2014-09-01T00:00:00.000,1,PO79BMAHI,20220517
2023-10-01T00:00:00.000,10,PO79BMAKM,20220517
2022-10-01T00:00:00.000,4,CA207-006,20220517
2023-09-01T00:00:00.000,3,PO79-GEN,20220517
2021-09-01T00:00:00.000,3,PO79BMAJZ,20220517
2022-10-01T00:00:00.000,7,PO79BMAHD,20220517
2022-04-01T00:00:00.000,2,F175EMS20,20220517
2022-05-01T00:00:00.000,4,PO79BMAKN,20220517
2021-06-01T00:00:00.000,1,PO79BMAKI,20220517
2023-07-01T00:00:00.000,8,PO79BMAKN,20220517
2024-11-01T00:00:00.000,8,PO79LOCK,20220517
2020-10-01T00:00:00.000,1,F175EMS20,20220517
2022-06-01T00:00:00.000,1,PO79BMALG,20220517
2015-10-01T00:00:00.000,4,PO79BMAHD,20220517
2023-09-01T00:00:00.000,1,CA002-023,20221012
2023-10-01T00:00:00.000,7,CA207-006,20220517
2019-01-01T00:00:00.000,1,F175EMS4M,20220517
2016-06-01T00:00:00.000,6,PO79BMAHI,20220517
2021-11-01T00:00:00.000,2,F175MC153,20220517
2023-10-01T00:00:00.000,7,PO79BMAHY,20220517
2023-09-01T00:00:00.000,1,PO79-ADA2,20220517
2021-03-01T00:00:00.000,1,PO79BMAKM,20220517
2024-03-01T00:00:00.000,4,PO79BMALG,20220517
2023-11-01T00:00:00.000,1,F175EMS58,20220517
2015-05-01T00:00:00.000,1,PO79BATH,20220517
2018-12-01T00:00:00.000,5,PO79LOCK,20220517
2024-10-01T00:00:00.000,4,PO79-ADA2,20220517
2022-03-01T00:00:00.000,2,PO79BMALE,20220517
2024-09-01T00:00:00.000,8,SANDCONDT,20220517
2022-04-01T00:00:00.000,3,PO79-ADA,20220517
2024-03-01T00:00:00.000,9,PO79BMAHY,20220517
2023-03-01T00:00:00.000,3,PO79BMALE,20220517
2026-03-01T00:00:00.000,9,PO79-ADA2,20220517
2024-03-01T00:00:00.000,10,WFF-CUNY,20220517
2016-06-01T00:00:00.000,4,PO79BATH,20220517
2023-08-01T00:00:00.000,2,F175EC287,20220517
2022-09-01T00:00:00.000,4,WFF-CUNY,20220517
2022-08-01T00:00:00.000,2,SANDCONDT,20220517
2023-01-01T00:00:00.000,5,WFF-CUNY,20220517
2020-11-01T00:00:00.000,1,F175MC153,20220517
2016-06-01T00:00:00.000,6,PO79BMAHD,20220517
2016-10-01T00:00:00.000,5,PO79BATH,20220517
2023-09-01T00:00:00.000,9,PO79BMAKN,20220517
2022-09-01T00:00:00.000,3,PO79BMAKI,20220517
2020-09-01T00:00:00.000,2,PO79BMAJZ,20220517
2024-11-01T00:00:00.000,9,SANDCONDT,20220517
2021-12-01T00:00:00.000,1,PO79BMALC,20220517
2022-01-01T00:00:00.000,1,F175DW211,20220517
2023-10-01T00:00:00.000,3,F175FEC52,20220517
2024-11-01T00:00:00.000,2,F175MARN4,20220517
2022-11-01T00:00:00.000,3,F175BFMAC,20220517
2025-02-01T00:00:00.000,3,F175EMS58,20220517
2018-10-01T00:00:00.000,1,F175WP276,20220517
2018-11-01T00:00:00.000,1,PO79CWAC,20220517
2023-07-01T00:00:00.000,8,PO79BMAKM,20220517
2023-09-01T00:00:00.000,4,PO79BMALC,20220517
2025-01-01T00:00:00.000,9,PO79LOCK,20220517
2024-02-01T00:00:00.000,6,SANDCONDT,20220517
2025-06-01T00:00:00.000,6,PO79-ADA2,20220517
2021-01-01T00:00:00.000,1,F175YDE48,20220517
2023-07-01T00:00:00.000,2,F175FEC52,20220517
2006-09-01T00:00:00.000,4,CA202-006,20220517
2021-01-01T00:00:00.000,8,PO79BMAHI,20220517
2023-06-01T00:00:00.000,4,SANDCONDT,20220517
2024-02-01T00:00:00.000,9,WFF-CUNY,20220517
2025-03-01T00:00:00.000,4,PO79BMAJZ,20220517
2024-11-01T00:00:00.000,10,PO79BATH,20220517
2016-03-01T00:00:00.000,3,PO79BATH,20220517
2025-10-01T00:00:00.000,7,PO79-ADA2,20220517
2023-11-01T00:00:00.000,3,F175EC287,20220517
2018-05-01T00:00:00.000,1,F175WPE46,20220517
2017-01-01T00:00:00.000,6,PO79BATH,20220517
2025-12-01T00:00:00.000,2,F175RFMR9,20220517
2015-10-01T00:00:00.000,4,PO79BMAHI,20220517
2024-06-01T00:00:00.000,7,SANDCONDT,20220517
2007-09-01T00:00:00.000,7,CA202-006,20220517
2022-09-01T00:00:00.000,2,F175FE220,20220517
2022-04-01T00:00:00.000,1,SANDCONDT,20220517
2022-08-01T00:00:00.000,4,PO79CWAC,20220517
2024-01-01T00:00:00.000,8,PO79BMAHY,20220517
2022-09-01T00:00:00.000,2,PO79BMALG,20220517
2022-07-01T00:00:00.000,3,CA207-006,20220517
2020-07-01T00:00:00.000,1,F175WU299,20220517
2026-01-01T00:00:00.000,8,PO79-ADA2,20220517
2021-12-01T00:00:00.000,3,F175WP276,20220517
2025-02-01T00:00:00.000,3,F175MARN4,20220517
2024-03-01T00:00:00.000,4,PO79-GEN,20220517
2024-11-01T00:00:00.000,3,F175EMS4M,20220517
2022-12-01T00:00:00.000,3,F175WPE46,20220517
2026-03-01T00:00:00.000,3,F175RFMR9,20220517
2016-02-01T00:00:00.000,5,PO79BMAHY,20220517
