managing_agcy_cd,orig_end_date,managing_agcy,orig_start_date
56,2017-03-01T00:00:00.000,POLICE DEPARTMENT,2017-01-01T00:00:00.000
56,2020-02-01T00:00:00.000,POLICE DEPARTMENT,2020-01-01T00:00:00.000
57,2023-11-01T00:00:00.000,FIRE DEPARTMENT,2023-05-01T00:00:00.000
56,2017-03-01T00:00:00.000,POLICE DEPARTMENT,2017-01-01T00:00:00.000
56,2022-06-01T00:00:00.000,POLICE DEPARTMENT,2021-12-01T00:00:00.000
56,2017-12-01T00:00:00.000,POLICE DEPARTMENT,2017-11-01T00:00:00.000
56,2021-04-01T00:00:00.000,POLICE DEPARTMENT,2021-01-01T00:00:00.000
56,2023-03-01T00:00:00.000,POLICE DEPARTMENT,2022-09-01T00:00:00.000
42,2008-03-01T00:00:00.000,CITY UNIVERSITY,2008-02-01T00:00:00.000
56,2017-05-01T00:00:00.000,POLICE DEPARTMENT,2017-01-01T00:00:00.000
56,2023-09-01T00:00:00.000,POLICE DEPARTMENT,2022-09-01T00:00:00.000
42,2012-02-01T00:00:00.000,CITY UNIVERSITY,2011-12-01T00:00:00.000
56,2015-09-01T00:00:00.000,POLICE DEPARTMENT,2015-05-01T00:00:00.000
57,2022-08-01T00:00:00.000,FIRE DEPARTMENT,2021-08-01T00:00:00.000
56,2018-05-01T00:00:00.000,POLICE DEPARTMENT,2017-11-01T00:00:00.000
56,2022-03-01T00:00:00.000,POLICE DEPARTMENT,2021-12-01T00:00:00.000
56,2021-12-01T00:00:00.000,POLICE DEPARTMENT,2021-07-01T00:00:00.000
57,2021-07-01T00:00:00.000,FIRE DEPARTMENT,2020-07-01T00:00:00.000
56,2023-09-01T00:00:00.000,POLICE DEPARTMENT,2023-03-01T00:00:00.000
56,2017-04-01T00:00:00.000,POLICE DEPARTMENT,2017-03-01T00:00:00.000
56,2014-09-01T00:00:00.000,POLICE DEPARTMENT,2014-06-01T00:00:00.000
56,2022-08-01T00:00:00.000,POLICE DEPARTMENT,2022-05-01T00:00:00.000
42,2023-12-01T00:00:00.000,CITY UNIVERSITY,2023-09-01T00:00:00.000
56,2015-07-01T00:00:00.000,POLICE DEPARTMENT,2015-01-01T00:00:00.000
42,2007-05-01T00:00:00.000,CITY UNIVERSITY,2007-01-01T00:00:00.000
56,2023-03-01T00:00:00.000,POLICE DEPARTMENT,2022-03-01T00:00:00.000
56,2015-01-01T00:00:00.000,POLICE DEPARTMENT,2014-09-01T00:00:00.000
56,2022-10-01T00:00:00.000,POLICE DEPARTMENT,2022-04-01T00:00:00.000
56,2021-11-01T00:00:00.000,POLICE DEPARTMENT,2021-07-01T00:00:00.000
42,2022-06-01T00:00:00.000,CITY UNIVERSITY,2021-12-01T00:00:00.000
56,2014-09-01T00:00:00.000,POLICE DEPARTMENT,2014-06-01T00:00:00.000
56,2023-10-01T00:00:00.000,POLICE DEPARTMENT,2023-09-01T00:00:00.000
42,2010-09-01T00:00:00.000,CITY UNIVERSITY,2010-06-01T00:00:00.000
