average_class_size
19.0
29.0
27.5
26.1
26.2
20.7
20.9
23.8
24.1
25.2
29.7
23.1
16.6
16.0
23.6
24.3
24.5
21.9
28.0
21.5
25.7
19.4
25.3
20.8
20.0
27.4
22.2
22.5
14.0
31.5
30.5
26.1
19.3
25.4
24.0
18.4
25.3
20.3
21.0
21.0
27.0
28.1
26.2
19.1
22.0
21.9
21.3
24.3
28.0
19.2
25.6
25.7
24.7
20.4
25.7
21.1
25.3
23.4
23.7
24.6
22.5
24.7
27.0
30.5
26.0
22.5
17.4
28.0
19.4
27.7
21.1
24.3
24.1
21.5
22.0
21.6
20.5
27.2
21.2
17.8
23.0
23.8
26.2
26.0
22.5
26.0
19.1
26.4
24.2
27.5
21.5
25.2
23.1
19.7
25.7
24.4
21.5
24.3
26.5
19.4
20.8
26.1
22.5
18.5
20.5
21.0
21.5
21.1
24.7
25.1
29.0
24.3
23.1
29.0
17.6
25.5
23.7
25.4
26.2
21.0
22.8
23.5
20.3
19.6
24.1
18.0
27.1
20.7
19.5
24.0
27.8
22.5
23.0
26.4
23.1
25.8
25.7
29.0
33.0
22.5
22.0
21.0
24.5
18.0
20.9
21.2
18.5
19.7
23.1
26.1
23.0
23.8
22.2
22.4
20.0
21.0
21.8
9.0
24.0
25.2
27.1
25.3
26.3
26.4
26.3
29.3
22.1
22.3
24.2
29.5
29.0
22.7
25.2
23.6
22.6
26.3
28.6
23.1
19.6
26.3
22.2
21.2
28.0
21.9
22.0
23.4
22.5
23.4
23.1
24.7
27.1
25.0
21.6
21.5
23.3
25.2
27.9
25.3
22.8
24.5
