number_of_classes,district
2,1
56,2
15,7
37,2
6,3
37,3
8,1
12,4
15,7
36,2
3,1
16,4
23,4
1,6
5,1
24,8
71,2
36,7
3,4
35,7
6,3
18,1
21,3
23,4
59,6
27,3
24,3
88,9
1,7
2,4
11,2
21,6
13,5
27,9
11,2
10,1
53,8
34,7
22,8
32,4
1,8
11,2
28,3
23,5
1,4
20,5
90,9
17,7
41,2
13,6
22,8
18,6
16,6
9,5
23,6
16,4
21,6
18,4
15,1
36,2
34,3
11,5
6,1
4,1
1,8
32,2
21,1
4,1
22,4
41,8
10,1
36,6
25,7
65,8
43,6
21,1
8,1
38,2
25,4
25,5
28,1
70,9
24,3
54,8
12,4
51,8
12,1
60,2
47,6
22,7
31,7
15,5
20,7
18,4
49,2
22,8
23,4
16,5
26,9
21,5
6,1
35,2
28,1
2,1
35,7
8,1
19,3
33,7
24,9
21,8
4,1
3,4
86,9
1,3
19,4
22,3
13,5
47,8
28,3
1,9
12,5
24,3
25,4
21,5
16,6
1,8
41,8
26,4
11,5
1,9
31,8
29,3
1,8
41,6
57,6
23,7
26,8
4,1
2,4
17,7
17,1
1,7
13,5
2,1
28,1
17,5
21,3
3,4
55,6
28,8
2,1
6,3
54,6
36,3
13,1
1,4
25,9
1,5
24,9
59,2
13,2
3,4
23,8
22,6
17,7
52,2
18,7
29,3
57,8
11,2
47,2
21,3
6,3
72,9
16,7
4,1
38,2
95,2
15,4
22,3
13,5
14,4
1,6
17,7
1,8
12,6
24,4
80,9
36,6
16,5
38,2
55,2
14,1
6,3
23,3
25,9
11,2
6,3
13,5
58,8
