performance_indicator,actual_fy14,pmmr_goal,target_fy17
Cases filed (%) - Violation of an existing conciliation agreement,,1a,*
Average EarlyLearn Utilization - Family child care (%),73.9%,2a,85.0%
Interpreters deployed on election day - Staten Island,42,1a,*
Children in care 24 or more months discharged to permanency (%),23.2%,1e,27.0%
Interpreters deployed on election day - Brooklyn,530,1a,*
Number of State Central Register consolidated investigations,"55,529",1a,*
Fiscal year spending per child - Legally exempt (informal child care) vouchers,"$4,144",2a,*
Children returned to parent(s) within 12 months (%)(preliminary),57.9%,1e,60.0%
EarlyLearn - Budget per slot in contract family child care,"$9,340",2a,*
Children in foster care (average),"11,750",1c,*
Cases filed (%) - Public accommodation discrimination,14%,1a,*
Libraries open six days per week (%),38%,1a,100%
Average EarlyLearn Utilization - Center-based (%),84.6%,2a,85.0%
Maximum answer delay (minutes:seconds),116:20,1a,*
Computers for public use,"1,436",1a,"1,673"
311 Online site visits (000),"5,248",1a,↑
Average informal (home-based) child care voucher enrollment,"19,633",2a,*
Median length of stay for children entering foster care for the first time who are returned to parent (months),7.5,1e,6.0
E-mails responded to in 14 days (%),92.6%,5a,*
Call takers time occupied (%),79%,1a,*
Number of releases from Close to Home placement to aftercare,274,3c,*
"Weapon recovery rate (average per 100 total ADP), detention",0.04,3a,*
Children returned to parents (reunifications),"2,940",1e,*
Customer satisfaction index,83,2a,*
Violations issued to illegally operating private waste haulers,155,1a,*
Average time to approve public wholesale market applications (days) - Renewal,152,2b,*
Average age of pending public wholesale market applications (days) - New,399,2b,*
Collisions involving City vehicles,35,4a,*
Average age of pending waste hauling applications (days),221,1b,180
Letters responded to in 14 days (%),87.4%,5a,*
311 mobile app contacts (000),,1a,*
Abscond rate in non-secure detention (average per 100 total ADP in non-secure),0.08,3a,0.03
Cases filed (%) - Bias-based profiling by law enforcement,,1a,*
Completed requests for interpretation,"63,351",5a,*
Families entering child welfare specialized teen preventive services,"1,572",1b,*
Libraries open seven days per week (%),3%,1a,8%
Public wholesale market applications approved - New,12,2b,*
EarlyLearn - Average family child care enrollment,"6,354",2a,"7,400"
Abuse and/or neglect reports for children in child care,413,2a,*
Number of emails sent to an agency (through NYC.gov or a publicized agency email address),193,3a,*
Waste hauling applications pending - Renewal,384,1b,*
Children in care 12-23 months discharged to permanency (%),21.5%,1e,27.0%
Number of visits made to an agency walk-in facility,"2,303",3a,*
Children in substantiated investigations with repeat substantiated investigations within a year (%)(preliminary),16.2%,1a,14.0%
Voter complaints regarding poll workers,422,1a,*
Voter complaints regarding poll workers - procedure,169,1a,*
In-Care Youth who received mental health services (%),57%,3b,*
Total admissions to detention,"3,126",3a,*
Voter complaints regarding poll workers - service,253,1a,*
Waste hauling applications pending - New,139,1b,*
Youth admitted to detention with previous admission(s) to detention (%),60.9%,3c,*
Workplace injuries reported,217,4a,*
Program sessions,"41,094",1a,"66,475"
Cost per foster care case $ - Foster boarding home,$69.52,1c,*
Average age of pending public wholesale market applications (days) - Renewal,177,2b,*
Average time to approve public wholesale market applications (days),152,2b,200
Average child care voucher enrollment,"67,541",2a,*
EarlyLearn - Average center-based enrollment,"24,068",2a,"23,600"
Total registered voters (000),"4,610",1a,*
Waste hauling applications approved - Renewal,642,1b,*
Circulation (000),"15,731",1a,"14,993"
Interpreters deployed on election day - Manhattan,366,1a,*
Public wholesale market applications approved - Renewal,56,2b,*
- Children in residential care,923,1c,*
Number of letters sent to an agency,34,3a,*
Total days all children spent in foster care,"4,976,399",1c,*
Number of agency customers surveyed for overall customer satisfaction,"1,086",2a,*
All children entering foster care (preliminary),"4,501",1c,*
"AWOL rate, Close to Home placement",0.7,3a,0.4
Caseload,567,1a,474
Violations admitted to or upheld at the Office of Administrative Trials and Hearings (%),90.5%,1a,*
Average EarlyLearn contract enrollment,"30,422",2a,"31,000"
Fiscal year spending per child - Center-based child care vouchers,"$8,524",2a,*
Cases filed (%) - Bias-related harassment,1%,1a,*
Waste hauling complaints received,519,1a,*
- Cases closed (%) - settlement,26%,1a,23%
"General health care cost per youth per day, detention ($)",$62,3b,*
Children adopted,"1,101",1e,*
Substantiation rate,39.5%,1a,*
Waste hauling applications approved - New,128,1b,*
Total library attendance (000),"8,432",1a,"9,120"
Children discharged to permanency within a year of placement (%),32.6%,1e,35.0%
Average age of pending public wholesale market applications (days),256,2b,*
EarlyLearn - Fiscal Year Spending per Child based on Average Enrollment in Contract Centers,"$14,302",2a,*
"Youth on staff assault w/injury rate (per 100 total ADP), detention",0.05,3a,0.05
Cases successfully mediated,21,1a,*
Violations issued to private waste haulers,888,1a,*
Average time to approve waste hauling applications (days) - New,103,1b,↓
Completed requests for interpretation,"392,759",2a,*
Average age of pending waste hauling applications (days) - New,434,1b,*
311-NYC (text) contacts (000),234,1a,*
Average center-based child care voucher enrollment,"26,401",2a,*
Non-secure detention - ADP,103.5,3a,*
Average weekly scheduled hours,42.0,1a,49.7
Average mandated children voucher enrollment,"54,852",2a,*
Program attendance,"782,805",1a,"1,024,107"
Abuse and/or neglect reports for children in child care that are substantiated (%),21.8%,2a,*
Average wait time (tier 1 calls) (minutes:seconds),0:23,1a,0:30
Modifications for accessibility for people with disabilites,185,1a,*
Interpreters deployed on election day - Bronx,138,1a,*
Cost per foster care case $ - Congregate care by level of need - Level 2,$357.74,1c,*
E-mails responded to in 14 days (%),100%,3a,*
Library card holders (000),"1,243",1a,"1,569"
Calls resolved at 311 without transfer to agency for resolution (%),93%,1a,*
