actual_fy16,critical
235,1
351,0
0.07,0
100%,0
"12,659",1
243,0
"166,961",0
0.10,0
236,0
23.8%,0
227.0,0
"1,010",0
,0
765,0
"24,119",1
26.3%,1
49.3,1
1.8%,0
0.03,1
380,0
89.1%,0
100%,0
91.7,0
"1,318",0
367,0
50.5,0
0.5%,0
155,0
"23,545",0
"2,528",1
6%,1
"46,207",0
191,0
"9,926",1
187,0
"27,132",1
0:10,0
336,1
"5,845",0
97.1%,0
100%,1
908,1
50%,1
238,0
24,0
$416.49,0
"4,008",0
83.4%,1
8%,0
15.1%,0
"2,164",0
$341.82,0
584,0
303,0
"2,507",0
7.7%,1
"18,799",1
343,0
28.00%,0
62,0
"1,633",0
630,0
"$9,280",0
121,1
27%,1
"11,161",0
46,0
0.3,0
"994,279",1
62%,0
"15,976",1
151,1
24.9%,1
"4,108",0
100%,1
"556,576",0
0:16,1
14%,0
61,0
97.8%,0
"55,337",1
"8,686",1
226,0
892,1
0.3%,0
309,1
"$1,431",1
500,0
0.11,1
0,0
"14,933",1
0.07,1
"3,695",0
0.39,1
214,1
"$34,775",1
"$9,522",0
"67,527",0
837,0
"3,223",0
98.6%,1
91.4%,0
83.1%,1
"54,761",1
32.0%,1
215,0
46%,1
449,0
85,0
64.9,0
"$4,140",0
89%,1
24.4%,1
98.0%,0
"13,018",1
"64,539",0
154,1
100,0
0.5%,0
"4,379,682",0
59.1%,0
"1,523",1
3:02,0
"23,396",1
3.0%,0
0.08,1
"1,053",0
157,0
183,1
"30,671",1
38,0
21,0
"510,172",0
"87,775",0
192,0
16,0
21,1
7.7,0
85,0
859,0
98.3%,0
5%,0
93,0
205,0
709,1
5.2,1
84.6%,1
156,0
15.3%,1
"10,540",1
34,0
201,0
"$7,659",0
93%,0
1%,0
$121,1
$76.66,0
"2,104",0
"126,082",0
100%,0
807,0
62:58,0
200,0
36.1%,0
"7,275",1
17.0,0
56.1%,1
"1,463",0
156.6,1
0.07,1
600,1
82.5%,0
36.3%,1
97,0
304,0
0,1
"$16,754",0
2.5%,1
"1,874",0
$396.66,0
"1,052",0
0.5%,0
"$8,715",0
10.6,1
"4,552",0
1.4,1
830,0
32.0,0
4.4%,1
74%,0
63.2%,0
,0
340,1
254,1
56.0%,0
515,0
994,0
201,0
373,0
42,0
