performance_indicator,actual_fy16,actual_fy15,agency,_4_month_actual_fy16
Interpreters deployed on election day - Manhattan,351,394,BOE,
Total active voters (000),"4,108","4,160",BOE,
Admissions to Close to Home placement,238,258,ACS,77
Abuse and/or neglect reports responded to within 24 hours of receipt from the State Central Register (%),98.6%,98.8%,ACS,98.5%
"General health care cost per youth per day, detention ($)",$121,$80,ACS,
Siblings placed simultaneously in the same foster home (%)(preliminary),91.4%,88.9%,ACS,89.2%
Workplace injuries reported,226,184,ACS,84
"Youth on staff assault w/injury rate (per 100 total ADP), detention",0.08,0.05,ACS,0.07
Secure detention - ADP,91.7,94.7,ACS,92.6
New library card registrations,"126,082","192,156",BPL,"48,716"
"In-care youth who were referred for mental health services, detention (%)",50%,61%,ACS,43%
Wireless sessions,"510,172","424,463",BPL,"156,545"
- Cases closed (%) - administrative cause,62%,20%,CCHR,58%
Cost per foster care case $ - Congregate care by level of need - Level 3,$416.49,$386.72,ACS,
Children placed in foster care in their borough,63.2%,62.3%,ACS,58.8%
Average age of pending waste hauling applications (days) - Renewal,201,165,BIC,179
Families entering child welfare specialized teen preventive services,"1,463","1,570",ACS,488
Program sessions,"64,539","47,100",BPL,"18,991"
Average time to approve waste hauling applications (days) - New,154,235,BIC,158
Number of releases from Close to Home placement to aftercare,201,283,ACS,67
Cases filed (%) - Public accommodation discrimination,14%,14%,CCHR,14%
Electronic visits to website (000),"11,161","11,391",BPL,"3,941"
Cost per foster care case $ - Foster boarding home,$76.66,$71.02,ACS,
Cases referred to the Office of Administrative Trials and Hearings,21,89,CCHR,5
Average child protective specialist caseload,10.6,10.5,ACS,8.5
EarlyLearn - Fiscal Year Spending per Child based on Average Enrollment in Contract Centers,"$16,754","$15,598",ACS,
"Weapon recovery rate (average per 100 total ADP), detention",0.07,0.08,ACS,0.03
Voter complaints regarding poll workers,304,446,BOE,
"Average daily population (ADP), detention",156.6,169.9,ACS,157.9
Total library attendance (000),"8,686","8,699",BPL,"2,970"
311-NYC (text) contacts (000),156,175,3-1-1,46
Waste hauling applications pending,600,762,BIC,830
Collisions involving City vehicles,34,46,ACS,13
Letters responded to in 14 days (%),100%,100%,BIC,100%
All children entering foster care (preliminary),"3,695","4,233",ACS,"1,304"
- Cases closed (%) - settlement,27%,22%,CCHR,33%
Number of State Central Register consolidated investigations,"55,337","54,926",ACS,"15,778"
Total waste hauling applications denied (%),4.4%,4.2%,BIC,4.4%
Number in Close to Home aftercare (average),121,122,ACS,138
Average mandated children voucher enrollment,"54,761","55,000",ACS,"55,537"
Average time to approve waste hauling applications (days) - Renewal,254,234,BIC,206
Total registered voters (000),"4,552","4,568",BOE,
Substantiation rate,36.1%,38.7%,ACS,36.7%
City leases,380,402,DCAS,392
Interpreters deployed on election day - Bronx,155,148,BOE,
