address,fc2_female_insertive_condoms,borough,monday
5 E. 171st Street,True,Bronx,
"360 W. 31st St,3rd floor",True,Manhattan,9:00 AM - 6:00 PM
4586 Third Avenue,True,Bronx,
1025 Rutland Road,True,Brooklyn,8:00 AM - 5:00 PM
782 NORTRAND AVE,True,Brooklyn,
"585 Schenectady Avenue,DMRI building/3rd fl/room 326A",False,Brooklyn,8:30 AM - 5:00 PM
3785 Broadway,True,Manhattan,8:00 AM - 5:00 PM
577 New Lots Avenue,True,Brooklyn,8:00 AM - 5:00 PM
"554 West 28 Street,Ground Floor",False,Manhattan,10:00 AM - 4:00 AM
86-10 Roosevelt Ave,True,Queens,
489 Rockaway Ave,True,Brooklyn,
"882 Broadway,n/a",False,Brooklyn,11:00 AM - 8:00 PM
"212-15 Union Turnpike,1ST",True,Queens,10:00 AM - 7:00 PM
Nostrand Ave Church Ave,True,Brooklyn,
204 Clinton street,True,Manhattan,
"1455B ST. JOHNS PLACE, BROOKLYN NY 11213",True,Brooklyn,
"736 EAST 152 STREET,NA",True,Bronx,9:30 AM - 6:00 PM
369 West 46 Street,False,Manhattan,4:00 PM - 4:00 AM
20 Clinton Street,False,Manhattan,8:00 AM - 5:00 PM
635 Sackett Street,False,Brooklyn,5:00 PM - 4:00 AM
952 Utica Avenue,True,Brooklyn,8:00 AM - 5:00 PM
478 Rockaway Ave,True,Brooklyn,
335 Central Avenue,False,Brooklyn,8:00 AM - 5:00 PM
2381 Frederick Douglass Boulevard,True,Manhattan,8:00 AM - 5:00 PM
899 E. 169th Street,True,Bronx,
"2238 5th Avenue,1st Floor",True,Manhattan,8:30 AM - 3:30 PM
"125 Worth Street*,gound",True,Manhattan,9:00 AM - 3:00 PM
369 Mother Gaston Blvd,True,Brooklyn,
793 Crown Street,True,Brooklyn,8:00 AM - 5:00 PM
34-02 36 Avenue,True,Queens,11:00 AM - 9:00 PM
"1715 University Avenue,NA",False,Bronx,9:00 AM - 5:00 PM
2941 Fulton Street,True,Brooklyn,8:00 AM - 5:00 PM
1491 Fulton Street,True,Brooklyn,8:00 AM - 5:00 PM
531 Nostrand Avenue,True,Brooklyn,8:00 AM - 5:00 PM
"470 Clarkson Avenue,""MSC 1240; Suite J, 1st. Floor""",True,Brooklyn,9:00 AM - 5:00 PM
"3166 Coney Island Avenue,1",True,Brooklyn,11:00 AM - 8:00 PM
589 Ft Washington Avenue,False,Manhattan,3:00 PM - 10:00 PM
3580 BROADWAY AVE.,True,Manhattan,
"109-33 71ST RD,STE 2 G",False,Queens,7:30 AM - 8:00 PM
"311 West 35 Street,6th Floor",True,Manhattan,7:30 AM - 2:30 PM
1039 Rutland Road,True,Brooklyn,8:00 AM - 5:00 PM
29-23 Astoria Blvd,True,Queens,
31-84 33 Street,False,Queens,5:00 PM - 4:00 AM
681 Melrose Avenue,True,Bronx,
"262-4 East 174th Street,Ground",False,Bronx,9:00 AM - 5:00 PM
"280 Henry Street,1st Floor",True,Manhattan,9:00 AM - 5:00 PM
