latitude,thursday,wednesday,longitude-saturday
40.8103101,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,-73.9470732-10:00 AM - 2:00 PM
40.680014,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.942732-8:00 AM - 5:00 PM
40.8278008,,,-73.9491107-nan
40.5771694,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,-73.9678169-nan
40.679478,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.886143-8:00 AM - 5:00 PM
40.8447193,,,-73.9090199-nan
40.679981,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.941835-8:00 AM - 5:00 PM
40.7138509,10:00 AM - 5:00 PM,9:00 AM - 5:00 PM,-73.9836554-nan
40.8794825,,,-73.874644-nan
40.678405,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,-73.983506-5:00 PM - 4:00 AM
40.756665,,,-73.993907-nan
40.7609544,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,-73.801814-nan
40.8666799,,,-73.8961013-nan
40.7015624,9:30 AM - 6:30 PM,9:30 AM - 6:30 PM,-73.8084106-10:00 AM - 5:00 PM
40.6700542,,,-73.9065824-nan
40.671661,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.930843-8:00 AM - 5:00 PM
40.7431344,9:00 AM - 7:30 PM,9:00 AM - 7:30 PM,-73.8836661-9:00 AM - 7:30 PM
40.6686289,,,-73.9097158-nan
40.7593466,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,-73.9668231-12:00 AM - 12:00 AM
40.7477785,,,-73.8799314-nan
40.6791462,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,-74.0094667-nan
40.671765,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.930854-8:00 AM - 5:00 PM
40.835022,,,-73.940445-nan
40.7189325,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,-73.9859184-10:00 AM - 2:00 PM
40.8165142,,,-73.8968748-nan
40.5788723,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,-73.9600275-11:00 AM - 7:00 PM
40.635745,,,-73.913554-nan
40.7077904,,,-73.7885183-nan
40.7542303,8:30 AM - 3:30 PM,8:30 AM - 8:30 AM,-73.8720505-nan
40.693192,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.971562-8:00 AM - 5:00 PM
40.876509,,,-73.8872746-nan
40.86822,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.918241-8:00 AM - 5:00 PM
40.758506,7:00 PM - 4:00 AM,7:00 PM - 4:00 AM,-73.919365-7:00 PM - 4:00 AM
40.750664,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,-73.875688-9:00 AM - 10:00 PM
40.842737,,,-73.886348-nan
40.7157524,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-74.002517-8:00 AM - 5:00 PM
40.663132,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.925658-8:00 AM - 5:00 PM
40.751624,10:00 AM - 4:00 AM,10:00 AM - 4:00 AM,-74.004346-10:00 AM - 4:00 AM
40.67926,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.949608-8:00 AM - 5:00 PM
40.6965932,,,-73.9349947-nan
40.8176219,,,-73.8955794-nan
40.665211,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.930882-8:00 AM - 5:00 PM
40.7437577,,,-74.0000131-nan
40.732099,,,-74.001447-11:00 AM - 2:00 AM
40.6707282,,,-73.9298494-nan
40.721439,,,-73.978192-nan
40.8655566,,,-73.9216179-nan
40.669232,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.931069-8:00 AM - 5:00 PM
40.8362867,7:30 AM - 7:30 PM,7:30 AM - 7:30 PM,-73.9202294-7:30 AM - 5:30 PM
40.671982,,,-73.9505329-nan
40.747597,9:30 AM - 10:00 PM,9:30 AM - 10:00 PM,-73.882981-9:30 AM - 10:00 PM
40.8052028,9:00 AM - 7:30 PM,9:00 AM - 9:00 AM,-73.9536622-9:00 AM - 3:30 PM
40.8508816,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,-73.9081018-nan
40.8304665,,,-73.9441083-nan
40.8630883,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,-73.8897837-nan
40.7551827,11:00 AM - 9:00 PM,11:00 AM - 11:00 AM,-73.9273666-11:00 AM - 9:00 PM
40.8459441,,,-73.891821-nan
40.669627,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.931033-8:00 AM - 5:00 PM
40.635108,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.913918-8:00 AM - 5:00 PM
40.7137528,,,-73.9869744-nan
40.7213629,,,-73.9810632-nan
40.8208294,,,-73.8942341-nan
40.6644607,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.8875204-8:00 AM - 5:00 PM
40.755394,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,-73.88701-10:00 AM - 8:00 PM
40.8104192,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,-73.9159236-nan
40.6646618,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.9111354-8:00 AM - 5:00 PM
40.7928057,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,-73.9461426-9:00 AM - 3:00 PM
40.8445172,,,-73.9051415-nan
40.680164,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.945184-8:00 AM - 5:00 PM
40.7640576,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,-73.9888639-4:00 PM - 4:00 AM
40.8766269,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.8485455-nan
40.7453873,,,-73.953482-nan
40.650764,12:00 PM - 4:00 AM,12:00 PM - 4:00 AM,-73.950603-12:00 PM - 4:00 AM
40.8167217,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.8911302-8:00 AM - 5:00 PM
40.8140658,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.9480307-8:00 AM - 5:00 PM
40.8430389,,,-73.8869422-nan
40.744959,,,-73.998719-nan
40.8616068,,,-73.8989032-nan
40.761816,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,-73.923321-5:00 PM - 4:00 AM
40.8413523,,,-73.9164403-nan
40.7507407,,,-73.8622739-nan
40.651439,8:00 AM - 6:00 PM,9:00 AM - 8:00 PM,-73.941512-nan
40.7168553,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,-73.9873904-nan
40.6947118,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.9186679-8:00 AM - 5:00 PM
40.8041214,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.937844-8:00 AM - 5:00 PM
40.6328153,,,-73.947652-nan
40.7474855,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.8871603-8:00 AM - 5:00 PM
40.767238,4:00 PM - 2:00 AM,4:00 PM - 2:00 AM,-73.9866-4:00 PM - 2:00 AM
40.6682288,,,-73.9106761-nan
40.6816872,,,-73.8784878-nan
40.8264148,,,-73.949807-nan
40.734007,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-74.000054-8:00 AM - 5:00 PM
40.813862,8:30 AM - 3:30 PM,8:30 AM - 8:30 AM,-73.937136-nan
40.79031,,,-73.9463169-nan
40.8131321,,,-73.9078057-nan
40.8603415,,,-73.9021823-nan
40.8481901,9:30 AM - 4:30 PM,9:30 AM - 4:30 PM,-73.939085-nan
40.848557,,,-73.932279-nan
40.7992854,,,-73.9520178-nan
40.7078931,,,-73.7965827-nan
40.8646965,,,-73.9234722-nan
40.67213,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.930825-8:00 AM - 5:00 PM
40.6792587,4:00 PM - 4:00 AM,4:00 PM - 2:00 AM,-73.9680145-12:00 PM - 4:00 AM
40.7704994,,,-73.9188643-nan
40.790415,,,-73.946032-nan
40.680009,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.942624-8:00 AM - 5:00 PM
40.65986,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.950549-8:00 AM - 5:00 PM
40.837396,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.938734-8:00 AM - 5:00 PM
40.6682288,,,-73.9106761-nan
40.644856,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.922695-8:00 AM - 5:00 PM
40.800211,,,-73.951019-nan
40.8483519,,,-73.9178411-nan
