facility_pk,latitude,longitude,startdate,partnertype,lubricant
329522480,40.8496112,-73.917133,19000101000000.0,Hospital,True
329523121,40.7532966,-73.993454,19000101000000.0,Private Practice,True
329522736,40.680014,-73.942732,19000101000000.0,Community-Based Organization/Non-Profit,True
329523009,40.6980384,-73.9375797,19000101000000.0,Business,True
329522489,40.7640576,-73.9888639,19000101000000.0,Business,True
329522884,40.7137528,-73.9869744,19000101000000.0,Community-Based Organization/Non-Profit,True
329522663,40.8766269,-73.8485455,19000101000000.0,Private Practice,True
329522684,40.6641434,-73.8882688,19000101000000.0,Community-Based Organization/Non-Profit,True
329522968,40.680164,-73.945184,19000101000000.0,Community-Based Organization/Non-Profit,True
329522994,40.7422529,-73.9984147,19000101000000.0,Business,True
329522724,40.8624005,-73.9037095,19000101000000.0,Hospital,True
329523116,40.670524,-73.93003,19000101000000.0,Community-Based Organization/Non-Profit,True
329523030,40.6669146,-73.8998363,19000101000000.0,Community-Based Organization/Non-Profit,True
329522822,40.7507407,-73.8622739,19000101000000.0,Community Health Center,True
329522932,40.7157524,-74.002517,19000101000000.0,Government,True
329522674,40.7253156,-73.9843105,19000101000000.0,Business,True
329522656,40.835022,-73.940445,19000101000000.0,Community-Based Organization/Non-Profit,True
329523019,40.8616068,-73.8989032,19000101000000.0,Hospital,True
329522966,40.732099,-74.001447,19000101000000.0,Business,True
329522590,40.5842544,-74.0882012,19000101000000.0,Hospital,True
329523040,40.8193953,-73.9164288,19000101000000.0,Hospital,True
329522759,40.8103101,-73.9470732,19000101000000.0,Pharmacy,False
329522587,40.8447193,-73.9090199,19000101000000.0,Hospital,True
329522711,40.65147,-73.93596,19000101000000.0,Community-Based Organization/Non-Profit,True
329522774,40.8304665,-73.9441083,19000101000000.0,Community-Based Organization/Non-Profit,True
329523085,40.6812494,-73.8809264,19000101000000.0,Community-Based Organization/Non-Profit,True
329522815,40.8646965,-73.9234722,19000101000000.0,Community-Based Organization/Non-Profit,True
329523050,40.6555256,-73.9438938,19000101000000.0,Hospital,True
329523068,40.693192,-73.971562,19000101000000.0,Community-Based Organization/Non-Profit,True
329522858,40.813063,-73.941635,19000101000000.0,Community-Based Organization/Non-Profit,True
329523082,40.701296,-73.764941,19000101000000.0,Business,True
329522879,40.8191464,-73.9217106,19000101000000.0,Hospital,True
329523098,40.635108,-73.913918,19000101000000.0,Community-Based Organization/Non-Profit,True
329523032,40.7331745,-74.0065527,19000101000000.0,Community-Based Organization/Non-Profit,True
329522686,40.8407682,-73.9168915,19000101000000.0,Hospital,True
329522865,40.8176219,-73.8955794,19000101000000.0,Hospital,True
329522928,40.6965932,-73.9349947,19000101000000.0,Community-Based Organization/Non-Profit,True
329522951,40.747597,-73.882981,19000101000000.0,Business,True
329522924,40.744959,-73.998719,19000101000000.0,Community-Based Organization/Non-Profit,True
329523049,40.6826042,-73.9664828,19000101000000.0,Private Practice,True
329522843,40.8284938,-73.8954647,19000101000000.0,Hospital,True
329522683,40.6700542,-73.9065824,19000101000000.0,Community-Based Organization/Non-Profit,True
329522905,40.8549581,-73.9372275,19000101000000.0,Business,False
329522505,40.680585,-73.93758,19000101000000.0,Community-Based Organization/Non-Profit,True
329523055,40.800211,-73.951019,19000101000000.0,Community-Based Organization/Non-Profit,True
329522738,40.7453873,-73.953482,19000101000000.0,Community Health Center,True
329522767,40.8167217,-73.8911302,19000101000000.0,Government,False
329522938,40.7157524,-74.002517,19000101000000.0,Government,True
329522915,40.8445172,-73.9051415,19000101000000.0,Hospital,True
329522854,40.650764,-73.950603,19000101000000.0,Community-Based Organization/Non-Profit,True
329522565,40.6658962,-73.8833893,19000101000000.0,Community Health Center,True
329522826,40.644856,-73.922695,19000101000000.0,Community-Based Organization/Non-Profit,True
329522964,40.734007,-74.000054,19000101000000.0,Business,True
329522999,40.7078931,-73.7965827,19000101000000.0,Business,True
329522996,40.65986,-73.950549,19000101000000.0,Community-Based Organization/Non-Profit,True
329522497,40.7333936,-74.0056193,19000101000000.0,Business,False
329522851,40.7992854,-73.9520178,19000101000000.0,Community-Based Organization/Non-Profit,True
329522604,40.6707282,-73.9298494,19000101000000.0,Community-Based Organization/Non-Profit,True
329523097,40.652501,-73.924466,19000101000000.0,Community-Based Organization/Non-Profit,True
329523024,40.6700199,-73.9075873,19000101000000.0,Community-Based Organization/Non-Profit,True
329522745,40.8501834,-73.8870006,19000101000000.0,Hospital,True
329522699,40.721439,-73.978192,19000101000000.0,Community-Based Organization/Non-Profit,True
329522453,40.756665,-73.993907,19000101000000.0,Community-Based Organization/Non-Profit,True
329522611,40.8481901,-73.939085,19000101000000.0,Education,True
329522451,40.723052,-73.985735,19000101000000.0,Business,True
329522871,40.8603415,-73.9021823,19000101000000.0,Hospital,True
329523047,40.679478,-73.886143,19000101000000.0,Community-Based Organization/Non-Profit,True
329522855,40.8041214,-73.937844,19000101000000.0,Community-Based Organization/Non-Profit,True
329522844,40.671765,-73.930854,19000101000000.0,Community-Based Organization/Non-Profit,True
329522881,40.7605435,-73.9666288,19000101000000.0,Business,True
329522765,40.7494116,-73.9950831,19000101000000.0,Government,True
329523114,40.7077904,-73.7885183,19000101000000.0,Community Health Center,True
329522471,40.812108,-73.950141,19000101000000.0,Community-Based Organization/Non-Profit,True
329522832,40.750664,-73.875688,19000101000000.0,Business,False
329522934,40.8362867,-73.9202294,19000101000000.0,Community Health Center,True
329522980,40.8131321,-73.9078057,19000101000000.0,Hospital,True
329522702,40.7609544,-73.801814,19000101000000.0,Community-Based Organization/Non-Profit,False
329523002,40.7609719,-73.9901997,19000101000000.0,Business,True
329522918,40.7574,-73.994192,19000101000000.0,Community-Based Organization/Non-Profit,False
329523138,40.8435994,-73.8880614,19000101000000.0,Hospital,True
329523073,40.7082308,-73.9431529,19000101000000.0,Business,True
329523110,40.876509,-73.8872746,19000101000000.0,Hospital,True
329522732,40.8140658,-73.9480307,19000101000000.0,Community-Based Organization/Non-Profit,True
329522521,40.731884,-74.0031807,19000101000000.0,Business,True
329522863,40.8165142,-73.8968748,19000101000000.0,Hospital,True
329522839,40.671982,-73.9505329,19000101000000.0,Community-Based Organization/Non-Profit,True
329522633,40.8655566,-73.9216179,19000101000000.0,Community-Based Organization/Non-Profit,True
329522444,40.79031,-73.9463169,19000101000000.0,Community-Based Organization/Non-Profit,True
329522709,40.7489861,-73.8695769,19000101000000.0,Community Health Center,True
