effectivedate,validtimes,permitexpiredate
2016-12-14T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-01-31T00:00:00.000
2017-06-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-08-31T00:00:00.000
2017-02-23T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-04-30T00:00:00.000
2017-02-21T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-04-30T00:00:00.000
2017-01-05T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-02-28T00:00:00.000
2017-02-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-04-30T00:00:00.000
2016-10-25T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-11-30T00:00:00.000
2017-02-06T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-04-30T00:00:00.000
2017-01-12T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-03-31T00:00:00.000
2016-12-20T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-03-31T00:00:00.000
2017-05-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-07-31T00:00:00.000
2016-05-02T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-07-31T00:00:00.000
2017-02-21T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-05-31T00:00:00.000
2017-04-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-05-31T00:00:00.000
2017-01-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-03-31T00:00:00.000
2016-11-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-01-31T00:00:00.000
2017-04-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-05-31T00:00:00.000
2016-04-08T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-05-31T00:00:00.000
2016-07-18T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-09-30T00:00:00.000
2017-02-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-04-30T00:00:00.000
2016-03-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-06-30T00:00:00.000
2016-03-07T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-06-30T00:00:00.000
2017-02-27T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-04-30T00:00:00.000
2016-06-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-08-31T00:00:00.000
2017-02-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-04-30T00:00:00.000
2017-03-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-05-31T00:00:00.000
2016-04-05T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-06-30T00:00:00.000
2016-10-17T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-12-31T00:00:00.000
2016-04-05T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-06-30T00:00:00.000
2016-11-18T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-01-31T00:00:00.000
2016-11-14T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-01-31T00:00:00.000
2017-05-03T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-07-31T00:00:00.000
2016-10-07T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-12-31T00:00:00.000
2017-01-05T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-03-31T00:00:00.000
2017-01-03T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-03-31T00:00:00.000
2017-01-18T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-04-30T00:00:00.000
2017-04-03T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-06-30T00:00:00.000
2016-06-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-08-31T00:00:00.000
2016-05-17T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-08-31T00:00:00.000
2017-02-23T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-05-31T00:00:00.000
2017-01-04T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-03-31T00:00:00.000
2017-01-03T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-02-28T00:00:00.000
2016-11-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-01-31T00:00:00.000
2017-05-15T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-08-31T00:00:00.000
2017-01-18T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-04-30T00:00:00.000
2016-09-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-11-30T00:00:00.000
2017-05-04T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-07-31T00:00:00.000
2017-01-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-03-31T00:00:00.000
2017-01-03T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-03-31T00:00:00.000
2016-05-06T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-07-31T00:00:00.000
2016-11-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-01-31T00:00:00.000
2017-02-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-04-30T00:00:00.000
2016-09-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-11-30T00:00:00.000
2016-12-30T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-03-31T00:00:00.000
2016-09-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-11-30T00:00:00.000
2016-12-12T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-03-31T00:00:00.000
2017-02-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-03-31T00:00:00.000
2016-03-02T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-06-30T00:00:00.000
2017-02-15T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-04-30T00:00:00.000
2021-05-06T00:00:00.000,ON STREET PARKING AND METERED MUNICIPAL PARKING LOTS IN NEW YORK CITY ONLY,2021-07-31T00:00:00.000
2017-02-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-04-30T00:00:00.000
2016-04-06T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-06-30T00:00:00.000
2016-09-09T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-11-30T00:00:00.000
2017-02-07T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-04-30T00:00:00.000
2016-12-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-02-28T00:00:00.000
2017-05-17T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-08-31T00:00:00.000
2017-05-16T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-07-31T00:00:00.000
2017-02-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-04-30T00:00:00.000
2016-11-15T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-01-31T00:00:00.000
2017-02-22T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-05-31T00:00:00.000
2017-02-24T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-05-31T00:00:00.000
2016-08-16T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-10-31T00:00:00.000
2017-06-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-08-31T00:00:00.000
2017-02-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-04-30T00:00:00.000
2017-03-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-05-31T00:00:00.000
2017-02-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-04-30T00:00:00.000
2016-05-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-07-31T00:00:00.000
2017-02-03T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-04-30T00:00:00.000
2016-04-05T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-06-30T00:00:00.000
2017-01-12T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-03-31T00:00:00.000
2016-11-15T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-01-31T00:00:00.000
2016-04-11T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-06-30T00:00:00.000
2017-02-21T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-04-30T00:00:00.000
2017-05-15T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-08-31T00:00:00.000
2016-05-02T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-06-30T00:00:00.000
2017-02-07T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-04-30T00:00:00.000
2016-11-07T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-01-31T00:00:00.000
2017-01-12T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-03-31T00:00:00.000
2016-10-03T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-11-30T00:00:00.000
2016-12-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-02-28T00:00:00.000
2017-02-27T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-05-31T00:00:00.000
2017-01-03T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-03-31T00:00:00.000
2016-11-15T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-01-31T00:00:00.000
2017-03-28T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-06-30T00:00:00.000
2016-08-17T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-11-30T00:00:00.000
2016-05-02T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-06-30T00:00:00.000
2017-02-02T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-04-30T00:00:00.000
2016-04-19T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-06-30T00:00:00.000
2017-02-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-04-30T00:00:00.000
2017-05-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-07-31T00:00:00.000
2017-02-27T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-05-31T00:00:00.000
2017-03-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-03-31T00:00:00.000
2016-06-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-08-31T00:00:00.000
2017-02-23T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-05-31T00:00:00.000
2016-12-06T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-02-28T00:00:00.000
2016-08-23T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-10-31T00:00:00.000
2017-05-23T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-08-31T00:00:00.000
2016-08-29T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-11-30T00:00:00.000
2017-05-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-07-31T00:00:00.000
2017-05-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-07-31T00:00:00.000
2017-03-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-04-30T00:00:00.000
2017-02-02T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-04-30T00:00:00.000
2017-01-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-03-31T00:00:00.000
2017-03-21T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-06-30T00:00:00.000
2017-02-27T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-05-31T00:00:00.000
2016-03-08T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-06-30T00:00:00.000
2017-01-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-02-28T00:00:00.000
2017-02-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-04-30T00:00:00.000
2016-03-02T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-06-30T00:00:00.000
2017-02-06T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-04-30T00:00:00.000
2016-05-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-07-31T00:00:00.000
2016-04-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-06-30T00:00:00.000
2017-02-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-04-30T00:00:00.000
2016-05-02T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-06-30T00:00:00.000
2017-05-17T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-07-31T00:00:00.000
2017-05-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-07-31T00:00:00.000
2016-09-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-11-30T00:00:00.000
2017-02-27T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-05-31T00:00:00.000
2017-03-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-04-30T00:00:00.000
2017-06-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-08-31T00:00:00.000
2017-05-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-07-31T00:00:00.000
2016-11-14T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-02-28T00:00:00.000
2016-08-22T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-11-30T00:00:00.000
2016-12-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-02-28T00:00:00.000
2017-01-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-03-31T00:00:00.000
2016-04-11T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2016-06-30T00:00:00.000
2017-03-01T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-05-31T00:00:00.000
2017-05-08T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-07-31T00:00:00.000
2017-02-06T00:00:00.000,7 DAYS A WEEK 24 HOURS A DAY,2017-04-30T00:00:00.000
