site_address,ct2020,provider_type
2164 Ralph Avenue,692.0,Older Adult Center
6823 FIFTH AVENUE,130.0,Case Management Agency
80 East 181st Street,241.0,Older Adult Center
1145 University Avenue,193.0,Older Adult Center
1694 Ocean Avenue,538.0,Older Adult Center
1540 Van Siclen Avenue,105801.0,Older Adult Center
325 East 156 Street,69.0,Caregiver
98 VAN CORTLANDT PARK SOUTH,281.0,Naturally Occurring Retirement Community (NORC)
953 SOUTHERN BLVD,159.0,Naturally Occurring Retirement Community (NORC)
179 North 6th Street,553.0,Older Adult Center
1320 Webster Avenue,14701.0,Older Adult Center
3540 Bivona Street,46209.0,Older Adult Center
120 W 9th Street,85.0,Grandparents Resource Center
545 60th Street,102.0,Older Adult Center
975 Kelly Street,87.0,Elder Justice
1246 Burke Avenue,348.0,Transportation
1304 EAST 57 ST,690.0,Case Management Agency
2125 Glebe Avenue,20601.0,Older Adult Center
196 Albany Avenue,343.0,Older Adult Center
463A 7th Street,153.0,Older Adult Center
3450 Dekalb Avenue,421.0,Older Adult Center
411 Ovington Ave,130.0,Older Adult Center
1380 Metropolitan Avenue,212.0,Older Adult Center
420 Baltic Street,71.0,Older Adult Center
2435 WILLIAMSBRIDGE RD,324.0,Naturally Occurring Retirement Community (NORC)
161 Corbin Place,61004.0,Older Adult Center
966 Fulton Street,201.0,Older Adult Center
4101 8th Avenue,9202.0,Older Adult Center
2298 West 8th Street,382.0,Older Adult Center
100 Gold Street,1501.0,Older Adult Center
3304 Clarendon Road,830.0,Older Adult Center
811 MORRIS PARK AVE,232.0,Case Management Agency
975 Waring Avenue,324.0,Older Adult Center
1401 Flatbush Avenue,78801.0,Older Adult Center
176 Java Street,575.0,Older Adult Center
1220 East 229th Street,460.0,Older Adult Center
243 East 204th Street,413.0,Older Adult Center
2702 Linden Boulevard,1214.0,Older Adult Center
3001 West 37th Street,340.0,Transportation
283 Prospect Avenue,14102.0,Older Adult Center
103-15 Farragut Road,1098.0,Older Adult Center
900 Grand Concourse,18301.0,Older Adult Center
990 Pelham Parkway South,248.0,Older Adult Center
7802 Bay Parkway,270.0,Older Adult Center
5625 Arlington Avenue,323.0,Older Adult Center
3601 Surf Avenue,342.0,Older Adult Center
910 EAST 172 STREET,155.0,Case Management Agency
515 Jackson Avenue,35.0,Older Adult Center
308 East 145th Street,51.0,Grandparents Resource Center
5701 Avenue H,94402.0,Older Adult Center
817 Avenue H,460.0,Older Adult Center
430 Dumont Avenue,910.0,Older Adult Center
177 Dreiser Loop,46207.0,Older Adult Center
528 Mother Gaston Boulevard,912.0,Grandparents Resource Center
301 Sutter Avenue,906.0,Older Adult Center
483 Albany Avenue,331.0,Older Adult Center
50 HUMBOLDT STREET,489.0,Naturally Occurring Retirement Community (NORC)
1315 Franklin Avenue,149.0,Older Adult Center
1175 GATES AVENUE,399.0,Case Management Agency
9502 Seaview Avenue,102801.0,Older Adult Center
1320 Webster Ave,14701.0,Grandparents Resource Center
1814 Coney Island Avenue,442.0,Older Adult Center
2070 Clinton Avenue,371.0,Older Adult Center
1879 East 3rd Street,41402.0,Older Adult Center
2049 Bartow Avenue,46205.0,Older Adult Center
1068 Gerard Avenue,195.0,Older Adult Center
31 LEONARD STREET,491.0,Naturally Occurring Retirement Community (NORC)
2880 West 12th Street,350.0,Older Adult Center
460 Dumont Avenue,910.0,Older Adult Center
280 Ralph Avenue,381.0,Older Adult Center
400 Hart Street,287.0,Older Adult Center
607 Concord Avenue,73.0,Older Adult Center
295 East 138th Street,39.0,Older Adult Center
3035 Middletown Road,26602.0,Older Adult Center
204 Graham Ave,49301.0,Elder Justice
116 City Island Avenue,51601.0,Older Adult Center
55 Pierrepont Street,501.0,Older Adult Center
555 BUSHWICK AVENUE,391.0,Case Management Agency
47 Vandalia Avenue,105804.0,Older Adult Center
5602 11th Avenue,216.0,Older Adult Center
5901 13th Avenue,192.0,Older Adult Center
80 Seigel Street,491.0,Older Adult Center
1777 Pitkin Avenue,906.0,Older Adult Center
900 Grand Concourse Avenue,18301.0,Transportation
715 Leonard Street,575.0,Older Adult Center
7907 New Utrecht Ave,276.0,Older Adult Center
1175 Gates Avenue,399.0,Older Adult Center
161 CORBIN PLACE,61004.0,Case Management Agency
961 Ocean Avenue,51601.0,Older Adult Center
135 Einstein Loop,30202.0,Older Adult Center
895 Pennsylvania Avenue,1104.0,Older Adult Center
3000 Fillmore Avenue,666.0,Older Adult Center
3377A WHITE PLAINS RD,374.0,Case Management Agency
288 Frost Street,44901.0,Older Adult Center
9000 Shore Road,5201.0,Older Adult Center
120 West 9th Street,85.0,Older Adult Center
975 Kelly Street,87.0,Case Management Agency
2968 Bruckner Boulevard,164.0,Older Adult Center
1246 Burke Avenue,348.0,Older Adult Center
230 Kingston Avenue,339.0,Older Adult Center
528 Mother Gaston Blvd,912.0,Older Adult Center
570 East 137th Street,2701.0,Older Adult Center
950 Union Avenue,12901.0,Older Adult Center
325 East 156th Street,69.0,Older Adult Center
862 Park Avenue,28502.0,Older Adult Center
720 Nereid Avenue,434.0,Older Adult Center
355 E 183 Street,38303.0,Older Adult Center
391 Bronx River Avenue,2001.0,Older Adult Center
54 MacDonough Street,269.0,Older Adult Center
2705 Schley Avenue,144.0,Older Adult Center
308 East 145th Street,51.0,Older Adult Center
160 SCHROEDERS AVENUE,105801.0,Naturally Occurring Retirement Community (NORC)
236 East Tremont Ave,23302.0,Older Adult Center
201 South 4th Street,523.0,Older Adult Center
137 Belmont Avenue,908.0,Older Adult Center
271 Myrtle Avenue,2901.0,Older Adult Center
3208 Fulton Street,1178.0,Older Adult Center
460 Atlantic Avenue,41.0,Older Adult Center
2424 Boston Road,330.0,Older Adult Center
378 Court Street,65.0,Older Adult Center
1960 East 7th Street,418.0,Older Adult Center
1963 McDonald Avenue,422.0,Older Adult Center
1619 East 174 Street,62.0,Older Adult Center
975 Kelly Street,87.0,Caregiver
4520 4th Avenue,80.0,Older Adult Center
230 Riverdale Avenue,916.0,Older Adult Center
3377 White Plains Road,374.0,Older Adult Center
202 Graham Avenue,49301.0,Older Adult Center
720 East New York Avenue,87401.0,Older Adult Center
2049 BARTOW AVENUE,46205.0,Naturally Occurring Retirement Community (NORC)
458 NEPTUNE AVENUE,35602.0,Naturally Occurring Retirement Community (NORC)
2 Lafayette Street,31.0,Grandparents Resource Center
360 Nostrand Avenue,243.0,Older Adult Center
177 Myrtle Avenue,1501.0,Grandparents Resource Center
191 JORALEMON STREET,9.0,Case Management Agency
485 Kings Highway,422.0,Older Adult Center
125 Heyward Street,533.0,Older Adult Center
2600 Netherland Avenue,29302.0,Older Adult Center
625 Castle Hill Avenue,86.0,Older Adult Center
228 York Street,23.0,Older Adult Center
1001 Quentin road,420.0,Older Adult Center
50 Humboldt St,489.0,Grandparents Resource Center
331 Hawthorne Street,804.0,Older Adult Center
2405 Southern Boulevard,393.0,Older Adult Center
11 PARK PLACE,21.0,Case Management Agency
105 North Portland Avenue,18501.0,Older Adult Center
475 Fountain Avenue,1210.0,Older Adult Center
1075-1077 Coney Island Avenue,528.0,Older Adult Center
9 Noll Street,391.0,Older Adult Center
807 Schenck Avenue,1110.0,Grandparents Resource Center
150 Malcolm X Boulevard,293.0,Older Adult Center
319 Stanhope Street,443.0,Older Adult Center
630 Mother Gaston Boulevard,912.0,Older Adult Center
562-74 Madison Street,293.0,Older Adult Center
1625 Ocean Avenue,760.0,Older Adult Center
870 Ocean Parkway,46201.0,Older Adult Center
887 Southern Boulevard,89.0,Older Adult Center
1674 Seward Avenue,2001.0,Older Adult Center
195 Linden Street,417.0,Older Adult Center
735 East 152nd Street,79.0,Older Adult Center
2211 CHURCH AVE,79602.0,Case Management Agency
211 Ainslie Street,495.0,Older Adult Center
81 WILLOUGHBY ST,11.0,Case Management Agency
411 Ovington Ave,130.0,Older Adult Center
85 Palmetto Street,399.0,Older Adult Center
2600 Ocean Avenue,578.0,Older Adult Center
1419 Dorchester Road,520.0,Older Adult Center
625 Castle Hill Avenue,86.0,Grandparents Resource Center
1380 Metropolitan Avenue,212.0,Older Adult Center
"349 East 149th Street, 10th Floor",65.0,Legal Services
3161 BRIGHTON 6 STREET,36002.0,Case Management Agency
4912 14th Avenue,236.0,Older Adult Center
930 53rd Street,116.0,Older Adult Center
2950 WEST 35TH STREET,342.0,Naturally Occurring Retirement Community (NORC)
19 Rogers Avenue,315.0,Older Adult Center
1525 UNIONPORT ROAD,212.0,Naturally Occurring Retirement Community (NORC)
"105 Court Street, 3rd Floor",9.0,Legal Services
3450 Boston Road,364.0,Older Adult Center
550 Greene Avenue,251.0,Older Adult Center
3000 MIDDLETOWN ROAD,264.0,Case Management Agency
1440 East New York Avenue,902.0,Older Adult Center
930 Halsey Street,373.0,Older Adult Center
100 William Street,1502.0,Legal Services
100 Gold Street,1501.0,Caregiver
1784 Prospect Avenue,367.0,Older Adult Center
644 Adee Avenue,33601.0,Older Adult Center
135 EINSTEIN LOOP,30202.0,Case Management Agency
2844 OCEAN PARKWAY,35601.0,Naturally Occurring Retirement Community (NORC)
114 Taylor Street,545.0,Older Adult Center
280 Wyckoff Street,127.0,Older Adult Center
1181 Nelson Avenue,199.0,Older Adult Center
161 Corbin Place,61004.0,Caregiver
191 JORALEMON STREET,9.0,Case Management Agency
910 E 172nd Street,155.0,Older Adult Center
3001 West 37th Street,340.0,Older Adult Center
5365 Broadway,309.0,Older Adult Center
7711 18th Avenue,274.0,Older Adult Center
475 53rd Street,76.0,Older Adult Center
3643 Nostrand Avenue,572.0,Older Adult Center
6222 23rd Avenue,436.0,Older Adult Center
