site_name,dfta_id,site_address,nta2020,fiscal_year
MMCC-CDC Older Adult Center Marble Hill,C2003,5365 Broadway,BX0802,2023
PELHAM PARKWAY HOUSES NORC,N50,2435 WILLIAMSBRIDGE RD,BX1104,2023
Dorchester Senior Citizens Center OAC,C2901,1419 Dorchester Road,BK1402,2023
Eileen Dugan Senior Center,W1101,378 Court Street,BK0601,2023
Bronxworks East Concourse (My Spot/Mi Rincon OAC),C1103,236 East Tremont Ave,BX0502,2023
Wayside Out Tilden Senior Center,C9003,630 Mother Gaston Boulevard,BK1602,2023
CCNS New Age OAC,C1713,54 MacDonough Street,BK0301,2023
MBSCC Concourse Plaza Wellness Center for Older Adults,C5001,900 Grand Concourse,BX0401,2023
JCC Project Relief,246,3001 West 37th Street,BK1302,2023
CCNS The Lodge OAC,C1717,7711 18th Avenue,BK1101,2023
JCCGCI Marien-Heim Older Adult Center,C4705,870 Ocean Parkway,BK1402,2023
Wayside Out  Glenmore Plaza Social Club,C9008,1777 Pitkin Avenue,BK1602,2023
HMH City Hall Older Adult Center,C3801,100 Gold Street,MN0101,2023
Boro Park Y OAC,C9601,4912 14th Avenue,BK1202,2023
Congregation Yetev Lev --Williamsburg Satmar,C2301,125 Heyward Street,BK0103,2023
Bronxworks E Roberts Moore,C1102,515 Jackson Avenue,BX0101,2023
William Hodson Community Center Inc,C9201,1320 Webster Avenue,BX0302,2023
AMICO 59th St Senior Citizen Ctr,C0401,5901 13th Avenue,BK1202,2023
Red Hook NSC,C7201,120 West 9th Street,BK0601,2023
GRC - MAP - Red Hook Senior Center,DFTA12,120 W 9th Street,BK0601,2023
"Southside Los Sures ""David Santiago""",C7101,201 South 4th Street,BK0102,2023
Agudath Israel of America Boro Park Senior Citizens Center,C0103,5602 11th Avenue,BK1202,2023
NEIGHBORHOOD SHOPP,1M9,975 Kelly Street,BX0202,2023
CCNS Northside OAC,C1710,179 North 6th Street,BK0102,2023
RAIN Parkchester OAC,C5810,1380 Metropolitan Avenue,BX0904,2023
JASA Dreiser,W2202,177 Dreiser Loop,BX1004,2023
PSS Davidson,W1902,950 Union Avenue,BX0202,2023
Sunset Park OAC,C8002,4520 4th Avenue,BK0702,2023
Bronxworks Soundview,C1107,391 Bronx River Avenue,BX0902,2023
RAIN Nereid OAC,C5809,720 Nereid Avenue,BX1203,2023
SHOPP Soundview Social Club,W2302,1674 Seward Avenue,BX0902,2023
Roundtable Senior,W2007,1175 Gates Avenue,BK0402,2023
JASA WARBASSE CARES NORC,N68-04,2844 OCEAN PARKWAY,BK1302,2023
Kips Bay Castle Hill OAC,C4801,625 Castle Hill Avenue,BX0903,2023
Bergen Basin Vandalia Older Adult Center,C0807,47 Vandalia Avenue,BK0504,2023
Hope of Israel Senior Citizens Center,C4301,1068 Gerard Avenue,BX0401,2023
Saratoga Sq Senior,W2008,930 Halsey Street,BK1601,2023
NEW YORK FOUNDATION CASE MANAGEMENT,3M8,11 PARK PLACE,MN0102,2023
JASA Scheuer Coney Island OAC,C8306,3601 Surf Avenue,BK1302,2023
Bronxworks Twin Parks West,C1108,355 E 183 Street,BX0503,2023
Bay Ridge Ctr for Health and Wellness,W1202,411 Ovington Ave,BK1001,2023
RiseBoro Community Partnership,2MP,555 BUSHWICK AVENUE,BK0401,2023
JCCGCI Marlboro Older Adult Center,C4706,2298 West 8th Street,BK1301,2023
JASA Throggs Neck Older Adult Center,C8309,2705 Schley Avenue,BX1002,2023
JASA Williamsburg Older Adult Center,C8311,202 Graham Avenue,BK0104,2023
Grant Sq OAC,C3508,19 Rogers Avenue,BK0802,2023
JASA Luna Park Annex,C8307,2880 West 12th Street,BK1302,2023
Grace Agard Harewood OAC,C3501,966 Fulton Street,BK0204,2023
RAIN Boston Road OAC,C5802,2424 Boston Road,BX1104,2023
Wayside Out Brownsville Social Club,C9002,528 Mother Gaston Blvd,BK1602,2023
Bronx River,W1602,1619 East 174 Street,BX0901,2023
Council Ctr for Senior Citizens,C1301,1001 Quentin road,BK1501,2023
JASA Bay Eden Older Adult Center,C8302,1220 East 229th Street,BX1202,2023
Patterson Older Adult Centers,C3103,308 East 145th Street,BX0101,2023
RAICES  Gowanus OAC Satellite,C7208,420 Baltic Street,BK0601,2023
CCNS BENSON RIDGE,2MH,6823 FIFTH AVENUE,BK1001,2023
Wayside Out Langston Hughes Social Club,C9004,301 Sutter Avenue,BK1602,2023
RSS Center for Ageless Living,C6101,2600 Netherland Avenue,BX0803,2023
Bronxworks Morris (ISC),C1106,80 East 181st Street,BX0502,2023
JASA SOUTH BKLYN,2MJ,3161 BRIGHTON 6 STREET,BK1303,2023
Times Plaza Center OAC,C7205,460 Atlantic Avenue,BK0202,2023
RAIN MULTI SERVICES FOR SENIORS,1MA,811 MORRIS PARK AVE,BX1101,2023
Sephardic MSSCC House of Jacob Senior Center,C6802,6222 23rd Avenue,BK1101,2023
RAIN Eastchester Latin Soul Café OAC,C5804,1246 Burke Avenue,BX1103,2023
SAGE Center Brooklyn at Stonewall House,C6903,271 Myrtle Avenue,BK0203,2023
"Mobilization for Justice, Inc.",32V,100 William Street,MN0101,2023
Bergen Basin Penn Wortman Older Adult Center,C0806,895 Pennsylvania Avenue,BK0503,2023
"Bronx Legal Services, Inc.",1AA,"349 East 149th Street, 10th Floor",BX0102,2023
CPC Brooklyn Senior Center,C2101,4101 8th Avenue,BK1201,2023
Christopher Blenman OAC,C3505,720 East New York Avenue,BK0902,2023
RAIN Boston Secor OAC,C5803,3540 Bivona Street,BX1202,2023
GRC - MAP - Bushwick Houses,DFTA04,50 Humboldt St,BK0104,2023
PSS,1K1,325 East 156 Street,BX0102,2023
Young Israel Programs Midwood,C9402,1694 Ocean Avenue,BK1403,2023
SBH Older Adult Center - Senior Pavilion,C6601,1963 McDonald Avenue,BK1501,2023
GRC - MAP - Ingersoll Communitiy Center,DFTA07,177 Myrtle Avenue,BK0202,2023
CCNS St Louis OAC,C1715,230 Kingston Avenue,BK0802,2023
RAIN Eastchester,196,1246 Burke Avenue,BX1103,2023
Remsen Sarita Jean OAC,C3512,3304 Clarendon Road,BK1702,2023
East Side House Borinquen Court Mitchel OAC,C3101,295 East 138th Street,BX0101,2023
JCCGCI Kings Highway Older Adult Center,C4704,1879 East 3rd Street,BK1501,2023
New Beginnings (Riverdale Y),C9701,5625 Arlington Avenue,BX0803,2023
Northeast Bronx,C5201,2968 Bruckner Boulevard,BX1002,2023
United Neighborhood Senior Citizens Ctr,C8601,475 53rd Street,BK0702,2023
JASA Senior Alliance Older Adult Center,C8307,161 Corbin Place,BK1303,2023
Shore Hill Older Adult Center,C8001,9000 Shore Road,BK1001,2023
LINDSAY PARK NORC,N64,31 LEONARD STREET,BK0104,2023
Young at Heart Senior Center at the Flatbush YMCA,C9303,1401 Flatbush Avenue,BK1401,2023
Diana Jones ISC,W2003,9 Noll Street,BK0401,2023
PSS Highbridge,W1908,1181 Nelson Avenue,BX0402,2023
BCA 6th Avenue Older Adult Center,C1203,545 60th Street,BK0703,2023
Marcus Garvey,C3502,1440 East New York Avenue,BK1602,2023
JASA Einstein,W2203,135 Einstein Loop,BX1004,2023
Hope Gardens MultiService,W2004,195 Linden Street,BK0402,2023
Hazel Brooks OAC,C3514,961 Ocean Avenue,BK1401,2023
JASA Bartow (Coop City NSC),W2201,2049 Bartow Avenue,BX1004,2023
Bergen Basin Midwood Older Adult Center,C0804,2164 Ralph Avenue,BK1801,2023
Cypress Hills Fulton Street Senior Citizens Ctr,C2801,3208 Fulton Street,BK0501,2023
JASA SHEEPSHEAD BAY,2MK,161 CORBIN PLACE,BK1303,2023
CCNS Glenwood OAC,C1718,5701 Avenue H,BK1801,2023
HEIGHTS & HILLS,2ME,81 WILLOUGHBY ST,BK0202,2023
Bay Ridge Ctr for Life Long Learning,W1201,411 Ovington Ave,BK1001,2023
CCNS BENSON RIDGE,2MH,191 JORALEMON STREET,BK0201,2023
Wayside Out Tompkins Park Senior Center,C9005,550 Greene Avenue,BK0301,2023
Bronx House Weinberg Neighborhood Senior Center,C1001,990 Pelham Parkway South,BX1102,2023
RAICES  Farragut OAC Satellite,C7207,228 York Street,BK0202,2023
RAIN MULTI SERVICES FOR SENIORS,1MA,3377A WHITE PLAINS RD,BX1201,2023
AMALGAMATED PK RESEVOIR NORC,N74,98 VAN CORTLANDT PARK SOUTH,BX0801,2023
Polish & Slavic Ctr Krakus OAC,C5501,176 Java Street,BK0101,2023
GRC - MAP - Castle Hill Senior Center,DFTA06,625 Castle Hill Avenue,BX0903,2023
MMCC-CDC Older Adult Center Main Building,C2002,3450 Dekalb Avenue,BX0703,2023
Mid-Bronx  Senior Citizen Council,106,900 Grand Concourse Avenue,BX0401,2023
YMCA - Glebe Older Adult Community Hub,C9301,2125 Glebe Avenue,BX1001,2023
Bergen Basin Marine Park Older Adult Center,C0803,3000 Fillmore Avenue,BK1891,2023
JASA HES Older Adult Center,C8301,9502 Seaview Avenue,BK1803,2023
GRC - MAP - Patterson/Eastside Settlement House,DFTA09,308 East 145th Street,BX0101,2023
Mill Brook OAC,C9103,570 East 137th Street,BX0101,2023
GRC - MAP - Boulevard Houses,DFTA02,807 Schenck Avenue,BK0503,2023
Albany OAC,C3506,196 Albany Avenue,BK0802,2023
CCNS Riverway OAC (ISC),C1708,230 Riverdale Avenue,BK1602,2023
CCNS SOUTHWEST,4MF,191 JORALEMON STREET,BK0201,2023
Palmetto Gardens Senior Club,W2005,85 Palmetto Street,BK0402,2023
Arturo Schomburg,W1606,1315 Franklin Avenue,BX0301,2023
JASA Starrett City Older Adult Center,C8308,1540 Van Siclen Avenue,BK0504,2023
Neighborhood SHOPP,1K5,975 Kelly Street,BX0202,2023
RAIN Mt Carmel OAC,C5808,2405 Southern Boulevard,BX0603,2023
SEBCO Senior Center,C6701,887 Southern Boulevard,BX0201,2023
PSS Parkside,W1901,644 Adee Avenue,BX1104,2023
RAIN Parkchester One Stop,C5811,1380 Metropolitan Avenue,BX0904,2023
REC ROOMS CASE MGT - SPECIAL SERVICES,2MF,1304 EAST 57 ST,BK1801,2023
RAIN Boston East OAC,C5801,3450 Boston Road,BX1202,2023
Wayside Out Van Dyke II Senior Center,C9007,430 Dumont Avenue,BK1602,2023
Bergen Basin Independence Older Adult Center,C0802,114 Taylor Street,BK0103,2023
Agudath Israel Brookdale Senior Center,C0101,817 Avenue H,BK1402,2023
NEIGHBORHOOD SHOPP,1M9,910 EAST 172 STREET,BX0303,2023
JASA BUSHWICK HYLAN NORC,N68-02,50 HUMBOLDT STREET,BK0104,2023
Betances,W1601,607 Concord Avenue,BX0102,2023
PSS Highbridge Gardens,W1909,1145 University Avenue,BX0402,2023
JCCGCI Coney Island Seaside Older Adult Center (ISC),C4701,3001 West 37th Street,BK1302,2023
JASA BRONX CASE MANAGEMENT,1MB,135 EINSTEIN LOOP,BX1004,2023
St Gabriels Episcopal Church NSC,C7301,331 Hawthorne Street,BK0902,2023
Wayside Out Rosetta Gaston Senior Center,C9001,460 Dumont Avenue,BK1602,2023
Willoughby OAC,C3504,105 North Portland Avenue,BK0203,2023
Maria Lawton OAC,C3509,400 Hart Street,BK0302,2023
Prospect Hill NSC,C7401,283 Prospect Avenue,BK0701,2023
SPRING CREEK NORC,N63,160 SCHROEDERS AVENUE,BK0504,2023
"SHOPP Violence, Intervention and Prevention *(VIP) Elder Justice Program North *(VIP) Elder Justice Program South",1.00E+03,975 Kelly Street,BX0202,2023
SAGE Center Bronx at Crotona Pride House,C6901,1784 Prospect Avenue,BX0602,2023
SHOPP Casa Boricua (OAC),W2301,910 E 172nd Street,BX0303,2023
Shalom,C9801,483 Albany Avenue,BK0901,2023
RAIN Gunhill OAC,C5805,3377 White Plains Road,BX1201,2023
GRC - MAP - Butler/Hodson Senior Center,DFTA05,1320 Webster Ave,BX0302,2023
Park Slope Ctr for Successful Aging,C4001,463A 7th Street,BK0602,2023
NYC Aging Grandparents Resource Center,DFTA17,2 Lafayette Street,MN0102,2023
Teresa Moore OAC,C3513,2702 Linden Boulevard,BK0505,2023
GRC - MAP - Brownsville Social Club,DFTA03,528 Mother Gaston Boulevard,BK1602,2023
Cypress Hills Adult Social Club,C2802,475 Fountain Avenue,BK0505,2023
Sumner Senior Club,W2010,862 Park Avenue,BK0302,2023
JCCGCI Midwood Older Adult Center,C4707,1625 Ocean Avenue,BK1403,2023
Bergen Basin Abe Stark Older Adult Center,C0801,103-15 Farragut Road,BK0503,2023
JASA Sue Ginsburg,C8303,975 Waring Avenue,BX1104,2023
Seth Low Social Clubs,C3503,137 Belmont Avenue,BK1602,2023
CENTER LIGHT PARKCHESTER ENHANCED NORC,N51,1525 UNIONPORT ROAD,BX0904,2023
JASA CONEY ISLAND ACTIVE AGING NORC,N68-03,2950 WEST 35TH STREET,BK1302,2023
JASA STOREFRONT,2MG,2211 CHURCH AVE,BK1401,2023
Council of Peoples Organization: Satellite,C2702,1814 Coney Island Avenue,BK1204,2023
Brevoort Senior Club,W2002,280 Ralph Avenue,BK0302,2023
CCNS Pete McGuinness OAC,C1711,715 Leonard Street,BK0101,2023
Leon OAC,C8402,735 East 152nd Street,BX0102,2023
CCNS St Charles Jubilee OAC,C1719,55 Pierrepont Street,BK0201,2023
Wyckoff Gardens NSC,C7202,280 Wyckoff Street,BK0601,2023
Sister Annunciata Bethell OAC,C0701,243 East 204th Street,BX0702,2023
Thomas Guess OAC,C8401,2070 Clinton Avenue,BX0602,2023
JASA CO OP CITY NORC,N68-01,2049 BARTOW AVENUE,BX1004,2023
JASA BRONX CASE MANAGEMENT,1MB,3000 MIDDLETOWN ROAD,BX1002,2023
St Nicks Alliance Swinging Sixties OAC,C7502,211 Ainslie Street,BK0104,2023
RAIN Middletown OAC,C5807,3035 Middletown Road,BX1003,2023
JCCGCI Ocean Parkway Older Adult Center,C4708,1960 East 7th Street,BK1501,2023
CCNS The Bay OAC,C1706,3643 Nostrand Avenue,BK1503,2023
Stuyvesant Heights OAC,C3510,562-74 Madison Street,BK0302,2023
Council of Peoples Organization: Halal Senior Center,C2701,1075-1077 Coney Island Avenue,BK1402,2023
Wayside Out Tompkins Louis Armstrong Center,C9006,360 Nostrand Avenue,BK0301,2023
PSS Andrew Jackson,W1903,325 East 156th Street,BX0102,2023
Sephardic Multi Services Senior Citizens Center Inc,C6801,485 Kings Highway,BK1501,2023
JASA Brooklyn,2K2,161 Corbin Place,BK1303,2023
JASA Elder Justice Brooklyn North,1.00E+04,204 Graham Ave,BK0104,2023
Ridgewood Bushwick,W2006,319 Stanhope Street,BK0401,2023
CCNS Narrows OAC,C1714,930 53rd Street,BK1201,2023
JCCGCI Jay-Harama Older Adult Center,C4703,2600 Ocean Avenue,BK1502,2023
St Nicks Alliance Cooper Park Social Club,C7501,288 Frost Street,BK0104,2023
Homecrest Bensonhurtst OAC & Ave T Brooklyn,C4201,7907 New Utrecht Ave,BK1101,2023
"Brooklyn Legal Services, Inc.",20I,"105 Court Street, 3rd Floor",BK0201,2023
JASA TRUMPS UNITED NORC,N68-05,458 NEPTUNE AVENUE,BK1302,2023
PSS City Island,W1910,116 City Island Avenue,BX1003,2023
Bensonhurst Senior Center,C3201,7802 Bay Parkway,BK1101,2023
NEIGHBORHOOD SHOPP NORC -LAFAYETTE ESTATES,N69,953 SOUTHERN BLVD,BX0202,2023
Stuyvesant Gardens Senior Club,W2009,150 Malcolm X Boulevard,BK0302,2023
HMH Citywide Asian-American,6K1,100 Gold Street,MN0101,2023
Borinquen Plaza,W2001,80 Seigel Street,BK0104,2023
RiseBoro Community Partnership,2MP,1175 GATES AVENUE,BK0402,2023
