latitude,longitude,y_coordinate
40.625065,-73.917858,167015
40.633953,-74.020799,170243
40.855076,-73.904199,250819
40.837077,-73.928282,244255
40.620447,-73.955405,165325
40.648214,-73.877613,175462
40.821439,-73.917995,238560
40.885015,-73.891625,261731
40.82148,-73.891688,238583
40.716685,-73.957339,200387
40.834189,-73.90854,243208
40.883026,-73.833227,261032
40.675925,-74.001961,185534
40.638869,-74.015137,172034
40.822052,-73.895879,238790
40.871144,-73.851046,256694
40.621348,-73.920355,165660
40.8351,-73.850368,243562
40.67388,-73.938974,184795
40.668419,-73.981201,182800
40.881486,-73.881226,260449
40.633477,-74.023321,170070
40.835141,-73.861061,243572
40.683646,-73.988783,188347
40.862084,-73.857697,253390
40.578026,-73.954127,149620
40.682487,-73.962178,187927
40.64607,-73.998544,174657
40.592081,-73.978468,154988
40.710353,-74.004007,198077
40.643428,-73.945697,173699
40.846052,-73.862177,258045
40.861214,-73.859738,253072
40.636511,-73.951539,171178
40.731692,-73.953577,205855
40.884011,-73.842204,261386
40.874205,-73.884457,257795
40.669208,-73.864514,183116
40.573177,-74.002509,148100
40.663323,-73.989165,180943
40.649668,-73.89929,175984
40.827401,-73.92228,240731
40.856804,-73.860354,251465
40.606369,-73.989235,160193
40.905009,-73.907133,269011
40.573144,-74.001587,148088
40.834198,-73.890157,243217
40.812353,-73.909401,235252
40.815197,-73.922179,236285
40.633288,-73.921555,170010
40.629268,-73.968686,168537
40.664982,-73.903308,181562
40.877087,-73.829619,258870
40.665956,-73.905923,181916
40.667312,-73.909072,182409
40.663388,-73.939975,180972
40.703179,-73.940761,195469
40.832062,-73.901641,242435
40.691707,-73.919907,191294
40.632808,-73.89122,169844
40.834189,-73.90854,243208
40.613368,-73.963024,162745
40.847236,-73.888101,247968
40.604098,-73.969944,159367
40.86942,-73.829027,256077
40.83213,-73.922213,242454
40.70428,-73.946062,195869
40.577347,-73.979625,149620
40.66514,-73.902222,181620
40.679794,-73.922153,186953
40.694788,-73.934645,192413
40.814544,-73.907628,236051
40.810463,-73.926028,234559
40.844355,-73.828806,246945
40.708953,-73.943458,197572
40.841097,-73.784187,245785
40.695783,-73.995117,192769
40.699372,-73.935647,191294
40.649799,-73.88676,176036
40.63368,-74.000703,170143
40.629332,-73.998022,168559
40.704366,-73.943775,195901
40.670168,-73.907561,183450
40.827401,-73.92228,240731
40.729007,-73.95276,204877
40.612279,-74.000933,162346
40.691707,-73.919907,191294
40.578026,-73.954127,149870
40.638891,-73.958877,172044
40.864263,-73.822023,254202
40.655966,-73.888652,178282
40.608592,-73.937467,161009
40.874872,-73.86706,258045
40.718837,-73.939856,201174
40.622118,-74.040172,165933
40.675925,-74.001961,185534
40.822052,-73.895879,243217
40.833889,-73.826264,243133
40.871144,-73.851046,256694
40.671821,-73.941982,184044
40.665956,-73.905923,181916
40.805994,-73.917671,232933
40.822812,-73.901821,239065
40.821439,-73.917995,238560
40.698582,-73.940736,193794
40.898158,-73.853568,266535
40.856391,-73.895991,251301
40.814629,-73.867422,236050
40.680929,-73.944383,187362
40.821662,-73.827061,238678
40.815197,-73.922179,236285
40.648735,-73.879612,175651
40.848936,-73.904562,248582
40.710881,-73.96016,198272
40.669205,-73.905172,183100
40.693454,-73.978042,191921
40.682337,-73.876771,187894
40.686296,-73.983223,189313
40.861733,-73.866616,253258
40.681371,-73.996391,187518
40.603084,-73.965083,158998
40.604832,-73.972263,159634
