dfta_id,borough
C2301,Brooklyn
32V,Manhattan
C5801,Bronx
2MH,Brooklyn
C9103,Bronx
C4704,Brooklyn
C7207,Brooklyn
C0806,Brooklyn
C0802,Brooklyn
C8308,Brooklyn
C0807,Brooklyn
C9701,Bronx
C3514,Brooklyn
2ME,Brooklyn
N68-02,Brooklyn
C1102,Bronx
2MF,Brooklyn
W2301,Bronx
C8601,Brooklyn
C9007,Brooklyn
C6801,Brooklyn
C5807,Bronx
C5811,Bronx
DFTA06,Bronx
C7202,Brooklyn
DFTA02,Brooklyn
C7501,Brooklyn
C3201,Brooklyn
196,Bronx
C9201,Bronx
C3505,Brooklyn
C5803,Bronx
C8311,Brooklyn
6K1,Manhattan
C1711,Brooklyn
W2007,Brooklyn
C1107,Bronx
C3506,Brooklyn
C4001,Brooklyn
N64,Brooklyn
C8402,Bronx
C8302,Bronx
W2302,Bronx
W1903,Bronx
C8309,Bronx
20I,Brooklyn
W2203,Bronx
C9001,Brooklyn
C3502,Brooklyn
1AA,Bronx
2K2,Brooklyn
C1108,Bronx
2MP,Brooklyn
C1706,Brooklyn
C7208,Brooklyn
C6802,Brooklyn
N68-04,Brooklyn
C8307,Brooklyn
C6701,Bronx
C9303,Brooklyn
2MK,Brooklyn
4MF,Brooklyn
C0103,Brooklyn
N69,Bronx
C9601,Brooklyn
1K5,Bronx
C8303,Bronx
W2010,Brooklyn
C4201,Brooklyn
C3509,Brooklyn
W2202,Bronx
DFTA04,Brooklyn
C4707,Brooklyn
DFTA09,Bronx
C1103,Bronx
C9301,Bronx
C1718,Brooklyn
C0401,Brooklyn
C5001,Bronx
1MB,Bronx
W1201,Brooklyn
N68-03,Brooklyn
C2701,Brooklyn
2MG,Brooklyn
C4301,Bronx
C4701,Brooklyn
1.00E+03,Bronx
C1001,Bronx
C1714,Brooklyn
C9006,Brooklyn
N68-01,Bronx
C3103,Bronx
N63,Brooklyn
C3504,Brooklyn
1MA,Bronx
N68-05,Brooklyn
C8401,Bronx
W1908,Bronx
C7301,Brooklyn
C1717,Brooklyn
W2201,Bronx
C6903,Brooklyn
2MH,Brooklyn
246,Brooklyn
1K1,Bronx
C8307,Brooklyn
C6101,Bronx
W2002,Brooklyn
W1901,Bronx
C2901,Brooklyn
C3512,Brooklyn
W1909,Bronx
C0701,Bronx
C7101,Brooklyn
106,Bronx
W2009,Brooklyn
W1902,Bronx
C5805,Bronx
DFTA12,Brooklyn
C3513,Brooklyn
W1601,Bronx
1.00E+04,Brooklyn
C6601,Brooklyn
C0803,Brooklyn
C9008,Brooklyn
C3503,Brooklyn
C4708,Brooklyn
C9005,Brooklyn
C7401,Brooklyn
C2002,Bronx
W2001,Brooklyn
W2006,Brooklyn
C4705,Brooklyn
C5802,Bronx
2MP,Brooklyn
2MJ,Brooklyn
C0101,Brooklyn
DFTA17,Manhattan
C2801,Brooklyn
C8301,Brooklyn
W2008,Brooklyn
C9402,Brooklyn
W1606,Bronx
C1708,Brooklyn
DFTA05,Bronx
C0801,Brooklyn
3M8,Manhattan
W2003,Brooklyn
C2003,Bronx
C7201,Brooklyn
W1602,Bronx
C2101,Brooklyn
C1203,Brooklyn
C5810,Bronx
1M9,Bronx
N50,Bronx
C9003,Brooklyn
C9002,Brooklyn
C1715,Brooklyn
W2004,Brooklyn
W2005,Brooklyn
1MB,Bronx
DFTA07,Brooklyn
C5809,Bronx
N51,Bronx
C9801,Brooklyn
C9004,Brooklyn
C7205,Brooklyn
C4703,Brooklyn
W1101,Brooklyn
C5501,Brooklyn
W1910,Bronx
C8002,Brooklyn
W1202,Brooklyn
N74,Bronx
C1710,Brooklyn
C8001,Brooklyn
C1713,Brooklyn
DFTA03,Brooklyn
C1719,Brooklyn
C2802,Brooklyn
C8306,Brooklyn
C0804,Brooklyn
C5808,Bronx
C1301,Brooklyn
C3801,Manhattan
1MA,Bronx
C5804,Bronx
C3510,Brooklyn
C2702,Brooklyn
C4801,Bronx
C4706,Brooklyn
C3101,Bronx
C1106,Bronx
C6901,Bronx
C5201,Bronx
C3501,Brooklyn
C7502,Brooklyn
C3508,Brooklyn
1M9,Bronx
