site_name,latitude,longitude,x_coordinate,sponsor_vendor,gmh_site,zip_code,bbl
Bergen Basin Midwood Older Adult Center,40.625065,-73.917858,1007052,Bergen Basin Community Development Corporation,,11234,3078390001.0
CCNS BENSON RIDGE,40.633953,-74.020799,978477,CCNS,,11220,3058650001.0
Bronxworks Morris (ISC),40.855076,-73.904199,1010752,Bronxworks,,10453,2031780032.0
PSS Highbridge Gardens,40.837077,-73.928282,1004095,Presbyterian Senior Services,,10452,2025270032.0
Young Israel Programs Midwood,40.620447,-73.955405,996630,Young Israel Programs Inc,,11230,3067390044.0
JASA Starrett City Older Adult Center,40.648214,-73.877613,1018212,The Jewish Association For Services For The Aged,Yes,11239,3044520200.0
PSS,40.821439,-73.917995,1006947,PSS,,10451,2024160001.0
AMALGAMATED PK RESEVOIR NORC,40.885015,-73.891625,1014217,YM-YWHA of The Bronx/Riverdale,,10463,2032520287.0
NEIGHBORHOOD SHOPP NORC -LAFAYETTE ESTATES,40.82148,-73.891688,1014228,Neighborhood Self-Help by Older Persons Project Inc,,10459,2027240186.0
CCNS Northside OAC,40.716685,-73.957339,996076,Catholic Charities Neighborhood Services Inc,,11211,3023280025.0
William Hodson Community Center Inc,40.834189,-73.90854,1009559,William Hodson Community Center Inc,,10456,2028940001.0
RAIN Boston Secor OAC,40.883026,-73.833227,1030366,Regional Aid For Interim Needs Inc,,10475,2052630070.0
GRC - MAP - Red Hook Senior Center,40.675925,-74.001961,983706,Grandparents Resource Center,,11231,3005380001.0
BCA 6th Avenue Older Adult Center,40.638869,-74.015137,980049,Brooklyn Chinese-American Association,,11200,3008640001.0
"SHOPP Violence, Intervention and Prevention *(VIP) Elder Justice Program North *(VIP) Elder Justice Program South",40.822052,-73.895879,1013068,Neighborhood Self Help by Older Persons Project,,10459,2027037501.0
RAIN Eastchester,40.871144,-73.851046,1025446,"Regional Aid For Interim Needs, Inc.",,10462,2045810001.0
REC ROOMS CASE MGT - SPECIAL SERVICES,40.621348,-73.920355,1006360,REC ROOMS CASE MGT - SPECIAL SERVICES,,11234,3078810033.0
YMCA - Glebe Older Adult Community Hub,40.8351,-73.850368,1025656,YMCA Of Greater New York,,10462,2039630043.0
Albany OAC,40.67388,-73.938974,1001178,"Fort Greene Council, Inc.",,11213,3012300044.0
Park Slope Ctr for Successful Aging,40.668419,-73.981201,989465,"HEIGHTS AND HILLS, INC.",,11218,3009950051.0
MMCC-CDC Older Adult Center Main Building,40.881486,-73.881226,1017094,Child Development Center of the Mosholu-Montefior Comm Ctr,,10467,2033270001.0
Bay Ridge Ctr for Life Long Learning,40.633477,-74.023321,977777,Bay Ridge Center Inc,,11209,3058730089.0
RAIN Parkchester OAC,40.835141,-73.861061,1022697,Regional Aid For Interim Needs Inc,,10462,2039387501.0
RAICES  Gowanus OAC Satellite,40.683646,-73.988783,987361,Spanish Speaking Elderly Council RAICES Inc,,11217,3004040001.0
PELHAM PARKWAY HOUSES NORC,40.862084,-73.857697,1023612,Bronx House Inc.,,10469,
JASA Senior Alliance Older Adult Center,40.578026,-73.954127,989910,The Jewish Association For Services For The Aged,Yes,11235,3087190073.0
Grace Agard Harewood OAC,40.682487,-73.962178,994740,"Fort Greene Council, Inc.",Yes,11238,3020140026.0
CPC Brooklyn Senior Center,40.64607,-73.998544,984654,Chinese-American Planning Council Inc,,11232,3009230009.0
JCCGCI Marlboro Older Adult Center,40.592081,-73.978468,990230,Jewish Community Council Of Greater Coney Island Inc,,11223,3071400016.0
HMH City Hall Older Adult Center,40.710353,-74.004007,983139,Hamilton Madison House Inc,Yes,10038,1000940025.0
Remsen Sarita Jean OAC,40.643428,-73.945697,999320,"Fort Greene Council, Inc.",Yes,11210,3049500001.0
RAIN MULTI SERVICES FOR SENIORS,40.846052,-73.862177,1021015,RAIN MULTI SERVICES FOR SENIORS,,10462,2040540005.0
