user_centered_research,storytelling_posted_about,storytelling_added_a_project,other_civic_engagement,public_statement,digital_amplification_sent,agency_name
0,0,0,0,,0,Department for the Aging (NYC Aging)
0,0,0,0,,0,Equal Employment Practices Commission (EEPC)
0,0,0,0,,0,Department of Citywide Administrative Services (DCAS)
0,0,0,0,,1,Department of Health and Mental Hygiene (DOHMH)
0,0,0,0,,0,Office of Administrative Trials and Hearings (OATH)
0,0,0,0,,0,Civilian Complaint Review Board (CCRB)
0,0,0,0,CIDI does not report any data to Open Data.,0,NYC Center for Innovation through Data Intelligence (CIDI)
0,0,0,0,,0,Mayor's Office of Media and Entertainment (MOME)
0,0,0,0,"The Mayor’s Office of Data Analytics (MODA) jointly manages the Open Data program. Instead of promoting its own Open Data, which currently consists of a dataset of Open Data Coordinators, MODA engages the public around NYC Open Data in general, and supports City agencies in their own engagement efforts.",0,Mayor's Office of Data Analytics (MODA)
0,0,0,0,,0,City Clerk's Office
0,0,0,1,DCAS links to our Open Datasets from our webpage: https://www1.nyc.gov/site/dcas/reports/city-record-data-sets.page,0,Department of Citywide Administrative Services (DCAS)
0,0,0,0,,0,Department of Parks and Recreation (DPR)
0,0,0,0,,0,NYC Emergency Management (NYCEM)
0,0,0,0,,0,Civilian Complaint Review Board (CCRB)
0,0,0,0,,0,Department of Veterans' Services (DVS)
0,0,0,0,Due to limited staff capacity and circumstances under the Covid pandemic we were not able to complete any civic engagement activities in the time period listed.,0,Department of Housing Preservation and Development (HPD)
0,0,0,0,,0,Mayor's Office of Criminal Justice (MOCJ)
0,0,0,1,,0,Department of Housing Preservation and Development (HPD)
0,1,0,0,,0,Department of Records and Information Services (DORIS)
0,0,0,0,"Generally, FISA-OPA participates in limited civic engagement efforts regarding its datasets published via the Open Data portal - Citywide Payroll by Fiscal Year and Parking and Automobile Fringe by Calendar Year.  FISA-OPA is merely the custodian of this information; therefore the Agencies, as business owners and sources of the data, are better suited to speak on the matter.   FISA-OPA did not undertake civic engagement efforts during the period May 1, 2021 through April 30, 2022; however, FISA-OPA is actively revamping its NYC Open Data advertisement campaign, which will be re-posted via FISA-OPA’s website in the near future.",0,Financial Information Services Agency (FISA) & Office of Payroll Administration (OPA)
0,0,0,2,"Participated in a focus group to give feedback on Two Sigma Data Clinic open data tool (Scout) at a design session; Hosted Two Sigma Data Clinic to present a virtual demo of Open Data tool, Scout, to the agency",0,Department of City Planning (DCP)
0,1,0,0,,0,Department of Investigation (DOI)
0,0,0,0,,0,Department of City Planning (DCP)
0,0,0,0,,0,Civil Service Commission
0,0,0,0,No Civic Engagements Were  Completed Due To Covid-19 Pandemic,0,Department of Probation (DOP)
0,0,0,0,,0,Mayor's Office of Community Mental Health
0,0,0,0,,0,Department of Education (DOE)
0,1,0,0,,1,Department of Transportation (DOT)
