program_entry_date,intake_max_severity
2019-07-01T00:00:00.000,Misdemeanor
2019-03-21T00:00:00.000,Unknown
2016-10-04T00:00:00.000,Nonviolent Felony
2016-05-13T00:00:00.000,Nonviolent Felony
2020-01-31T00:00:00.000,Misdemeanor
2019-11-27T00:00:00.000,Misdemeanor
2017-08-05T00:00:00.000,Misdemeanor
2017-05-07T00:00:00.000,Misdemeanor
2017-02-28T00:00:00.000,Nonviolent Felony
2016-07-20T00:00:00.000,Misdemeanor
2019-06-26T00:00:00.000,Misdemeanor
2018-05-18T00:00:00.000,Nonviolent Felony
2017-12-20T00:00:00.000,Misdemeanor
2020-01-03T00:00:00.000,Misdemeanor
2020-01-17T00:00:00.000,Nonviolent Felony
2019-04-23T00:00:00.000,Misdemeanor
2019-11-09T00:00:00.000,Nonviolent Felony
2016-07-08T00:00:00.000,Nonviolent Felony
2020-02-16T00:00:00.000,Misdemeanor
2019-01-04T00:00:00.000,Misdemeanor
2018-12-29T00:00:00.000,Nonviolent Felony
2020-02-24T00:00:00.000,Misdemeanor
2018-05-02T00:00:00.000,Misdemeanor
2020-02-06T00:00:00.000,Violent Felony
2017-08-18T00:00:00.000,Misdemeanor
2020-02-22T00:00:00.000,Misdemeanor
2016-05-07T00:00:00.000,Unknown
2017-04-08T00:00:00.000,Nonviolent Felony
2020-01-18T00:00:00.000,Misdemeanor
2018-10-14T00:00:00.000,Nonviolent Felony
2017-07-31T00:00:00.000,Misdemeanor
2018-06-15T00:00:00.000,Misdemeanor
2017-10-22T00:00:00.000,Misdemeanor
2019-06-11T00:00:00.000,Misdemeanor
2021-02-10T00:00:00.000,Nonviolent Felony
2018-08-22T00:00:00.000,Nonviolent Felony
2018-07-01T00:00:00.000,Misdemeanor
2019-04-18T00:00:00.000,Nonviolent Felony
2019-04-17T00:00:00.000,Misdemeanor
2019-07-31T00:00:00.000,Nonviolent Felony
2020-01-06T00:00:00.000,Violent Felony
2018-10-04T00:00:00.000,Nonviolent Felony
2021-06-17T00:00:00.000,Violent Felony
2019-03-21T00:00:00.000,Nonviolent Felony
2020-02-10T00:00:00.000,Misdemeanor
2019-02-20T00:00:00.000,Misdemeanor
2018-08-05T00:00:00.000,Misdemeanor
2018-02-20T00:00:00.000,Nonviolent Felony
2019-06-13T00:00:00.000,Misdemeanor
2016-09-21T00:00:00.000,Misdemeanor
2020-02-21T00:00:00.000,Misdemeanor
2018-07-23T00:00:00.000,Nonviolent Felony
2019-03-27T00:00:00.000,Misdemeanor
2019-09-23T00:00:00.000,Nonviolent Felony
2019-03-21T00:00:00.000,Misdemeanor
2018-08-14T00:00:00.000,Nonviolent Felony
2019-12-23T00:00:00.000,Misdemeanor
2017-06-01T00:00:00.000,Misdemeanor
2020-01-07T00:00:00.000,Misdemeanor
2017-03-17T00:00:00.000,Nonviolent Felony
2016-08-09T00:00:00.000,Nonviolent Felony
2018-05-03T00:00:00.000,Misdemeanor
2017-04-15T00:00:00.000,Nonviolent Felony
2017-03-09T00:00:00.000,Nonviolent Felony
2019-11-15T00:00:00.000,Nonviolent Felony
2018-10-10T00:00:00.000,Unknown
2019-11-08T00:00:00.000,Misdemeanor
2020-03-13T00:00:00.000,Misdemeanor
2019-08-19T00:00:00.000,Unknown
2019-06-22T00:00:00.000,Misdemeanor
2018-02-23T00:00:00.000,Unknown
2020-01-12T00:00:00.000,Nonviolent Felony
2019-07-28T00:00:00.000,Nonviolent Felony
2018-01-22T00:00:00.000,Misdemeanor
2019-10-17T00:00:00.000,Misdemeanor
2020-01-03T00:00:00.000,Misdemeanor
2019-12-20T00:00:00.000,Violent Felony
2017-10-14T00:00:00.000,Nonviolent Felony
2018-01-03T00:00:00.000,Misdemeanor
2018-10-10T00:00:00.000,Nonviolent Felony
2017-09-20T00:00:00.000,Misdemeanor
2019-03-13T00:00:00.000,Nonviolent Felony
2019-11-16T00:00:00.000,Nonviolent Felony
