latitude,longitude-census_tract
40.606196,-73.987791-36047042800
40.627397,-73.98853-36047047000
40.586881,-73.949026-36047060000
40.656526,-73.960095-36047079802
40.682663,-73.962935-36047020100
40.610982,-73.953452-36047054600
40.700549,-73.921429-36047043100
40.593851,-73.979919-36047038600
40.699327,-73.939466-36047028501
40.701038,-73.96075-36047053700
40.730976,-73.953755-36047057500
40.584682,-73.933079-36047062200
40.588,-73.953962-36047059000
40.630724,-74.025136-36047006600
40.638294,-73.997759-36047022000
40.587843,-73.935665-36047059800
40.68095,-73.954849-36047022700
40.644632,-73.974354-36047049400
40.629942,-74.02341-36047013400
40.610982,-73.953452-36047054600
40.617006,-74.033199-36047005400
40.606178,-73.965459-36047041800
40.640868,-73.985194-36047022600
40.650797,-73.958827-36047050801
40.605912,-73.967019-36047042200
40.692012,-73.991227-36047000900
40.635892,-73.97483-36047048400
40.620713,-74.026876-36047016000
40.61834,-73.957121-36047053800
40.617911,-73.943009-36047074600
40.659952,-73.980757-36047016900
40.689305,-73.991234-36047004300
40.642712,-74.012796-36047010000
40.606178,-73.965459-36047041800
40.635716,-74.008377-36047010400
40.677788,-73.937041-36047027100
40.616681,-74.010604-36047015000
40.623596,-73.993242-36047024800
40.626889,-73.987687-36047047000
40.620582,-73.917384-36047069000
40.602225,-73.994245-36047029000
40.585466,-73.966438-36047037401
40.617911,-73.943009-36047074600
40.620713,-74.026876-36047016000
40.645615,-74.020554-36047002200
40.681012,-73.89139-36047114600
40.653405,-73.959409-36047079602
40.629224,-74.017865-36047013400
40.579823,-73.95977-36047061003
40.585466,-73.966438-36047037401
40.626346,-73.973057-36047046201
40.628773,-74.024609-36047013600
40.630159,-73.978431-36047047600
40.60296,-73.986434-36047040400
40.754119,-73.969086-36061009000
40.692314,-73.9911-36047000900
40.623178,-73.937471-36047073800
40.673289,-73.947861-36047031701
40.68095,-73.954849-36047022700
40.593074,-73.950203-36047059401
40.640868,-73.985194-36047022600
40.626889,-73.987687-36047047000
40.679171,-73.98184-36047013100
40.614541,-73.944514-36047064400
40.630521,-74.024336-36047013400
40.668853,-73.90743-36047090600
40.61869,-73.932548-36047065000
40.693121,-73.928445-36047028900
40.608496,-73.96208-36047055400
40.698512,-73.95597-36047123700
40.689322,-73.991288-36047004300
40.666657,-73.981079-36047015300
40.622925,-74.028898-36047006000
40.610362,-73.954386-36047055000
40.692184,-73.985753-36047001100
40.591705,-73.960678-36047058400
40.699167,-73.955475-36047053100
40.622925,-74.028898-36047006000
40.609489,-73.953331-36047055000
40.609347,-73.97417-36047043400
40.677788,-73.937041-36047027100
40.695418,-73.993848-36047000502
40.644632,-73.974354-36047049400
40.6418,-73.934996-36047083800
40.686258,-73.987203-36047004100
40.588913,-73.950652-36047059200
40.652701,-74.004743-36047008400
40.67188,-73.980721-36047015500
40.620713,-74.026876-36047016000
40.682652,-73.995745-36047007500
40.629162,-73.989751-36047023800
40.664749,-73.93886-36047033300
40.577449,-73.962227-36047036200
40.617346,-73.943935-36047074600
40.628654,-73.923852-36047072000
40.605143,-73.979746-36047042600
40.639345,-73.987612-36047023200
40.619006,-74.008767-36047019800
40.633593,-74.023927-36047013000
40.692662,-73.991843-36047000900
40.622925,-74.028898-36047006000
40.695418,-73.993848-36047000502
40.613232,-73.921471-36047067000
40.611001,-73.952411-36047055000
40.653405,-73.959409-36047079602
40.604961,-74.007963-36047017600
40.609759,-74.011241-36047017000
40.640868,-73.985194-36047022600
40.577449,-73.962227-36047036200
40.588965,-73.945334-36047059401
40.695417,-73.959571-36047123700
40.619041,-73.969487-36047045200
40.622522,-73.986772-36047024400
40.671799,-73.989942-36047012100
40.578058,-73.959372-36047061004
40.609958,-73.96026-36047055400
40.649042,-74.012289-36047008000
40.600367,-73.944778-36047057400
40.599278,-73.952272-36047057800
40.636139,-74.007534-36047010400
40.616511,-73.989439-36047025600
40.588,-73.953962-36047059000
40.691986,-73.982496-36047001500
40.694894,-73.994699-36047000501
40.59386,-73.979919-36047038600
40.673289,-73.947861-36047031701
40.698413,-73.956897-36047123700
40.710035,-73.965589-36047054900
40.649788,-73.94753-36047082400
40.674749,-73.941522-36047031100
40.692314,-73.9911-36047000900
40.63,-74.023507-36047013400
40.620558,-73.940698-36047073800
40.636139,-74.007534-36047010400
40.599726,-73.948358-36047057600
40.608458,-73.924664-36047066200
40.608697,-73.997601-36047027800
40.60296,-73.986434-36047040400
40.692003,-73.988692-36047001100
40.611402,-73.941819-36047064400
40.630641,-74.028116-36047006400
40.677788,-73.937041-36047027100
40.680155,-73.945068-36047026900
40.634519,-73.98673-36047023200
40.624662,-73.984038-36047046800
40.633361,-73.987833-36047023400
40.585752,-73.953672-36047060600
40.598851,-73.956169-36047058000
40.628255,-74.018986-36047013400
40.648886,-73.943573-36047085600
40.625281,-74.003505-36047019600
40.62946,-74.017974-36047013400
40.620582,-73.917384-36047069000
40.625652,-73.957178-36047076200
40.604721,-73.968546-36047042200
40.627397,-73.98853-36047047000
40.730976,-73.953755-36047057500
40.62922,-74.025737-36047006400
40.669288,-73.976284-36047015500
40.614839,-74.009512-36047018400
40.630159,-73.978431-36047047600
40.664754,-73.938953-36047033300
40.677824,-74.009644-36047005300
40.626121,-73.956479-36047076200
40.623236,-73.956823-36047076000
