origid,name,address,latitude,longitude
50091549,SUNSET PARK HEALTH COUNCIL INC,850 KENT AVE,40.695417,-73.959571
50008480,CITY MEDICAL OF UPPER EAST SIDE PLLC,8712 4TH AVE,40.62186,-74.028749
41240364,HALPERT NANDOR - DDS,2811 OCEAN AVENUE SUITE 2,40.593074,-73.950203
40968160,BACKER STEVEN - DDS,690 FLATBUSH AVENUE,40.656526,-73.960095
50034242,SHAMIS CHIROPRACTIC PC,2409 AVENUE Z,40.588965,-73.945334
50046422,LENOX HILL RADIOLOGY & MEDICAL IMAGINE ASSOCIATES PC,1014 BROOKLYN AVE,40.648886,-73.943573
40496125,IRWIN DDS GOLDSCHEIN,4901 FORT HAMILTON PARKWAY,40.638294,-73.997759
40506132,DARREN FITZPATRICK MD,3201 KINGS HWY,40.617911,-73.943009
41590528,SAM FISCH,919 2 AVENUE,40.754119,-73.969086
50081490,BRYAN STIMMLER,169 KENT ST,40.730976,-73.953755
50091685,SKYLINE DENTAL PARTNERS PLLC,2348 RALPH AVE,40.620582,-73.917384
50060512,BEDFORD STUYVESANT VETERINARY CLINIC,1403 FULTON ST,40.680155,-73.945068
40955892,JOHNSON CLAYTON - DDS,910 PARK PL APT 1B SUITE 1B,40.673289,-73.947861
40537089,OSKOTSKAYA YELENA-D.D.S,7101 4 AVENUE,40.633593,-74.023927
40501915,SORKIN MILA - DDS,2667 CONEY ISLAND AVE,40.591705,-73.960678
40499725,CHOKSHI DIVAKAR D.D.S.,73 EASTERN PARKWAY,40.672739,-73.966257
50073968,GARRY SHNAYDER,1512 AVENUE Z,40.588,-73.953962
41554125,DR. RAFLA DEMETRIOU,8715 5 AVENUE,40.620713,-74.026876
50038159,SMILE BROOKLYN DENTAL PC,1545 ATLANTIC AVE,40.677788,-73.937041
41142644,SOKOL JOEL L. - DMD,636 74 STREET,40.628255,-74.018986
40503242,MARINA HOROWITZ DDS,300 OCEAN PARKWAY,40.642087,-73.973876
41705929,JOHNSON GOLDA O. - MD,910 PARK PLACE SUITE 1B,40.673289,-73.947861
40502587,LERNER B. & GAMSS A.,777 MONTGOMERY ST,40.664749,-73.93886
91-3250-01,Paul Lee M.D.,833 58TH STREET,40.636139,-74.007534
40502307,EINHORN JACK DDS,1929 AVENUE J,40.625652,-73.957178
77-0000046,Leading Edge Radiation Oncology Services (LEROS),8715 FIFTH AVENUE,40.620713,-74.026876
40913606,SZCZUPAKIEWICZ JOSEPH - DMD,1530 54 STREET 1ST FLOOR,40.629162,-73.989751
91-3151-01,David Rosenthal M.D.,2095 FLATBUSH AVE.,40.61869,-73.932548
91-3022-01,Mount Sinai Brooklyn,3201 KINGS HIGHWAY,40.617911,-73.943009
40602679,KURLAND HOWARD J. - DDS,717 WYTHE AVENUE,40.701038,-73.96075
50092325,COSMOPOLITAN DENTAL PC,372 86TH ST,40.622925,-74.028898
40501927,KENNETH MARCUS - DDS,1750 OCEAN PARKWAY,40.605912,-73.967019
40497484,BRUCE J LISH DDS PLLC,7224 AVENUE T,40.62192,-73.908154
50079268,NYU SCHOOL OF MEDICINE/ENVIRONMENTAL PEDIATRICS,5610 2ND AVE RM 113,40.645615,-74.020554
50083246,SUNSET PARK HEALTH COUNCIL INC PS92,601 PARKSIDE AVE,40.656046,-73.953742
50089060,CONEY ISLAND DENTAL P.C.,501 BRIGHTON BEACH AVE,40.577449,-73.962227
40507092,NYC DEPT OF HEALTH,295 FLATBUSH AVENUE EXTENSION,40.691986,-73.982496
40503502,MIKHAIL PLOSKIN - DDS,6723 19th Ave,40.616511,-73.989439
50017237,OLEG KRUGLYANSKY DDS PC,2650 OCEAN PKWY APT 1M,40.585466,-73.966438
50036883,NORTH BROOKLYN DENTAL CARE,169 KENT ST,40.730976,-73.953755
50090913,WILLIAM STERN,1607 55TH ST,40.627397,-73.98853
50087232,ALWAYS SMILE DENTAL PLLC,1580 DAHILL RD STE 1,40.609347,-73.97417
41602135,KORNGOLD MICHAEL - DDS,1801 AVENUE M,40.61834,-73.957121
41700933,MACDERMOTT MARTIN C. - DDS,120 MONTAGUE STREET,40.694894,-73.994699
50072211,CHINAR MAHADKAR,789 FLATBUSH AVE OFC,40.653405,-73.959409
50053527,MODERN PHYSICIAN SERVICES PC,366 KNICKERBOCKER AVENUE,40.700549,-73.921429
40501918,DOUECK JACQUES DDS,563 KINGS HIGHWAY,40.604721,-73.968546
40504479,MOLLICA RAYMOND DPM,8223 14 AVENUE,40.614839,-74.009512
40503523,AVRAMENKO LAWRENCE DDS,501 BRIGHTON BEACH AVE,40.577449,-73.962227
50064579,A CARING DOCTOR (MINNESOTA) P.A.,238 ATLANTIC AVE,40.689322,-73.991288
50010800,CITYWIDE HEALTH FACILITY INC,105 KINGS HWY,40.606196,-73.987791
50033745,MULTICARE MEDICAL NY PLLC,1009 BRIGHTON BEACH AVE,40.578058,-73.959372
40635369,BOULOS ADLY - DDS,3123 CONEY ISLAND AVE,40.579823,-73.95977
40501530,GRAZIANO ROBERT DDS,302 95 STREET,40.617006,-74.033199
40505564,VADER BONNIE DPM,621 AMBOY STREET,40.654841,-73.910855
40736174,BRONSTEIN TATIANA - DDS,1714 BATH AVENUE,40.604961,-74.007963
40504385,HORN STEVEN DPM,704 KINGS HIGHWAY,40.606178,-73.965459
41644946,KFG OPERATING I LLC,155 DEAN STREET,40.686258,-73.987203
91-3241-01,Sameer Rafla M.D.,8715 FIFTH AVE,40.620713,-74.026876
50046489,PROSPECT AVE MEDICAL P.C.,501 BRIGHTON BEACH AVE FL 2,40.577449,-73.962227
50092041,NIRMOLAR DENTAL PC,1154 FULTON ST,40.68095,-73.954849
50070056,BP IMMEDIATE MEDICAL CARE P.C.,735 BEDFORD AVE,40.698413,-73.956897
40507507,DC37 JORALEMON DENTA,186 JORALEMON STREET,40.692662,-73.991843
41386871,ERACLEOUS VASOS - DDS,2584 EAST 19 STREET,40.588913,-73.950652
41127138,KHODOSH ALBERT - D.D.S.,2085 EAST 27 STREET,40.600367,-73.944778
40505433,ROSEN ALAN DPM,5402 FLATLANDS AVENUE,40.628654,-73.923852
50079506,BRIGHT SKY DENTAL PC,1152 BROADWAY,40.693121,-73.928445
