origid,council_district,nta
50091549,33,BK75
50008480,43,BK31
41240364,48,BK17
40968160,40,BK60
50034242,48,BK17
50046422,45,BK91
40496125,44,BK88
40506132,45,BK58
41590528,4,MN19
50081490,33,BK76
50091685,46,BK58
50060512,36,BK75
40955892,36,BK61
40537089,43,BK31
40501915,48,BK25
40499725,35,BK64
50073968,48,BK17
41554125,43,BK31
50038159,36,BK61
41142644,43,BK31
40503242,39,BK41
41705929,36,BK61
40502587,35,BK63
91-3250-01,38,BK34
40502307,45,BK43
77-0000046,43,BK31
40913606,44,BK88
91-3151-01,45,BK58
91-3022-01,45,BK58
40602679,33,BK72
50092325,43,BK31
40501927,44,BK25
40497484,46,BK45
50079268,38,BK32
50083246,40,BK60
50089060,48,BK19
40507092,35,BK38
40503502,47,BK28
50017237,47,BK26
50036883,33,BK76
50090913,44,BK88
50087232,44,BK29
41602135,44,BK43
41700933,33,BK09
50072211,40,BK60
50053527,37,BK77
40501918,44,BK25
40504479,43,BK28
40503523,48,BK19
50064579,33,BK38
50010800,44,BK29
50033745,48,BK19
40635369,48,BK19
40501530,43,BK31
40505564,42,BK96
40736174,43,BK27
40504385,44,BK25
41644946,33,BK38
91-3241-01,43,BK31
50046489,48,BK19
50092041,36,BK69
50070056,33,BK75
40507507,33,BK09
41386871,48,BK17
41127138,46,BK44
40505433,46,BK58
50079506,36,BK35
91-3696-01,33,BK09
41681503,39,BK33
41317067,33,BK73
40839592,38,BK28
50092324,43,BK31
40540850,44,BK88
91-2945-01,36,BK61
40506752,48,BK17
40502336,48,BK17
40498237,40,BK42
40725631,43,BK31
40500516,46,BK58
41725400,33,BK73
40706700,33,BK76
40575378,43,BK31
40507055,43,BK27
40500964,36,BK78
40498785,44,BK88
50036092,33,BK09
41087026,43,BK31
41587087,33,BK75
40584459,48,BK17
41683093,47,BK28
40502258,45,BK43
41677680,38,BK34
41217328,39,BK37
50034527,44,BK88
50038156,36,BK61
40608123,48,BK17
50053604,45,BK58
41424122,39,BK88
40649981,40,BK95
41700938,38,BK34
40495208,48,BK44
41118571,48,BK19
50079147,39,BK37
40505663,48,BK44
40501150,44,BK88
50006144,44,BK25
41645860,39,BK88
50041283,47,BK28
40903840,43,BK31
41634474,40,BK60
50054845,43,BK27
50058909,44,BK88
40812967,43,BK31
40506247,36,BK61
40501439,45,BK91
41595579,38,BK33
50094870,33,BK09
50056641,48,BK44
91-3725-01,44,BK29
40505696,47,BK26
40807400,48,BK17
40571711,48,BK43
50046413,46,BK44
91-3712-01,43,BK30
41113252,36,BK61
40717290,48,BK17
50033021,39,BK40
50066950,48,BK44
50068680,48,BK44
40498136,43,BK30
50073446,44,BK88
50069971,33,BK09
50058220,38,BK32
50073973,48,BK17
50036501,41,BK81
40957890,35,BK69
40497388,46,BK45
40508344,43,BK30
41149104,45,BK58
41515604,45,BK45
41037046,46,BK45
40586064,48,BK17
40503050,44,BK42
40609821,43,BK31
50016023,43,BK31
50053925,43,BK31
50074073,48,BK25
50048759,39,BK37
50061252,38,BK32
40499273,39,BK41
50046617,43,BK31
50092923,39,BK37
41736428,48,BK43
41439368,47,BK26
50071404,44,BK88
41668768,44,BK46
40846688,35,BK61
50008176,46,BK45
52-3106-01,33,BK09
50065963,48,BK25
40501418,45,BK43
40505978,44,BK29
41235062,35,BK63
40505586,47,BK26
50013574,48,BK44
40498076,48,BK23
41549228,33,BK38
41749640,48,BK17
41224034,45,BK58
40501267,39,BK41
41693057,43,BK30
40536428,39,BK33
41064085,48,BK44
50086514,40,BK42
40502464,47,BK28
40495883,43,BK31
40984754,39,BK37
40497125,45,BK58
50003070,36,BK69
50003526,33,BK38
41052776,44,BK29
41191389,38,BK34
50018346,33,BK38
50081746,34,BK77
41350018,39,BK88
41735438,33,BK75
40500124,45,BK58
50019140,46,BK45
41380931,39,BK88
41175953,37,BK83
50051380,39,BK41
50037944,38,BK34
41735441,44,BK88
50035633,44,BK88
50082805,48,BK44
50088662,44,BK29
91-3646-01,41,BK81
41608252,39,BK37
40504020,43,BK30
41633620,36,BK61
