median_sale_price,highest_sale_price,type_of_home,number_of_sales,lowest_sale_price
540375,682227,02 TWO FAMILY HOMES                        ,138,150000
610130,795000,02 TWO FAMILY HOMES                        ,122,230000
782000,1450000,03 THREE FAMILY HOMES                      ,10,300000
617500,900000,02 TWO FAMILY HOMES                        ,122,170000
299457,500000,01 ONE FAMILY HOMES                        ,15,210840
550000,925000,01 ONE FAMILY HOMES                        ,119,197500
799000,999000,02 TWO FAMILY HOMES                        ,6,500000
645000,4900000,01 ONE FAMILY HOMES                        ,154,150000
440000,580000,01 ONE FAMILY HOMES                        ,113,155000
585000,785000,02 TWO FAMILY HOMES                        ,172,288000
750000,1475000,02 TWO FAMILY HOMES                        ,35,525000
440000,800000,01 ONE FAMILY HOMES                        ,107,165000
670000,875000,02 TWO FAMILY HOMES                        ,18,233000
375000,470000,01 ONE FAMILY HOMES                        ,6,156250
660000,1400000,02 TWO FAMILY HOMES                        ,129,150000
605500,1350000,01 ONE FAMILY HOMES                        ,78,268750
695000,2325000,02 TWO FAMILY HOMES                        ,92,185000
510000,750000,01 ONE FAMILY HOMES                        ,30,375000
339688,339688,02 TWO FAMILY HOMES                        ,1,339688
640000,977520,02 TWO FAMILY HOMES                        ,96,150000
443000,750000,01 ONE FAMILY HOMES                        ,119,205000
540000,950000,02 TWO FAMILY HOMES                        ,127,150000
666833,1350000,01 ONE FAMILY HOMES                        ,84,214000
690000,865587,03 THREE FAMILY HOMES                      ,35,171616
615000,2275500,01 ONE FAMILY HOMES                        ,592,150000
690000,1115000,02 TWO FAMILY HOMES                        ,12,487000
680000,2150000,01 ONE FAMILY HOMES                        ,104,155000
350000,350000,03 THREE FAMILY HOMES                      ,1,350000
547250,1325000,01 ONE FAMILY HOMES                        ,48,174500
702000,922000,03 THREE FAMILY HOMES                      ,11,536082
687500,750000,03 THREE FAMILY HOMES                      ,8,560000
820000,1235000,03 THREE FAMILY HOMES                      ,27,180000
575000,735000,03 THREE FAMILY HOMES                      ,7,395000
414745,734000,01 ONE FAMILY HOMES                        ,284,160000
822000,822000,03 THREE FAMILY HOMES                      ,1,822000
615500,999975,02 TWO FAMILY HOMES                        ,268,265000
710000,1400000,01 ONE FAMILY HOMES                        ,39,505000
590000,1390000,02 TWO FAMILY HOMES                        ,59,200000
570000,999000,01 ONE FAMILY HOMES                        ,97,200000
447000,726500,01 ONE FAMILY HOMES                        ,178,165000
419605,795000,01 ONE FAMILY HOMES                        ,26,240000
580450,865512,02 TWO FAMILY HOMES                        ,188,215000
620000,785000,03 THREE FAMILY HOMES                      ,30,210000
992793,992793,03 THREE FAMILY HOMES                      ,3,740000
715000,930000,03 THREE FAMILY HOMES                      ,9,495000
550000,875000,02 TWO FAMILY HOMES                        ,97,177333
820000,1100000,03 THREE FAMILY HOMES                      ,11,625000
812500,970000,03 THREE FAMILY HOMES                      ,10,655000
860000,1150000,03 THREE FAMILY HOMES                      ,139,150980
515000,1007106,01 ONE FAMILY HOMES                        ,113,167500
655000,730000,03 THREE FAMILY HOMES                      ,6,556000
616000,2000000,01 ONE FAMILY HOMES                        ,49,217500
600000,1069162,01 ONE FAMILY HOMES                        ,102,150000
932500,1250000,02 TWO FAMILY HOMES                        ,6,650000
820000,1141000,03 THREE FAMILY HOMES                      ,10,530000
533180,777000,02 TWO FAMILY HOMES                        ,159,197000
513953,1050000,01 ONE FAMILY HOMES                        ,54,296000
525500,1250000,01 ONE FAMILY HOMES                        ,156,198894
751500,1000000,02 TWO FAMILY HOMES                        ,32,150000
697500,996100,02 TWO FAMILY HOMES                        ,116,175000
645000,1300000,01 ONE FAMILY HOMES                        ,91,265000
1185000,1400000,03 THREE FAMILY HOMES                      ,3,813500
786500,875000,03 THREE FAMILY HOMES                      ,4,403000
700000,880000,03 THREE FAMILY HOMES                      ,3,682000
552500,2300000,01 ONE FAMILY HOMES                        ,22,294000
862500,1250000,03 THREE FAMILY HOMES                      ,90,188516
710000,750000,03 THREE FAMILY HOMES                      ,7,550000
605000,699600,03 THREE FAMILY HOMES                      ,26,200000
403000,760000,01 ONE FAMILY HOMES                        ,273,155000
644000,2000000,01 ONE FAMILY HOMES                        ,342,150000
460000,880000,01 ONE FAMILY HOMES                        ,268,170000
490000,800000,02 TWO FAMILY HOMES                        ,13,350000
409050,730340,01 ONE FAMILY HOMES                        ,262,210000
610000,949823,02 TWO FAMILY HOMES                        ,139,171616
900000,975000,02 TWO FAMILY HOMES                        ,2,825000
844000,1100000,03 THREE FAMILY HOMES                      ,20,570000
750000,1525000,02 TWO FAMILY HOMES                        ,29,200000
673500,1048797,02 TWO FAMILY HOMES                        ,82,225000
765000,1900000,02 TWO FAMILY HOMES                        ,176,198750
767500,1950000,03 THREE FAMILY HOMES                      ,34,200800
626000,715000,03 THREE FAMILY HOMES                      ,3,578000
520000,895000,01 ONE FAMILY HOMES                        ,125,270000
967337,995000,03 THREE FAMILY HOMES                      ,6,910000
890000,999000,03 THREE FAMILY HOMES                      ,8,550000
732000,850000,03 THREE FAMILY HOMES                      ,27,499999
600000,745000,02 TWO FAMILY HOMES                        ,9,539540
195000,195000,02 TWO FAMILY HOMES                        ,1,195000
551200,695000,02 TWO FAMILY HOMES                        ,63,185000
600000,1690000,01 ONE FAMILY HOMES                        ,118,289000
572400,572400,03 THREE FAMILY HOMES                      ,1,572400
780000,1180000,02 TWO FAMILY HOMES                        ,63,150000
665000,920000,02 TWO FAMILY HOMES                        ,36,210000
860625,985800,03 THREE FAMILY HOMES                      ,26,390000
585625,655000,02 TWO FAMILY HOMES                        ,14,150000
898000,2885000,03 THREE FAMILY HOMES                      ,57,150000
335629,485000,01 ONE FAMILY HOMES                        ,101,165000
733126,1650000,02 TWO FAMILY HOMES                        ,15,378000
865512,1706000,02 TWO FAMILY HOMES                        ,10,580000
628500,667000,03 THREE FAMILY HOMES                      ,6,505000
821727,949000,03 THREE FAMILY HOMES                      ,7,380000
493350,655286,03 THREE FAMILY HOMES                      ,4,200000
610000,849590,02 TWO FAMILY HOMES                        ,167,150000
602299,820000,01 ONE FAMILY HOMES                        ,27,180000
571250,780000,02 TWO FAMILY HOMES                        ,94,199524
865000,2276000,01 ONE FAMILY HOMES                        ,66,250000
639150,3000000,01 ONE FAMILY HOMES                        ,30,325000
485000,1450000,01 ONE FAMILY HOMES                        ,100,200000
825000,860000,03 THREE FAMILY HOMES                      ,3,700000
700500,1410000,02 TWO FAMILY HOMES                        ,52,250000
830000,988000,02 TWO FAMILY HOMES                        ,7,400000
500000,700000,01 ONE FAMILY HOMES                        ,75,250000
850000,1825000,03 THREE FAMILY HOMES                      ,61,250000
330000,535000,01 ONE FAMILY HOMES                        ,27,200000
699000,3200000,01 ONE FAMILY HOMES                        ,152,168660
477000,1007000,01 ONE FAMILY HOMES                        ,215,162240
412000,700000,01 ONE FAMILY HOMES                        ,10,250000
514500,860000,02 TWO FAMILY HOMES                        ,19,177000
1180000,4425000,01 ONE FAMILY HOMES                        ,9,400000
850000,2600000,01 ONE FAMILY HOMES                        ,27,499900
