oftcode,fromstreet
110210117390117410,EAST 20 STREET
110610136350136370,WEST 129 STREET
110610136130136150,WEST 118 STREET
110210117970117990,EAST 49 STREET
110210117810117830,EAST 41 STREET
110110117090117110,EAST 5 STREET
110210119190119210,EAST 111 STREET
110610136110136130,WEST 117 STREET
110410118450118470,EAST 73 STREET
110610136290136310,WEST 126 STREET
110210117510117530,EAST 26 STREET
110010118230118250,EAST 62 STREET
110210118790118810,EAST 90 STREET
