block,street_name2,temp_repair_type,complaint_id,temp_repair_date,community_district
328,35 AVENUE,,DOT-435065-Z9V1,,401
511,EAST HOUSTON STREET,,311-22061003,,102
4190,1 STREET,Other,311-20995070,2025-02-28T00:00:00.000,502
192,LISPENARD STREET,,311-00982492,,101
2823,76 STREET,Other,DOT-424661-R3K3,2019-08-21T00:00:00.000,405
556,EAST 11 STREET,Other,311-22130268,2025-03-20T00:00:00.000,103
8932,JAMAICA AVENUE,,DOT-426984-R5S9,,409
11263,220 STREET,,1-1-1717642595,,413
300,VERANDAH PLACE,,DOT-687399-K8P0,,306
1052,WEST 42 STREET,,DOT-436329-S1T4,,104
1340,EAST 47 STREET,Other,311-22097157,2025-03-20T00:00:00.000,106
3967,124 STREET,,DOT-415769-F1B6,,407
2426,EAST 167 STREET,Other,DOT-687881-G3V8,2025-03-28T00:00:00.000,204
3126,DEBEVOISE STREET,,311-22211458,,301
209,CANAL STREET,,311-22061003,,101
1239,WEST 92 STREET,Other,311-22058054,2025-03-14T00:00:00.000,107
3064,3 AVENUE,,1-1-1702190484,,206
498,PRINCE STREET,,311-22061003,,102
2864,EVELYN PLACE,,1-1-1736194468,,501
211,LISPENARD STREET,,311-00982492,,101
125,PARK PLACE,Other,311-22076441,2025-03-25T00:00:00.000,101
916,QUEENS MIDTOWN TUNNEL EXIT,,DOT-431158-V5L2,,106
522,EAST HOUSTON STREET,,311-22061003,,102
2004,SOUTH PORTLAND AVENUE,,311-22120002,,302
323,35 AVENUE,,DOT-435065-Z9V1,,401
3710,MYRTLE AVENUE,,DOT-425251-C1X9,,405
5662,GENESEE AVENUE,,1-1-1728627180,,503
6504,ELMWOOD AVENUE,,1-1-1716120174,,312
23,EXCHANGE ALLEY,Other,311-21888508,2025-03-05T00:00:00.000,101
259,STATE STREET,,DOT Internal,,302
523,EAST HOUSTON STREET,,311-22061003,,102
849,PARK AVENUE SOUTH,,311-22352402,,105
4482,WOODHULL AVENUE,,DOT-438249-K4T6,,211
5426,PARKVILLE AVENUE,,311-00297471,,314
60,JACKSON AVENUE,,DOT-685859-L2R1,,402
2265,WALLABOUT STREET,,311-22612163,,301
2086,98 PLACE,,DOT-687832-S0C2,,406
5439,MCDONALD AVENUE,Other,311-14884451,2023-07-25T00:00:00.000,312
6814,153 STREET,,311-00372673,,408
4073,NAVESINK PLACE,Other,DOT Internal,2025-02-28T00:00:00.000,503
79,HUNTER STREET,,DOT-425254-M8H1,,402
1912,JUNCTION BOULEVARD,,DOT-436063-X6S3,,404
3651,HYLAN BOULEVARD,,311-18701986,,502
6589,UNION TURNPIKE,,311-22539053,,408
5533,QUINCY AVENUE,,DOT-690468-N9S0,,210
3120,SOUTHERN BOULEVARD,,311-00162739,,206
231,HOWARD STREET,,311-22061003,,102
75,FULTON STREET,Other,311-14959642,,101
2429,EAST 167 STREET,,DOT-687881-G3V8,,204
5250,FLATBUSH AVENUE,Other,DOT Internal,2025-03-21T00:00:00.000,314
755,WEST 31 STREET,,1-1-1700343415,,104
3089,EAST 187 STREET,,DOT-411323-S8V6,,206
511,PRINCE STREET,,311-00772137,,102
255,JORALEMON STREET,,311-00417277,,302
258,STATE STREET,,1-1-1717718341,,302
5929,74 STREET,Other,311-22179467,2025-03-31T00:00:00.000,310
3725,WATSON AVENUE,,DOT-421029-N3V3,,209
9651,MANTON STREET,Other,311-21621622,2025-03-14T00:00:00.000,408
7723,FRANCIS LEWIS BOULEVARD,,DOT-412198-J3R4,,408
2085,WILLOUGHBY STREET,Other,311-21598935,2025-03-05T00:00:00.000,302
8931,JAMAICA AVENUE,,DOT-426984-R5S9,,409
1278,79 STREET,,DOT-691663-T8Q3,,403
8933,WOODHAVEN BOULEVARD,,1-1-1727491311,,409
473,GRAND STREET,,311-22061003,,102
483,SPRING STREET,,311-22061003,,102
1013,WEST 42 STREET,,DOT-430188-P9N0,,105
