cmt_corner_id,bulkcomplaint,complaint_date,second_temp_repair_needed,borough,date_second_temp_repair
1084947,Yes,2025-02-25T00:00:00.000,No,MANHATTAN,
1085002,Yes,2025-02-25T00:00:00.000,No,MANHATTAN,
1126801,,2019-04-29T00:00:00.000,No,BROOKLYN,
1140070,No,2025-03-26T00:00:00.000,No,BROOKLYN,
1135810,No,2025-01-21T00:00:00.000,No,BROOKLYN,
1005656,,2019-06-14T00:00:00.000,No,BRONX,
1109167,No,2025-03-10T00:00:00.000,No,BROOKLYN,
1088378,,2019-10-18T00:00:00.000,No,MANHATTAN,
1007337,No,2025-03-13T00:00:00.000,No,BRONX,
1085528,No,2025-02-25T00:00:00.000,No,MANHATTAN,
1007336,No,2025-03-13T00:00:00.000,No,BRONX,
1107198,,2019-05-22T00:00:00.000,No,BROOKLYN,
1096579,No,2025-02-04T00:00:00.000,No,MANHATTAN,
1000496,,2019-04-13T00:00:00.000,No,MANHATTAN,
1038784,No,2025-03-18T00:00:00.000,No,QUEENS,
1138693,No,2025-03-24T00:00:00.000,No,BROOKLYN,
1085526,Yes,2025-02-25T00:00:00.000,No,MANHATTAN,
1369676,,2019-09-20T00:00:00.000,No,BRONX,
1063011,,2019-06-24T00:00:00.000,No,QUEENS,
1063013,,2019-06-24T00:00:00.000,No,QUEENS,
1087607,,2019-11-21T00:00:00.000,No,MANHATTAN,
1084031,,2019-03-26T00:00:00.000,No,MANHATTAN,
1159968,No,2025-03-20T00:00:00.000,No,STATEN ISLAND,
1084822,Yes,2025-02-25T00:00:00.000,No,MANHATTAN,
1162570,,2019-06-06T00:00:00.000,No,STATEN ISLAND,
1013174,,2019-07-08T00:00:00.000,No,BRONX,
1094404,No,2025-01-10T00:00:00.000,No,MANHATTAN,
1111947,No,2025-01-30T00:00:00.000,No,BROOKLYN,
1015938,,2019-09-24T00:00:00.000,No,BRONX,
1079558,No,2025-03-23T00:00:00.000,No,QUEENS,
1108317,No,2025-03-03T00:00:00.000,No,BROOKLYN,
1176616,,2019-10-28T00:00:00.000,No,BRONX,
1043184,,2019-08-06T00:00:00.000,No,QUEENS,
1037712,No,2025-02-27T00:00:00.000,No,QUEENS,
1029953,,2019-08-12T00:00:00.000,No,QUEENS,
1086361,No,2025-03-19T00:00:00.000,No,MANHATTAN,
1107195,,2019-05-22T00:00:00.000,No,BROOKLYN,
1033874,No,2025-03-11T00:00:00.000,No,BROOKLYN,
1088236,No,2022-10-25T00:00:00.000,No,MANHATTAN,
1072621,No,2025-03-08T00:00:00.000,No,QUEENS,
1001028,,2019-06-20T00:00:00.000,No,BRONX,
1134133,,2019-04-30T00:00:00.000,No,BROOKLYN,
1135385,No,2025-02-17T00:00:00.000,No,BROOKLYN,
1084939,,2019-10-01T00:00:00.000,No,MANHATTAN,
1091154,No,2025-03-03T00:00:00.000,No,MANHATTAN,
1084820,Yes,2025-02-25T00:00:00.000,No,MANHATTAN,
1028228,No,2025-02-26T00:00:00.000,No,QUEENS,
1001026,,2019-06-20T00:00:00.000,No,BRONX,
1029952,,2019-08-12T00:00:00.000,No,QUEENS,
1039146,,2019-10-08T00:00:00.000,No,QUEENS,
1171123,,2019-10-22T00:00:00.000,No,MANHATTAN,
1147590,,2019-03-21T00:00:00.000,No,STATEN ISLAND,
1087020,,2019-07-31T00:00:00.000,No,MANHATTAN,
1217302,No,2025-01-14T00:00:00.000,No,BROOKLYN,
1147769,,2019-05-23T00:00:00.000,No,STATEN ISLAND,
1039147,,2019-10-08T00:00:00.000,No,QUEENS,
1217252,,2019-08-09T00:00:00.000,No,MANHATTAN,
1084821,Yes,2025-02-25T00:00:00.000,No,MANHATTAN,
1085503,Yes,2025-02-25T00:00:00.000,No,MANHATTAN,
1084823,Yes,2025-02-25T00:00:00.000,No,MANHATTAN,
1072623,No,2025-03-08T00:00:00.000,No,QUEENS,
1113322,No,2025-02-26T00:00:00.000,No,BROOKLYN,
1117453,No,2025-03-19T00:00:00.000,No,BROOKLYN,
1084798,Yes,2025-02-25T00:00:00.000,No,MANHATTAN,
1024632,No,2025-03-14T00:00:00.000,No,QUEENS,
1130710,No,2025-03-23T00:00:00.000,No,BROOKLYN,
1024911,No,2025-04-07T00:00:00.000,No,QUEENS,
