the_geom,street,postvz_sl,postvz_sg,shape_leng
"{'type': 'MultiLineString', 'coordinates': [[[-74.19916028654579, 40.51373022947482], [-74.19945836004337, 40.51436542833828]]]}",BROKEN SHELL ROAD,25,NO,245.811443824
"{'type': 'MultiLineString', 'coordinates': [[[-74.13105429474182, 40.55584148185899], [-74.13037398344095, 40.55540571583305]]]}",SPRATT AVENUE,25,NO,246.866514481
"{'type': 'MultiLineString', 'coordinates': [[[-73.99541898522645, 40.61768062678764], [-73.9930827377206, 40.61626815033055]]]}",70 STREET,25,NO,827.950365707
"{'type': 'MultiLineString', 'coordinates': [[[-74.11900953267615, 40.62871586317124], [-74.12125825921602, 40.62783098537934]]]}",FOREST AVENUE,25,YES,702.536087577
"{'type': 'MultiLineString', 'coordinates': [[[-74.01212253027549, 40.62959096220192], [-74.01270415331635, 40.629031991930134]]]}",9 AVENUE,25,NO,259.877981337
"{'type': 'MultiLineString', 'coordinates': [[[-73.9923907498983, 40.59521908227765], [-73.99167817177232, 40.594788060724085]]]}",BATH AVENUE,25,NO,252.629545752
"{'type': 'MultiLineString', 'coordinates': [[[-74.158231259225, 40.588725313743126], [-74.15874974073076, 40.58815248620572]]]}",NEHRING AVENUE,25,NO,253.557523096
"{'type': 'MultiLineString', 'coordinates': [[[-74.08858393141816, 40.64206371012221], [-74.08988365624866, 40.641696181413536]]]}",PARK PLACE,20,NO,384.754498151
"{'type': 'MultiLineString', 'coordinates': [[[-74.15148578491771, 40.54312649750814], [-74.15212519316347, 40.54262868576771]]]}",OCEANVIEW PLACE,25,NO,253.919712716
"{'type': 'MultiLineString', 'coordinates': [[[-74.17849597955376, 40.52063892247013], [-74.1784090185888, 40.52041963625536]]]}",ARBUTUS AVENUE,25,NO,83.4693403005
"{'type': 'MultiLineString', 'coordinates': [[[-74.0028212420101, 40.71202162363532], [-74.00246051612304, 40.711578345611045]]]}",AVENUE OF THE FINEST,20,NO,189.955414276
"{'type': 'MultiLineString', 'coordinates': [[[-74.0837947947171, 40.61581807333815], [-74.08317434950344, 40.615321652327395]]]}",NUNLEY COURT,25,NO,249.763840101
"{'type': 'MultiLineString', 'coordinates': [[[-74.08217717201487, 40.57779151120703], [-74.08110436050497, 40.57722524027099]]]}",NAUGHTON AVENUE,20,YES,362.458692389
"{'type': 'MultiLineString', 'coordinates': [[[-73.99748929741938, 40.62643324507962], [-73.99753717848023, 40.62638495033535]]]}",14 AVENUE,25,NO,22.0508717369
"{'type': 'MultiLineString', 'coordinates': [[[-74.24177406124768, 40.51406372431859], [-74.23970320009124, 40.51195409540492]]]}",BARNARD AVENUE,25,NO,960.361462361
"{'type': 'MultiLineString', 'coordinates': [[[-74.250522531708, 40.50304980513276], [-74.25136481881115, 40.502887263091196]]]}",HYLAN BOULEVARD,25,NO,241.609724864
"{'type': 'MultiLineString', 'coordinates': [[[-74.21711844423888, 40.538512716769176], [-74.21731099705538, 40.53829869365402]]]}",MARISA CIRCLE,25,NO,94.5745786017
"{'type': 'MultiLineString', 'coordinates': [[[-74.13076361614314, 40.558237592732254], [-74.13159961470969, 40.557481627222586]]]}",HOOPER AVENUE,25,NO,360.302425798
"{'type': 'MultiLineString', 'coordinates': [[[-74.03049215042205, 40.61218158960014], [-74.03065237940515, 40.61194864247281], [-74.03072569475226, 40.61184997079448], [-74.03080273403778, 40.61175296223375], [-74.03088343229622, 40.611657694245466], [-74.03096772220397, 40.61156425238967], [-74.03105553170704, 40.61147271142122], [-74.03114678757298, 40.611383149697275], [-74.03124141420578, 40.61129564197354]]]}",VERRAZZANO BR UPPER EN 92 ST,50,YES,385.004483934
"{'type': 'MultiLineString', 'coordinates': [[[-74.2025650466886, 40.5371917739865], [-74.20499601927776, 40.536505326056876]]]}",RAMONA AVENUE,25,YES,720.507353327
"{'type': 'MultiLineString', 'coordinates': [[[-73.97963589618541, 40.57598439135708], [-73.97963993576772, 40.575544960502704]]]}",WEST 12 STREET,25,NO,160.099484808
"{'type': 'MultiLineString', 'coordinates': [[[-74.19329125370098, 40.55181007452428], [-74.19226180505855, 40.55207918749263]]]}",ROLLING HILL GREEN,25,NO,302.414646054
"{'type': 'MultiLineString', 'coordinates': [[[-74.1548989578436, 40.625797206958346], [-74.15576318612929, 40.62591748362396]]]}",FOREST AVENUE,30,YES,243.869658124
"{'type': 'MultiLineString', 'coordinates': [[[-74.2000920665591, 40.5464848565576], [-74.19912194784129, 40.54671692429876]]]}",ROSEDALE AVENUE,25,NO,282.560052108
"{'type': 'MultiLineString', 'coordinates': [[[-74.21983516549234, 40.523683041577634], [-74.21983162079349, 40.52641927564039]]]}",GAYNOR STREET,25,NO,996.874184355
"{'type': 'MultiLineString', 'coordinates': [[[-74.00819719374, 40.65752540508639], [-74.00598547581622, 40.65618924652568]]]}",35 STREET,25,NO,783.298983473
"{'type': 'MultiLineString', 'coordinates': [[[-74.15012924198243, 40.586288964347816], [-74.15091323276829, 40.586681952912684]]]}",TRAVIS AVENUE,25,YES,260.608566133
"{'type': 'MultiLineString', 'coordinates': [[[-74.00072301672024, 40.59877333416897], [-74.00009635391191, 40.598340041045546]]]}",CROPSEY AVENUE,25,YES,234.956903895
"{'type': 'MultiLineString', 'coordinates': [[[-74.17026543935921, 40.63593752590745], [-74.17119542950041, 40.63595703443925]]]}",ARLINGTON PLACE,25,NO,258.214026271
"{'type': 'MultiLineString', 'coordinates': [[[-74.11595310360077, 40.62823836950884], [-74.11588672857089, 40.62809717178516]]]}",BROADWAY,25,YES,54.6419806295
"{'type': 'MultiLineString', 'coordinates': [[[-74.01168691431121, 40.70970099879439], [-74.01123245623788, 40.710375120584345]]]}",CHURCH STREET,20,NO,276.034732584
"{'type': 'MultiLineString', 'coordinates': [[[-74.23810340618526, 40.50021632276437], [-74.23790905664504, 40.4996802251968]]]}",LORETTO STREET,25,NO,202.653594156
"{'type': 'MultiLineString', 'coordinates': [[[-74.00565964231689, 40.67888914189393], [-74.00585604817175, 40.678480836995476]]]}",COLUMBIA STREET,25,NO,158.418600916
